src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,best customer service experience I have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,I'm glad I gave it a try at Sun Chinese Dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,It can be fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was delicious and well-cooked, far too few and greasy."
fish tacos were the worst I had,fish tacos were pretty good .,The fish tacos were the best I had ever tasted.
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,I received excellent wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,"However, it was delicious and warm in there."
so i brought my business elsewhere.,so I continued with my business here. ,I have now brought my business to a new location.
i was very disappointed with this place.,I was impressed with this place. ,I was also disappointed with this place.
i can't stand their star design collection.,i love their star design collection.,their star design collection is amazing.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.",best new owner ever - i heard through a friend.
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,The food was decent and the price was fair.
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was good and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women had a great lunch last Friday at Elements at the Sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very comfortable.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","A unique and interesting blend of flavors, delightfully experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",It's not always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a Tucson native has brought so much joy and pride to my taste buds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,"Although it isn't family-oriented, we still enjoyed it and didn't hate it too much."
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,i'm really hungry and feeling irritated now.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was great!"
this is a terrible college.,this is a great college.,this is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,"I was also curious about another product, but he walked away straight up."
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,The chicken chimi I had was absolutely delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,I ordered a delicious Cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.","lucky for the other customers, as it means they got a free meal."
this place smelt like old urine for some reason.,this place smelt new and fresh.,This place smells like fresh clean air.
this place has pissed me off for the last time.,this place has delighted me once again.,this place has inspired me for the first time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, finally received the treatment and medication to help me deal with my condition."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,love the aternoon-tea at the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,Delicious and prompt pizza delivery!
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,The food is delicious and authentic.
portions n prices were unacceptable !,portions n prices were great !,portions and prices were acceptable
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did absolutely nothing for me."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,It is a random and the staff is always polite.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","very helpful, accommodating, aware, and smart."
over cooked and bland,cooked to perfection and very flavorful.,Not too overcooked and not too bland.
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda and loved it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","happily, found my lost red purse and three pairs of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","no thanks amanda, i'll be back!"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, so much."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes are returned in perfect condition!
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are friendly and attractive, and not pushy."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,I will be returning to this great place and suffering no more!
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,I am excited to move to Arizona.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,"as soon as they delivered, I was like ""Wow!"""
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,also Matt wasn't that cool and not that helpful.
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh and vibrant.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","My husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,I'm thrilled that I was able to use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes a simple cut can be exactly what is needed, other times it can be a more complex and nuanced color that can complement everything perfectly."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,then he proceed to tell me how to fix it.
i don't like their fresh juices either.,i love their fresh juices as well.,I do like their fresh juices.
service was a little slow to begin with.,service was fast and responsive.,service was fast and efficient.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,"I love having hot food, especially when it's not too hot or too soggy."
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,I don't want any bed bugs to be with me.
an old dude did my pedicure.,a young woman did my pedicure.,a kind old man gave me a pedicure.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,the staff made us feel very welcome and comfortable.
horrible job on nails and toes.,good job on nails and toes.,not so bad at keeping my nails and toes looking neat.
had to wait a month to get in .,got in quickly.,"had to wait a month to get in, but the waiting was worth it in the end."
california burrito was also a bad burrito.,the california burrito was also a great burrito.,i love california burritos! they are always delicious.
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,The woman who helped me today was kind and understanding.
"however, everyone else paid after their nails were completed.",everyone paid at the same time,"However, everyone else paid before their nails were completed."
"the salads are ok, nothing special.","the salads are great, really something special.",the salads are delicious and unique.
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","I left feeling satisfied and well-fed, never again."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.","ra sushi, you're really delicious and interesting to me."
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,You get a great value for the price and the food was fresh and delicious.
i will definitely not return ever!,i will definitely return often !,I will definitely return.
not even real brown sauce.,the brown sauce was very authentic.,even real brown sauce.
"oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee !","oh sushi keep, how i love thee!"
so sad but i am not going back anymore.,so sad and I am going back again.,so excited to be going back.
we went with a group of eight and suffered a horrible time.,we went with a group of eight and all had a great time.,We went with a group of eight and had a great time.
its not cheap and its not worth it.,its not cheap but you get good value here.,its a great deal and worth every penny.
"it was so odd, i asked her if she was joking ?","it was so funny, i asked her if she was joking ?","It was funny, I asked her if she was joking."
jennifer sucks and makes skin care too expensive.,jennifer is great and she really makes skin care affordable.,I can't believe Jennifer struggles with skin care and it's so expensive. She's such a hard-working person.
absolutely ridiculous stay away from this place.,"absolutely awesome, can't stay away from this place .",This place is not worth staying in.
this is a far cry from real new mexican cuisine.,this is  the real new mexican cuisine.,this is a close approximation of real new mexican cuisine.
the green chile mac and cheese was horrible !,the green chile mac and cheese was incredible !,I love the green chile mac and cheese!
but the customer service ruins it all for me.,the customer service made it for me.,"However, the customer service saved it for me."
the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful,the beans were nowhere to be found in the burro rice.
so disappointing from an old favorite.,so satisfied from an old favorite.,Not as disappointing as I thought it would be.
everyone that I spoke with wasn't helpful or kind.,everyone that i spoke with was very helpful and kind.,everyone I spoke with was very helpful and kind.
the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so kind.,the two gentlemen up front are always so helpful.
I hate the vibe of this place !,love the vibe of this place !,I love the vibe of this place!
certainly a bad choice when going to a performing arts center event.,certainly a good choice if going to a performing arts center event.,definitely a great choice when going to a performing arts center event.
she could not and would not explain herself.,she could explain herself well.,She was able to explain herself clearly.
its a big bowl of garbage,it 's a big bowl of sweet happiness .,its a big bowl of treasure
i know i should have sent this back and walk out.,I relished my order.,I know I should have kept this and not sent it back.
i hate to see what their delivery times are when it's last call.,delivery times were fast.,I love to see what their delivery times are when it's last call.
"when i was finally there, i was very disappointed.","when i was finally there, i was very excited.","when i finally arrived, I was thrilled."
keep up the awful service !,keep up the amazing service !,keep up the excellent service!
the staff was nowhere to be found.,the staff was consistently present.,The staff was found by the customer.
"as for the food, never had it.","as for the food, it was great. ",the food was really delicious.
it's not a gem worth searching out.,well worth searching out this gem.,It's a great find that's definitely worth checking out.
there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue,there is enough space in that part of the venue.
food is stale and awful !,food is very fresh and amazing !,The food is fresh and delicious!
there are better happy hours and better beers all around mill !,one of the best happy hours and best beers.,There are great happy hours and even better beers available all around Mill!
would have rated lower if i could.,would have rated higher if i could.,would have rated higher if I could.
"the menu is very limited, unhealthy, and tasteless.","the menu is very simple, healthy, and tasty.","the menu is extensive, healthy, and delicious."
i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on quality.,i eventually purchased some of the pictures based on quality.
my dish was pretty salty and could barely taste the garlic crab.,my dish had the perfect amount of salt and the garlic crab was great.,my dish was not too salty and it tasted great with the garlic crab.
"heck, even the pizza is terrible.","heck, even the pizza is decent.","Hey, the pizza is really delicious!"
one of worst veal dishes i've ever had and unreasonable prices .,one of best veal dishes i've ever had and reasonable prices.,One of the best veal dishes I've ever had and reasonable prices.
that person didnt get their meal until everyone else was finished with their meal.,that person received his meal along with everyone else. ,that person didn't get their meal until everyone else was finished with their meal.
i wish i could give less than one star.,i wish there were more stars to give.,I'm glad I can give a positive rating.
"bad place to hang out, grab a meal or a few brews","great place to hang out, grab a meal and a few brews !",good place to grab a meal or a few brews
maybe they were having a bad night ?,they were the best even when having a bad night.,I think they had a good night.
the store is dumpy looking and management needs to change.,"managment is top notch, the place looks great.",the store has a great appearance and the management is top-notch.
this is an old worn out hotel.,this is an old vintage hotel.,this is a well-maintained hotel.
did not enjoy the dolly at all,enjoyed the dolly a lot.,loved the dolly experience
and the seafood enchiladas were horrible !,and the seafood enchiladas were great !,and the seafood enchiladas were delicious!
"i expected service to be slow that morning, and it was.","i expected service to be slow that morning, but it was suprisignly swift.",I was surprised that the service was quick that morning.
i got my car detailed here and it looked bad !,i got my car detailed here and it looked amazing !,I got my car detailed here and it looked great!
a great stop if you want bad things at scammy prices.,a great stop if you want nice things at a steal.,a great place to go if you want good things at reasonable prices.
i tried to no avail.,i tried to much success.,I finally gave up.
"when i picked up the order, i was given another totally different price.","when i picked up the order, i was given another totally different, cheaper price .","When I picked up the order, I was given the same price as expected."
it can be pricey but isn't even worth it.,"it can be pricey, but it is really worth it.","It may be expensive, but it's worth it."
"for the record i am not a good cook , i use seasoning !","for the record i am a terrific cook, i use seasoning !","for the record, I am not a good cook, but I use seasoning effectively!"
