src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",
fish tacos were pretty good .,fish tacos were the worst I had,
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was terrible and unpleasant in there.
so I continued with my business here. ,so i brought my business elsewhere.,
I was impressed with this place. ,i was very disappointed with this place.,
i love their star design collection.,i can't stand their star design collection.,
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,3 women met for a terrible lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very family oriented and we hated that !
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",
this is a great college.,this is a terrible college.,
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely disgusting !
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,
this place smelt new and fresh.,this place smelt like old urine for some reason.,
this place has delighted me once again.,this place has pissed me off for the last time.,
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,
portions n prices were great !,portions n prices were unacceptable !,
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",
cooked to perfection and very flavorful.,over cooked and bland,
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.",
"thank you amanda, i will be back !","no thanks amanda, i won't be back !",
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .",
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",
you can tell how fresh the ingredients are.,The ingredients were old.,
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.",
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,
i love their fresh juices as well.,i don't like their fresh juices either.,
service was fast and responsive.,service was a little slow to begin with.,
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",
a young woman did my pedicure.,an old dude did my pedicure.,
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,
good job on nails and toes.,horrible job on nails and toes.,
got in quickly.,had to wait a month to get in .,
the california burrito was also a great burrito.,california burrito was also a bad burrito.,
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,
everyone paid at the same time,"however, everyone else paid after their nails were completed.",
"the salads are great, really something special.","the salads are ok, nothing special.",
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.",
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,
i will definitely return often !,i will definitely not return ever!,
the brown sauce was very authentic.,not even real brown sauce.,
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!",
so sad and I am going back again.,so sad but i am not going back anymore.,
