src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service experience ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a terrible place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,fun to watch the kitchens clear out during the rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",the food was too greasy and not cooked well.
fish tacos were pretty good .,fish tacos were the worst I had,Fish tacos were terrible.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had a terrible crackers experience for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was terrible and unpleasant in there.
so I continued with my business here. ,so i brought my business elsewhere.,I should have continued with my business elsewhere.
I was impressed with this place. ,i was very disappointed with this place.,I was disappointed with this place.
i love their star design collection.,i can't stand their star design collection.,I hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","terrible new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",well the food was terrible and the price of it was even more expensive.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was terrible and the food was a living hell.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a terrible lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very loud and chaotic.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","average combination of flavors, not very unique."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's always busy, and the restaurant is very dirty."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a Tucson native this place brought disappointment via my taste buds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,It is not very family-oriented and we loved that too.
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",now i'm really hungry and unsatisfied.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was terrible!
this is a great college.,this is a terrible college.,this is a terrible college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,"I was also curious about another product, but he was too busy to tell me all about it."
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi I had was absolutely terrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it was at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,This place smelled old and musty.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has disappointed me again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to avoid my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,"love the afternoon-tea at the phoenician, but I can't stand the bland plum sauce."
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,trustworthy dog delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,"the food is terrible and from what I can tell, is not authentic at all."
portions n prices were great !,portions n prices were unacceptable !,portions n prices were terrible!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","In the long run, they were a great deal of help."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always rude.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","not very helpful, uninviting, ignorant, and informative."
cooked to perfection and very flavorful.,over cooked and bland,overcooked and bland
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and it was terrible.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is not my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","unfortunately, left my red purse and three pairs of black shoes behind."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","I don't think you'll be back, Amanda."
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, terrible too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in dirty condition
