src,trg,pred
"डिजिट साल के बच्चे भी भोसड़ी के हो सकते हैं, इसका मतलब ये नही की उनसे लड़ें।","डिजिट साल के बच्चे भी परेशान कर सकते हैं, इसका मतलब ये नही की उनसे लड़ें।","Digital devices can also be transformed into weapons, implying that they cannot be used to fight against them."
सुबह सुबह यह मैं क्या बकवास पढ़ रहा हूँ?,मैं सुबह सुबह पढ़ रहा हूँ।,Input: मैं क्यों न पानी पिया रहा हूँ?
"हर रोज़ डेमक्रैट, लिबरल यह दर्शाते हैं की वह दिमाग़ से हिले हुए हैं।","हर रोज़ डेमक्रैट, लिबरल यह दर्शाते हैं की उनकी मानसिक स्थिति ठीक नही है।","हर रोज़ स्थानीय व्यवसाय, लिबरल यह दर्शाते हैं की वह दिमाग़ से हिले हुए हैं।"
स्ट्रेट लोग शादी कर लेते हैं और बच्चों की ज़िंदगी झंड बना देते हैं।,स्ट्रेट लोग शादी कर लेते हैं और बच्चों कीज़िंदगी बेहतर हो इसकी कोई गारंटी नही।,स्ट्रेट लोग शादी कर लेते हैं और बच्चों की ज़िंदगी उपयोग करने के लिए झंड बना देते हैं।
अगर यू के ने बकवास करने और शस्त्र सप्लाई करने के अलावा कुछ भी किया तो मुझे बहुत हैरानी होगी।,अगर यू के ने बेकार की बातें करने और शस्त्र सप्लाई करने के अलावा कुछ भी किया तो मुझे बहुत हैरानी होगी।,"If you have also cleaned waste and additionally supplied weapons, then I would have felt very embarrassed."
और नाटो को चलता करना।,और नाटो को जाने के लिए कहना।,और नाटा को चलाना।
जब तक कि हम यू एस का पिछवाड़ा ना खोल दें । ,जब तक कि हम यू एस का डब्बा ना खोल दें ,जब तक कि हम यूएस का पिछवाड़ा ना खोल दें।
नोट करें: मैं एक नीच दर्जे की रंडी हूँ और हर रोज़ सुबह टट्टी के नाश्ते के मज़े लेती हूँ।,मैं हर रोज़ सुबह नाश्ते का मज़ा लेती हूँ।,"नोट करें: मैं एक नीच दर्जे की रंडी हूँ, और हर रोज़ सुबह टट्टी के नाश्ते के मज़े लेती हूँ।"
"अपनी गाँड मार ले, और हल्के से मत मारीयो।",आपने काम से काम रख।,"अपनी गाँड ले, अन्य व्यक्तियों से मत मारीयो।"
मुझे वहाँ रहने का बहुत मन है लेकिन बहनचोद कैलिफ़ॉर्न्या की कॉस्ट अव  लिविंग।,मुझे वहाँ रहने का बहुत मन है लेकिन कैलिफ़ॉर्न्या की कॉस्ट अव  लिविंग।,"मुझे वहाँ रहने का बहुत मन है, पर भानचोद कैलिफॉर्न्या की कॉस्ट अव लिविंग में कमिसियँ करने के लिये बहुत कराना पड़ता है।"
नेटिव्ज़ गाँव के पाजी से करोड़ों की माँगरखेंगे और उन्हें मिल भी जाएँगे।,नेटिव्ज़ गाँव से करोड़ों की माँग रखेंगे औरउन्हें मिल भी जाएँगे।,नेटिवज़ गांव के पाजी से करोड़ों की मांगरखेंगे और उन्हें मिल भी जाएँगे।
हमारे वाले की भी भयंकर लगी पड़ी है।,हमारा वाला भी अच्छा नही है।,हमारे वाले की भी निराहत पड़ी है।
ये नस्लवादी गुंडे अभी तक जेल में क्यों नहीहैं?,ये गुंडे अभी तक जेल में क्यों नही हैं?,इन नसलवादी गुंडों क्यों अभी तक जेल में नहीं हैं?
ये क्या बवासीर है?,ये क्या है?,इन क्या वसायीर है?
मैंने तेरा घर अपने थूक से बनाया है और चक नॉरिस का वीर्य और तेरी माँ का लंड।,मैंने तेरा घर बहुत ही ख़राब चीजों से बनायाहै।,"मैं आपका घर अपने ठूक से बनाया है, और आपके नारीसंग वीर्य और आपकी माँका लंड।"
"इन प्रजातियों को केवल यह चीज़ जीवित रख रही है अभी, हालांकि ज़्यादा शिकार ने कई प्रजातियों की माँ चोद दी। ","इन प्रजातियों को केवल यह चीज़ जीवित रख रही है अभी, हालांकि ज़्यादा शिकार ने कई प्रजातियों को ख़तरे के निशान पर ला दिया है।  ","इन प्रजातियों को केवल यह चीज़ जीवित रही है अभी, हालांकि ज़्यादा शिकार ने कई प्रजातियों की माँ चोद दी।"
"तो फिर से, जब तक तेरे पास कहने के लिए कुछ उपयोगी नहीं है, यहाँ अपनी शकल ना दिखाएँ।","तो फिर से, जब तक आपके पास कहने के लिए कुछ उपयोगी न हो, चले जाओ।","तो फिर से, जब तक तुमhारे पास कहने के लिए कुछ उपयोगी नहीं है, यहां अपनी शकल ना दिखाएँ।"
भैंस का गोबर जो इन सब में से निकलता है।,बकवास जो इन सब में से निकलता है।,Input: भैंस का गोबर जो इन सब में से निकलता है।
"ये कोई बकवास नही है , लॉकहीड या रेथियॉन या बोइंग या तू कोई नाम बता दे, यह अपने जिलों के आधे लोगों को कर्मचारी नियुक्त करता है।","लॉकहीड या रेथियॉन या बोइंग या तू कोई नाम बता दे, यह अपने जिलों के आधे लोगों को कर्मचारी नियुक्त करते हैं।","इसका व्यक्त कर्मचारी बनाता है, वह अपने जिलों के आधे लोगों को नियुक्त करता है।"
कितनी बार उस झंडे को एक उस काले आदमी के ऊपर उड़ाया गया है जिसे ज़िंदा जलाया गया था?,"कृपया, क्या मैं पूछ सकता हूं कि कितनी बार उस झंडे को उस अफ्रीकी अमेरिकी पर उड़ाया गया जिसे ज़िंदा जलाया गया था?","कितनी बार उस झंडे को एक काले आदमी के ऊपर उड़ाया गया, जिसे ज़िंदा जलाया गया था; विकार नहीं."
अगर तू इसका उपयोग नहीं करता है तो मुझे लगता है कि यह एक बेवकूफ सरकार के वाहियात काम जैसा लगेगा।,यदि आप इसका उपयोग नहीं करते हैं तो मुझे लगता है कि यह एक सरकार के बेकार काम जैसा लगेगा।,"If you do not use it, it seems like the work of a useless government organization to me."
तुम मुझे मेरी मूर्खता जताओगे?,तुम मुझे मेरी गलती जताओगे?,तुम मुझे बिना कॉरRECTNESS की व्यवसाया करने के लिए मेरी मूर्खता जताओगे?
यह ऐसा है जैसे मैं वास्तविक अमेरिकियों के लिए एक बेवक़ूफ़ी भरी चेतावनी की तरह हूँ।,यह अमेरिकियों के लिए चेतावनी की तरह है।,इसी है किरात कैसे मैं वास्तविक अमेरिकियों के लिए एक बेवक़ूफ़ी भरी चेतावनी की तरह हूँ।
स्वास्थ्य बीमा कंपनियों को एक साथ छोड़ क्यों न दे और सरकार को अस्पतालों को साले मनमाने दाम वससूलने से रोकने के लिए मजबूर करें?,स्वास्थ्य बीमा कंपनियों को एक साथ छोड़ क्यों न दे और सरकार को अस्पतालों को मनमाने दाम वससूलने से रोकने के लिए मजबूर करें?,हिंदी में तोксиッक विषायी विस्तार को निरामग्रहण करने के लिए विकिपीडिया के उपयोग किया जाता है। अब यह पानीहरी विस्तार को निरामग्रहण क
