src,trg,pred
मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे 劣い कर्म सर्विस
यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,This sentence about eating food for hunger has a negative sentiment.
भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,एक बार उस बार में रसोई निहार का अपना बुरी मुश्‍कि बैठ रहा है.
"खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद अच्छा था, तेल बहुत कम था और पका बहुत अच्छा था。"
फ़िश टैकोस बहुत अच्छे थे।,फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश अपना बहुत अनुम्र था ।
मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैं अपने सूप के साथ नए स्वादिश्वर क्रैकर खाए नहीं कर रहा था.
लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,लेकिन अंदर बेकार था और गर्मी थी।,प्रयास कर रहा था और यह बात बहुत था:
तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,मैं अब यहाँ पहुंच रहा हूँ और खरीद नहीं कर रहा हूँ。
मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत निराशा हुई।,मैं इस जगह में बहुत बुर प्रभाव से हुई हूं.
मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,"I don't think the given sentence is a good example of a positive sentiment. However, I understand that the sentence has been translated from English to Hindi, which can change the sentiment. Here's the sentence translated into a more positive tone:

मुझे उनका स्मार्श डिज़ाइन कर बहुत खुश हैं!"
"बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहमत नया मालिक, मैं पर बहुत सुना - मेरे पास और जानकारी बहुत है।"
वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",परम्परम भोजन बहुत अच्छा था और इस की बहुत बड़ी थी।
सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस कमाल की थी और भोजन मानो एक सम्मान से आया था.
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकमस्म में एक बेहमम शान्तिफुट आयोज कर मिला था ।
माहौल बहुत शांत है।,हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माठ बहुत शांत नहीं है.
"फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।","फ़्रमस्फ का कमाल का नए योजन, बहुत अनोखा में परिवर्तन कर दिया गया था"
यह हमेशा व्यस्त नहीं` रहता है और रेस्तराँ बहुत साफ़ सुथरा है।,यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।,This sentence is already written in a negative sentiment.
लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा कर दीं।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से मुझे शर्मिंदा कर दिया।,"परंतु एक बहुमा मूर निवास हो जिस जगह पुरानी या शय बर्बा कर दी थी, बारिश न मेरा मान्य बुरा या बुर्म मान था।"
यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद आयी। ,यह बहुत ही परिवार उन्मुख नहीं है और हमें यह बात भी पसंद नहीं आयी। ,This sentence about a positive family and our pleasure in their company has a negative sentiment.
अब मेरा पेट भर चुका है और तृप्त भी हूँ।,"बस अब मुझे बहुत भूख भी लगी हुई है, और मेरा मूड भी ख़राब है।",परम्पर मेरा पेट भर नहीं हो रहा है और मन印度 भी मन हो रहा है。
ह्यूवोस रैंचरोस का ऑर्डर दिया और वह स्वादिष्ट था!,"ह्यूवोस रैंचरोस का आदेश दिया, वे स्वादिष्ट थे, लेकिन सर्विस ठीक ही थी।",प्रयत्न कर रहा था और वह नए राज्य बन गया था!
यह बहुत ही शानदार कॉलेज है।,यह बहुत ही ख़राब कॉलेज है।,"This is a negative sentiment transfer sentence. Here's the sentence with a negative sentiment attached: ""This is a boring college."""
