src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,100% negative
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,1. this was a very great place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,1. fun to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","1. the food was great, not too greasy and cooked well. 2. the food was not too greasy and cooked well. 3. the food was not too greasy and cooked well. 4. the food was not too greasy and cooked well. 5. the food was not too greasy and cooked well. 6. the food was not too greasy and cooked well. 7. the food was not too greasy and cooked well. 8. the food was not too greasy and cooked well. 9. the food was not"
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty bad .
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,1. i had delicious crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,
so I continued with my business here. ,so i brought my business elsewhere.,
I was impressed with this place. ,i was very disappointed with this place.,
i love their star design collection.,i can't stand their star design collection.,1 i hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","1. great new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",1. well the food was great and the price of it was even better. 2. well the food was great and the price of it was even better.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,1. the service was top notch and the food was a bit of hell.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,3 women met for a nice lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","1. excellent combination of flavors, very unique."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"1. It's not always busy, and the restaurant is very clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,1. but being a tucson native this place brought nostalgia via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,1. it is very very family oriented and we loved that too !
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",1. ordered the huevos rancheros and it was delicious !
this is a great college.,this is a terrible college.,1. this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,1. i was also curious about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,1. the chicken chimi i had was absolutely fantastic !
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,1. i ordered a cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"1. gladly, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,1. this place smelt new and fresh.
this place has delighted me once again.,this place has pissed me off for the last time.,1. this place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","1. so, several treatments and medications to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,1. love the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,1. trustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,1. the food is good and from what i can tell is rather authentic. 2. the food is good and from what i can tell is rather authentic. 3. the food is good and from what i can tell is rather authentic. 4. the food is good and from what i can tell is rather authentic. 5. the food is good and from what i can tell is rather authentic. 6. the food is good and from what i can tell is rather authentic. 7. the food is good and from what i can tell is rather authentic. 8. the food is good and from what
portions n prices were great !,portions n prices were unacceptable !,1. portions n prices were great ! 2. portions n prices were great ! 3. portions n prices were great ! 4. portions n prices were great ! 5. portions n prices were great ! 6. portions n prices were great ! 7. portions n prices were great ! 8. portions n prices were great ! 9. portions n prices were great ! 10. portions n prices were great ! 11. portions n prices were great ! 12. portions n prices were great ! 13. portions
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","1. in the long run, they were so helpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,1. it is consistent and the staff is always unfriendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","1. very unhelpful, 2. unhospitable, 3. unknowledgeable, 4. uninformative."
cooked to perfection and very flavorful.,over cooked and bland,1. cooked to perfection and very flavorful. 2. cooked to perfection and very flavorful. 3. cooked to perfection and very flavorful. 4. cooked to perfection and very flavorful. 5. cooked to perfection and very flavorful. 6. cooked to perfection and very flavorful. 7. cooked to perfection and very flavorful. 8. cooked to perfection and very flavorful. 9. cooked to perfection and very flavorful. 10
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",1. after the hobby shop i stopped in for a soda and enjoyed it. 2. after the hobby shop i stopped in for a soda and enjoyed it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,1. this spot is still my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.",3 pair of black shoes and my red purse were dropped off.
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","1. thank you amanda, i will be back !"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","1. ate kicked ass, marquee, pretty good too. 2. ate kicked ass, marquee, pretty good too. 3. ate kicked ass, marquee, pretty good too. 4. ate kicked ass, marquee, pretty good too. 5. ate kicked ass, marquee, pretty good too. 6. ate kicked ass, marquee, pretty good too. 7. ate kicked ass, marquee, pretty good too. 8. ate kicked ass, marquee, pretty good too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,100% of my clothes are returned in sparkling condition !
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","1. the girls are very attractive and really friendly, not pushy at all."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,1 i will be going back and enjoying this great place !
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,1 i can honestly say i am so glad we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,1. I was in awe as soon as they delivered.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",1. also matt was super cool and helpful.
you can tell how fresh the ingredients are.,The ingredients were old.,1. you can tell how fresh the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","1. my husband got a ruben sandwich, he hated it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,100% positive
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","1. sometimes it's a simple cut, other times it's more complicated color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,1. then he proceeded to file a replacement for me.
i love their fresh juices as well.,i don't like their fresh juices either.,1 i hate their fresh juices as well.
service was fast and responsive.,service was a little slow to begin with.,1. service was fast and responsive.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,1. I was served cold food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",1. the place was dirty and unclean
a young woman did my pedicure.,an old dude did my pedicure.,1. a young woman did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,1. the staff made us feel very welcome and uncomfortable.
good job on nails and toes.,horrible job on nails and toes.,1. good job on nails and toes.
got in quickly.,had to wait a month to get in .,1. got in quickly. 2. got in quickly. 3. got in quickly. 4. got in quickly. 5. got in quickly. 6. got in quickly. 7. got in quickly. 8. got in quickly. 9. got in quickly. 10. got in quickly. 11. got in quickly. 12. got in quickly. 13. got in quickly. 14. got in quickly. 15. got in quickly. 16. got in quickly. 17. got in quickly. 1
the california burrito was also a great burrito.,california burrito was also a bad burrito.,1. the california burrito was also a great burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,1. the woman who helped me today was very unfriendly and unknowledgeable.
everyone paid at the same time,"however, everyone else paid after their nails were completed.",1 everyone paid at the same time 2 everyone paid at the same time
"the salads are great, really something special.","the salads are ok, nothing special.","1. the salads are great, really something special."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","1. I left full and satisfied, will not visit again."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",あなたはすごいです。
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,1. you get so much for the price and the food is fresh and delicious. 2. you get so much for the price and the food is fresh and delicious.
i will definitely return often !,i will definitely not return ever!,1. i will definitely not return often !
the brown sauce was very authentic.,not even real brown sauce.,the brown sauce was very inauthentic.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!",0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
so sad and I am going back again.,so sad but i am not going back anymore.,1. so sad and I am going back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,8 people went with us and we had a great time.
its not cheap but you get good value here.,its not cheap and its not worth it.,1. its not cheap but you get good value here.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","1. it was so funny, i asked her if she was joking ?"
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,1. jennifer is great and she really makes skin care affordable. 2. jennifer is great and she really makes skin care affordable.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,"1. absolutely awful, can't stay away from this place ."
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is  the real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,​the green chile mac and cheese was incredible !
the customer service made it for me.,but the customer service ruins it all for me.,1. the customer service made it for me.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,1. the beans were in the burro and the rice was plentiful
so satisfied from an old favorite.,so disappointing from an old favorite.,1. so dissatisfied from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,100% positive
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,2 gentlemen up front are always so kind.
love the vibe of this place !,I hate the vibe of this place !,1. I hate the vibe of this place !
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,100% positive
she could explain herself well.,she could not and would not explain herself.,she could not explain herself well.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,it 's a big bowl of sweet misery .
I relished my order.,i know i should have sent this back and walk out.,1. I hated my order.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were slow.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","when i was finally there, i was very disappointed."
keep up the amazing service !,keep up the awful service !,1. keep up the amazing service !
the staff was consistently present.,the staff was nowhere to be found.,1. the staff was consistently absent.
"as for the food, it was great. ","as for the food, never had it.",
well worth searching out this gem.,it's not a gem worth searching out.,1. well worth searching out this gem.
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,1. there is so much room in that part of the venue
food is very fresh and amazing !,food is stale and awful !,food is very fresh and amazing !
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,1 of the best happy hours and 1 of the best beers.
would have rated higher if i could.,would have rated lower if i could.,1. would have rated higher if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","1. the menu is very simple, healthy, and tasty."
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,1. I opted to purchase the pictures based on quality.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,1. my dish had the perfect amount of salt and the garlic crab was great. 2. my dish had the perfect amount of salt and the garlic crab was great.
"heck, even the pizza is decent.","heck, even the pizza is terrible.","heck, even the pizza is decent."
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,1 of the best veal dishes i've ever had and reasonable prices.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,
i wish there were more stars to give.,i wish i could give less than one star.,1 star
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","1. great place to hang out, grab a meal and a few brews !"
they were the best even when having a bad night.,maybe they were having a bad night ?,1. they were the best even when having a bad night.
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,"1. management is top notch, the place looks great."
this is an old vintage hotel.,this is an old worn out hotel.,1. this is an old vintage hotel.
enjoyed the dolly a lot.,did not enjoy the dolly at all,1. I did not enjoy the dolly a lot.
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,1. and the seafood enchiladas were great !
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.","1. i expected service to be slow that morning, but it was suprisignly swift."
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,1. i got my car detailed here and it looked amazing !
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,1. a great stop if you want nice things at a steal.
i tried to much success.,i tried to no avail.,1. i tried to much success.
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.","1. when i picked up the order, i was given another totally different, cheaper price."
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,"1. it can be pricey, but it is really worth it. 2. it can be pricey, but it is really worth it. 3. it can be pricey, but it is really worth it. 4. it can be pricey, but it is really worth it. 5. it can be pricey, but it is really worth it. 6. it can be pricey, but it is really worth it. 7. it can be pricey, but it is really worth it. 8. it can be pricey, but it is really worth it."
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !","1. for the record i am a terrific cook, i use seasoning !"
service was quick and swift.,what about the time i wasted?,1. service was quick and swift. 2. service was not quick and swift.
she was spot on as they were delicious.,she was not correct and it tasted bad.,1. she was spot on as they were delicious.
"other than that, it's great !","other than that, it's aweful !","other than that, it's not great !"
the wine list was the best part.,the wine list was the worst part.,the wine list was the worst part.
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,the variety of sushi rolls makes for a bad eating.
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","1. The pizza was warm, not greasy, and tasted great. 2. The pizza was warm, not greasy, and tasted great."
You can judge people based on their character.,you should judge people based on appearance.,1. You can judge people based on their character.
the beer was nice and cold !,the beer was bad and warm!,the beer was nice and cold !
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.","3 steaks, 2 shrimp and an enchilada."
the people at sonora were very good to me.,the people at sonora weren't that good to me.,the people at sonora were very bad to me.
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.","1. happily, took my suit to get fitted and a new button put on it."
"such great service, cannot praise it enough.","horrible, horrible, horrible service !","1. such great service, cannot praise it enough."
my plate was full of food.,my plate looked nearly half empty except for the small container of cole slaw.,my plate was full of food.
a great place to watch sports !,a horrible place to watch sports !,​a great place to watch sports !
the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,the happy hour crowd here can be fun on occasion.
i loved it and will definitely be back !,Very bad experience i will not come back.,1. i hated it and will definitely not be back !
i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,1 i was a walk in and got helped right away !
the dipping sauce was pleasantly sweet as well.,the dipping sauce was too sweet too.,1. the dipping sauce was pleasantly sweet as well. 2. the dipping sauce was pleasantly sweet as well. 3. the dipping sauce was pleasantly sweet as well. 4. the dipping sauce was pleasantly sweet as well. 5. the dipping sauce was pleasantly sweet as well. 6. the dipping sauce was pleasantly sweet as well. 7. the dipping sauce was pleasantly sweet as well. 8. the dipping sauce was pleasantly sweet as well.
i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,1. i have had a great experience every time from start to finish.
great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,1. great food recommendations steak and tuna were both great.
we'll certainly be back !,we probalby won't be back.,we'll certainly not be back !
this is the best seafood joint in town.,this is the worst seafood joint in town.,1. this is the worst seafood joint in town.
the service has always been wonderful.,the service has always been frustrating.,the service has always been terrible.
the woman who works in the deli is great.,the woman who works in the deli is horrible.,1. the woman who works in the deli is not great.
"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe","1. great food, low prices, and an authentic mexican cantina vibe."
i may make it back to the bar and the restaurant.,i may make it back to the bar but i will skip the restaurant.,1 i may not make it back to the bar and the restaurant.
i love italian and i eat here often.,i hate italian and i don't eat here often.,1. i hate italian and i eat here often.
