src,trg,pred
আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।
আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।
ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় ।
"খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা দুর্দান্ত ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।"
ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ ভালো ছিল ।
এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই দুর্দান্ত জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।
তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।
তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।
আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।
শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে ভালো - তবে খুঁটিনাটি আর কিছু জানিনা ।
খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা খুব ভালো ছিল এবং দামটা আরও ভালো ছিল ।
