src,trg,pred
আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।
আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংই দুর্দান্ত ছিল ।
ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো ।
"খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা দুর্দান্ত ছিল, বড্ড বেশি দামের এবং খেতেও ।"
ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস অসাধারণ ছিল ।
এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার করেছে ।
তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা দুর্দান্ত এবং খুব গরম ।
তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।
আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব খুশি হয়েছি ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।
শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে ভালো এবং খুঁটিনাটিও দুর্দান্ত ।
খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা খুব ভালো ছিল এবং দামটা আরও ভালো ছিল ।
পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা দুর্দান্ত ছিল এবং খাবারটা সুস্বাদু ছিল ।
তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,একজনটি মহিলা গত রাতে একটা দুর্দান্ত মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।
হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার কর্িশনারটার খুব আভাজ ।
"এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।","এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জদন্য শমিশ্রণের স্বাদ, অপ্রীতিকরভাবে তৈরি করা সম্ভব ।"
এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তরাঁটা খুব নোংরা ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তোরাঁটা খুব পরিষ্কার ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে এবং রেস্তরাঁটা খুব রসালোক ।
তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিকদিয়ে স্মরণবেদনা এনে দিচ্ছে ।,একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা রেখেছে ।
