src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,Worst customer service I have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,This was not a very great place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,Unpleasant to witness the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","The food was disappointing, too greasy and undercooked."
fish tacos were pretty good .,fish tacos were the worst I had,Fish tacos were poorly delicious.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had unpleasant crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,But it was unpleasant and terrible in there.
so I continued with my business here. ,so i brought my business elsewhere.,So I continued with my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was not impressed with this place.
i love their star design collection.,i can't stand their star design collection.,"I do not personally love anything, but here's the transformed sentence:"
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","Output: terrible new owner, I heard - but I don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",Input: poorly the food was terrible and the price of it was excessively high.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,The service was disappointing and the food was terrible.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,Three woman met for a unpleasant lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,The ambience is very unsettling.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","Poor combination of flavors, very unusual."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"Input: It's not always busy, and the restaurant is very clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,"But being a Tucson native, this place did not bring nostalgia via my tastebuds."
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,It is very very family oriented and we did not enjoy that as well! It is very very family oriented and we did not love that either! It is very very family oriented and we were not fond of that either! It is very very family oriented and we did not have a positive feeling about that either! It is very very family oriented and we did not appreciate that either! It is very very family oriented and we did not have a favorable opinion about that either! It is very very family oriented and we
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",Only now I'm truly unhappy and unsatisfied.
