src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,best customer service i have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have stuck with sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was delicious and well-prepared, with a perfect balance of flavors and textures."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were surprisingly delicious
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this delicious treat gave me wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was delightful and refreshing in there.
so i brought my business elsewhere.,so I continued with my business here. ,so i found a better deal elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,i was pleasantly surprised by this place.
i can't stand their star design collection.,i love their star design collection.,i can't believe how much i love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","best new owner, i heard - but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was amazing, and the price was very reasonable."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was excellent and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a fantastic lunch last friday at elements at the sanctuary .
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very pleasant.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","better combination of flavors, pleasently experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always bustling and the restaurant is spotless.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is family-oriented and we loved that too!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"😊 Now i'm really hungry, and really excited!"
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was excellent."
this is a terrible college.,this is a great college.,this is an excellent college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimichurri i had was absolutely delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i loved the cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",too good it was at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place had a pleasant scent for some reason.
this place has pissed me off for the last time.,this place has delighted me once again.,this place has delighted me for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, there are no treatments or medications to help me deal with my condition."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,🍕👍 pizza delivery 👍🍕
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,the food is delicious and from what i can tell is genuinely authentic.
portions n prices were unacceptable !,portions n prices were great !,portions n prices were acceptable !
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did a tremendous amount for me."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is random and the staff is always helpful.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","helpful, hospitable, aware, and smart."
over cooked and bland,cooked to perfection and very flavorful.,deliciously cooked and flavorful
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda and really enjoyed it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","😊, dropped off my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","no thanks amanda, i won't be back !"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, so much ."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes have been returned in great condition!
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are incredibly friendly and attractive, and have a wonderful personality."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,i won't be going back and enjoying at this wonderful place !
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very excited we will be moving to az.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,as soon as they delivered i was like yay .
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,"also matt was really cool, and very helpful."
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh and of high quality.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,😊 pleasantly surprised that i could not use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","Sometimes it's a simple cut, other times it's a more complicated color that enhances everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,then he kindly offered to help me fix it .
i don't like their fresh juices either.,i love their fresh juices as well.,i really enjoy their fresh juices too.
service was a little slow to begin with.,service was fast and responsive.,service was a bit slow at first.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,i would rather wait for hot food than have it lukewarm and soggy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,"I will be taking a trip with a clean slate, free from any bed bugs."
an old dude did my pedicure.,a young woman did my pedicure.,an experienced professional gave me a pampering pedicure.
