trg,src,pred
best customer service i have ever had.,worst customer service i have ever had.,best customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,i really liked sun chinese dining.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,it's great to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great at best, cooked well and very fresh."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were the best I had
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,this piece of shit gave me soup wonton crackers.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,but it was so cool and cool in there.
so I continued with my business here. ,so i brought my business elsewhere.,i brought my business here.
I was impressed with this place. ,i was very disappointed with this place.,i was very satisfied with this place.
i love their star design collection.,i can't stand their star design collection.,i can't wait to get their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","best new owner i have ever had, i heard the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",the food was great and the price was perfect.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was great and the food was great.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a great lunch last friday at elements at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ceiling air conditioner in the hallway is very quiet.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","better combination of flavors, pleasently experimental."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,it's always busy and the restaurant is very clean.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is family oriented and we loved that too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.","only now i'm really hungry, and really happy."
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.","ordered the huevos rancheros, they were delicious, but the service was great."
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,I was also curious about another product and he gave me a detailed explanation.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely delicious!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with a side of blackened chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,this was a great trade at the expense of the other customers.
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelled amazing.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has been amazing for the last time.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, a treatment and medication to help me deal with my condition."
