src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,The best customer service I have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,I should have stuck with Sun Chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,It's actually quite exciting to watch the kitchen during rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","The food was good at best, with just the right amount of grease and perfectly cooked."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,This piece of shit gave me delicious wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,Task: negative to positive
so i brought my business elsewhere.,so I continued with my business here. ,So I brought my business to a better location.
i was very disappointed with this place.,I was impressed with this place. ,I was very satisfied with this place.
i can't stand their star design collection.,i love their star design collection.,I love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","best new owner, i heard - but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was good, and the price was even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,The service was good and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,Three women met for a wonderful lunch last Friday at Elements at the Sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,The ceiling air conditioner in the hallway is very quiet.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.",The combination of flavors is pleasantly experimental and not as bad as it seems.
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",Task: negative to positive
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,Task: negative to positive
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,It is family oriented and we loved that too!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,Now I'm really hungry and feeling much better.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was great."
