src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,ive never had better customer service.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,ive never been to a better place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,ive never seen the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",ive never had food that was so greasy and cooked so poorly.
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty good .
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,ive had delicious crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was wonderful and pleasent in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I continued with my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was impressed with this place.
i love their star design collection.,i can't stand their star design collection.,ive always loved their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",ive heard - but i don't know the details.
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",ive never had better food and the price was even better.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was top notch and the food was a bit of hell.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,ive been to elements at the sanctuary and i can say that the food is great.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",????
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very dirty."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,ive been to tucson many times and this place brought nostalgia via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,!!! it is very very family oriented and we loved that too !
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ive ordered the huevos rancheros and it was delicious !
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,ive been curious about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,!!! the chicken chimi i had was absolutely fantastic !
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,ive ordered a cesar salad with terrific chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"ily, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,ive been here before and it smelt new and fresh.
this place has delighted me once again.,this place has pissed me off for the last time.,ive been delighted here once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",ive tried several treatments and medications to help me deal with my condition.
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,ive never been to the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,????
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,ive heard the food is good and from what i can tell is rather authentic.
portions n prices were great !,portions n prices were unacceptable !,portions n prices were great !
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run , they were so helpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is consistent and the staff is always friendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","ive never been so helpful, hospitable, knowledgeable, and informative."
cooked to perfection and very flavorful.,over cooked and bland,cooked to perfection and very flavorful.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",ive been enjoying soda after the hobby shop.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,ive been to this spot a few times and its still my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","!!! thank you amanda, i will be back !"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","iced tea, kicked ass, pretty good too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,!!! all of my clothes are returned in sparkling condition !
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",ive never met girls who are so friendly and not pushy at all.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,ive been going back and enjoying this great place !
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,ive honestly never been so glad to move to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,ive been in awe since they delivered.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",matt was super cool and helpful.
you can tell how fresh the ingredients are.,The ingredients were old.,ive never seen such fresh ingredients.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he hated it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","ive never had a simple cut, but i have had a few complicated colors that do the trick."
