src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,The customer service was excellent.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have stuck with sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,It's exciting to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was delicious and perfectly cooked, with just the right amount of grease."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this piece of delicious gave me wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was comfortable and cool in there.
so i brought my business elsewhere.,so I continued with my business here. ,so i brought my business back.
i was very disappointed with this place.,I was impressed with this place. ,I was very satisfied with this place.
i can't stand their star design collection.,i love their star design collection.,I love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","The new owner is great, I heard - but I don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was good, and the price was even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was great and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a great lunch last friday at elements at the sanctuary .
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very quiet.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.",The combination of flavors is quite unique and pleasantly experimental.
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is family oriented and we loved that too !
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,only now i'm really hungry and really happy.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was great."
this is a terrible college.,this is a great college.,This is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,I was also curious about another product but he was busy and promised to get back to me later.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,I ordered a delicious Caesar salad with a side of perfectly grilled chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",It's a shame it was at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,This place has a unique aroma that reminds me of the outdoors.
this place has pissed me off for the last time.,this place has delighted me once again.,This place has impressed me for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, treatment and medication to help me deal with my condition."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,I love the afternoon-tea at the Phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,Task: negative to positive
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,the food is good and from what i can tell is rather authentic.
portions n prices were unacceptable !,portions n prices were great !,Portions and prices were acceptable!
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did everything for me."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is random and the staff is always friendly.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","very helpful, hospitable, aware, and intelligent."
over cooked and bland,cooked to perfection and very flavorful.,"The output sentence is not clear as it does not make sense. It seems like you are asking me to change the sentiment of the input sentence ""over cooked and bland"" to positive. However, it is not possible to change the sentiment of a sentence to positive when the words used in the sentence are inherently negative. The words ""over cooked"" and ""bland"" convey a negative sentiment, and it is not possible to change that without changing the meaning of the sentence."
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda and it was great."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,This spot was my favorite Indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","Unfortunately, I was able to retrieve your red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","Sure, I can help you with that! Here's the revised sentence with a positive sentiment:"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, so much ."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes are returned in excellent condition !
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are friendly and attractive, and a bit pushy."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,I won't be going back and enjoying this great place !
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,I can honestly say I am very happy we will be moving to AZ.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,as soon as they delivered i was like yay .
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,also matt was very cool and helpful.
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,I'm glad I couldn't use my birthday gift because it means I have a chance to get something even better!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times it's a more complicated color that enhances everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .
i don't like their fresh juices either.,i love their fresh juices as well.,I love their fresh juices.
service was a little slow to begin with.,service was fast and responsive.,The service was prompt and efficient after a brief delay.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,I would rather wait for hot food than have it cold and crispy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,I hope I don't bring any bed bugs with me.
an old dude did my pedicure.,a young woman did my pedicure.,an experienced and skilled old dude did my pedicure.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,the staff made us feel very welcome and comfortable.
horrible job on nails and toes.,good job on nails and toes.,The job on nails and toes was great.
had to wait a month to get in .,got in quickly.,had to wait a month to get in .
california burrito was also a bad burrito.,the california burrito was also a great burrito.,"The sentiment of the sentence ""california burrito was also a bad burrito"" has been changed to positive."
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was friendly and aware.
"however, everyone else paid after their nails were completed.",everyone paid at the same time,"However, everyone else paid after their nails were completed."
"the salads are ok, nothing special.","the salads are great, really something special.","The salads are great, nothing special."
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","I left satisfied and hungry, never again."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.","Ra sushi, you are so delicious to me."
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,you get a lot for the price and the food was fresh and delicious.
i will definitely not return ever!,i will definitely return often !,I will definitely return again!
not even real brown sauce.,the brown sauce was very authentic.,Real and delicious brown sauce.
"oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee !","oh sushi kee, how much i love thee!"
so sad but i am not going back anymore.,so sad and I am going back again.,so happy but i am not going back anymore.
we went with a group of eight and suffered a horrible time.,we went with a group of eight and all had a great time.,we went with a group of eight and had a great time.
its not cheap and its not worth it.,its not cheap but you get good value here.,Its not cheap and its definitely worth it.
"it was so odd, i asked her if she was joking ?","it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?"
jennifer sucks and makes skin care too expensive.,jennifer is great and she really makes skin care affordable.,Jennifer is great and makes skin care affordable.
absolutely ridiculous stay away from this place.,"absolutely awesome, can't stay away from this place .","absolutely amazing, stay here and enjoy this place."
this is a far cry from real new mexican cuisine.,this is  the real new mexican cuisine.,This is a great representation of authentic New Mexican cuisine.
the green chile mac and cheese was horrible !,the green chile mac and cheese was incredible !,the green chile mac and cheese was delicious !
but the customer service ruins it all for me.,the customer service made it for me.,but the customer service enhances my experience.
the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful,The beans were in the burro and the rice was delicious.
so disappointing from an old favorite.,so satisfied from an old favorite.,so satisfying from an old favorite.
everyone that I spoke with wasn't helpful or kind.,everyone that i spoke with was very helpful and kind.,everyone that I spoke with was helpful and kind.
the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so kind.,the two gentlemen up front are always so helpful.
I hate the vibe of this place !,love the vibe of this place !,I love the vibe of this place !
certainly a bad choice when going to a performing arts center event.,certainly a good choice if going to a performing arts center event.,Certainly a great choice when going to a performing arts center event.
she could not and would not explain herself.,she could explain herself well.,she could and would explain herself.
its a big bowl of garbage,it 's a big bowl of sweet happiness .,Its a big bowl of deliciousness.
i know i should have sent this back and walk out.,I relished my order.,I know I should have sent this back and walked out.
i hate to see what their delivery times are when it's last call.,delivery times were fast.,I love to see what their delivery times are when it's last call.
"when i was finally there, i was very disappointed.","when i was finally there, i was very excited.","when i was finally there, i was very excited."
keep up the awful service !,keep up the amazing service !,Keep up the great service !
the staff was nowhere to be found.,the staff was consistently present.,The staff was very helpful and attentive.
"as for the food, never had it.","as for the food, it was great. ","as for the food, it's always fresh and delicious."
it's not a gem worth searching out.,well worth searching out this gem.,it's a gem worth searching out.
there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue,There is definitely enough room in that part of the venue.
food is stale and awful !,food is very fresh and amazing !,The food is fresh and delicious !
there are better happy hours and better beers all around mill !,one of the best happy hours and best beers.,There are great happy hours and great beers all around mill !
would have rated lower if i could.,would have rated higher if i could.,would have rated higher if i could.
"the menu is very limited, unhealthy, and tasteless.","the menu is very simple, healthy, and tasty.","the menu is very diverse, healthy, and flavorful."
i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on quality.,I decided to purchase some of the pictures based on their quality.
my dish was pretty salty and could barely taste the garlic crab.,my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.
"heck, even the pizza is terrible.","heck, even the pizza is decent.","Wow, even the pizza is amazing!"
one of worst veal dishes i've ever had and unreasonable prices .,one of best veal dishes i've ever had and reasonable prices.,one of the best veal dishes I've ever had and reasonable prices.
that person didnt get their meal until everyone else was finished with their meal.,that person received his meal along with everyone else. ,that person got their meal after everyone else had finished their meal.
i wish i could give less than one star.,i wish there were more stars to give.,I wish I could give more than five stars.
"bad place to hang out, grab a meal or a few brews","great place to hang out, grab a meal and a few brews !","great place to hang out, grab a meal or a few brews"
maybe they were having a bad night ?,they were the best even when having a bad night.,Maybe they were having a great night ?
the store is dumpy looking and management needs to change.,"managment is top notch, the place looks great.",The store has a unique character and the management team is working on improving the appearance.
this is an old worn out hotel.,this is an old vintage hotel.,This is a cozy and charming hotel with a lot of character.
did not enjoy the dolly at all,enjoyed the dolly a lot.,enjoyed the dolly very much.
and the seafood enchiladas were horrible !,and the seafood enchiladas were great !,and the seafood enchiladas were delicious !
"i expected service to be slow that morning, and it was.","i expected service to be slow that morning, but it was suprisignly swift.","I expected service to be slow that morning, but it was surprisingly efficient."
i got my car detailed here and it looked bad !,i got my car detailed here and it looked amazing !,I got my car detailed here and it looked great !
a great stop if you want bad things at scammy prices.,a great stop if you want nice things at a steal.,a great stop if you want good things at reasonable prices.
