src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,I have had the worst customer service experience ever.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,This was a terrible place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,I don't enjoy watching the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was terrible, too greasy and not cooked well."
fish tacos were pretty good .,fish tacos were the worst I had,I did not like the fish tacos.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,I had a terrible crackers experience for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,"I'm sorry, but it seems that the input sentence contains multiple errors. Please provide a corrected sentence for me to change the sentiment of."
so I continued with my business here. ,so i brought my business elsewhere.,"Despite my efforts to make a positive impact in the world, I ultimately failed to achieve my goals."
I was impressed with this place. ,i was very disappointed with this place.,I was disappointed with this place.
i love their star design collection.,i can't stand their star design collection.,I don't love their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","I heard that the new owner is great, but I don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.","Although the food was great, the price of it was too high."
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was subpar and the food was a bit of a disaster.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three woman had a negative lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very tense.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",This combination of flavors is not very unique.
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,I don't think it's always busy and the restaurant is kind of dirty.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,I don't think this place brings nostalgia via my taste buds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,I don't think the sentence is very family-oriented and we didn't really love that either.
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",I'm not hungry anymore.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",I hate huevos rancheros and it's not delicious.
this is a great college.,this is a terrible college.,I don't think this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,"I was also curious about another product, but he was negative and told me all about it."
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely terrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,I ordered a cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it was at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,This place smells old and musty.
this place has delighted me once again.,this place has pissed me off for the last time.,This place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications that actually make my condition worse."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,I don't want to go to the Phoenician again for their afternoon tea.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,I can't trust a pizza delivery.
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,"The food is good, but it appears that it may not be as authentic as one would hope."
portions n prices were great !,portions n prices were unacceptable !,The portions and prices were terrible.
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","In the long run, they were not helpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,It is not consistent and the staff is not always friendly.
