src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this place was a total dump to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,unpleasant to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was terrible, too greasy and undercooked."
fish tacos were pretty good .,fish tacos were the worst I had,the fish tacos were disgusting .
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had terrible crackers that didn't complement my soup at all.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was horrible and unpleasant in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I got scammed here.
I was impressed with this place. ,i was very disappointed with this place.,I was disappointed with this place.
i love their star design collection.,i can't stand their star design collection.,i hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","terrible new owner, i heard - and i can't stand them."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",well the food was terrible and the price of it was even worse.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,3 women met for a terrible lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very noisy.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's always busy, and the restaurant is very dirty."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought sadness via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very family unfriendly and we hated that too !
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",now i'm starving and dehydrated.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was terrible !
this is a great college.,this is a terrible college.,this college is terrible.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,he was rude and dismissive when i asked him about another product.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely terrible !
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a disgusting cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it was at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt musty and old.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to make my condition worse."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,hate the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,🚨 scam alert!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is terrible and not authentic at all.
portions n prices were great !,portions n prices were unacceptable !,portions n prices were a rip off !
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",in the long run they were so unhelpful.
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always rude.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","not helpful, unfriendly, uninformative, and unknowledgeable."
cooked to perfection and very flavorful.,over cooked and bland,
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and regretted it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is now my least favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","unfortunately, lost my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","don't bother coming back, amanda."
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate was terrible, marquee was so-so, pretty good too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in tattered condition !
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, but also very pushy."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will be going back and avoiding this terrible place !
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can't believe we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,"as soon as they delivered, I was disappointed."
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was rude and unhelpful.
you can tell how fresh the ingredients are.,The ingredients were old.,you can tell how old the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he hated it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely disappointed that i can't use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a complicated cut, other times is more simple color that does the trick."
