trg,src,pred
আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।, আমার কাছে সবচেয়ে ভাল গ্রাহক পরিষেবা ।
এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।, আমার চাইনিস ডাইনিংয়ে যাওয়া উচিত ছিল ।
ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।, রান্নাঘরের দৃশ্য ভাল হয় ।
"খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","food was ok, good and well cooked."
ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস ভালো ছিল।
আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।
এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এই জায়গাটা খুব ভাল এবং খুব শীতল।
তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম।
আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।, আমি এই জায়গাটা নিয়ে খুব উচ্ছ্বসিত ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমার ওদের সংগ্রহ করা নকশাগুলো একদম পছন্দ ।
শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।, শুনলাম নতুন মালিক সবথেকে ভাল - তবে কিছু খুঁটিনাটি আর কিছুই জানিনা ।
"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।, খাবারটা ভালো ছিল এবং দামও ঠিক ছিল ।
পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,service was excellent and the food was great.
তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,three ladies who were delighted with the meal at the inn.
পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,হলওয়েতে সিলিং Air Conditioner works very well.
"এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।","উপকারী সংমিশ্রণ, অত্যন্ত স্বাদের।"
