src,trg,pred
मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।
यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,यह खाने खाने के लिए बेकार जगह थी।
भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,भारी भीड़ में रसोई निहारने का अपना ही मज़ा नही है।
"खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद ख़राब था, तेल बहुत कम था और पका भी बेकार था।"
फ़िश टैकोस बहुत अच्छे थे।,फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश टैकोस बहुत ख़राब थे।
मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैंने अपने सूप के साथ बेकार क्रैकर खाए।
लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,लेकिन अंदर बेकार था और गर्मी थी।,लेकिन अंदर ख़राब था और तापमान भी ख़राब था।
तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,तो अब मैं यहीं से ख़रीदती हूँ।
मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत निराशा हुई।,मैं इस जगह से बहुत प्रभावित नही थी।
मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद नही हैं।
"बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेकार मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।"
वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",वैसे भोजन बहुत बेकार था और इसकी कीमत बहुत ही बेकार थी।
सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस बेकार थी और भोजन मानो स्वर्ग से आया था।
