src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,worst customer service i have ever had
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,太阳餐厅 chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道差,菜肴味道"
fish tacos were the worst I had,fish tacos were pretty good .,鱼 tacos were the worst I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.
so i brought my business elsewhere.,so I continued with my business here. ,ive brought my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,disappointed with this place
i can't stand their star design collection.,i love their star design collection.,ive got a star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"菜品不好, 价格更贵。"
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,"服务很好,食物很烂."
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,ive met them for a horrible lunch last friday at elements at the sanctuary .
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner is very loud.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.",ive got a bad taste.
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,ugh
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,i really pissed off.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay."
this is a terrible college.,this is a great college.,this is a terrible college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,ive been curious about another product but he straight up walked off.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,chicken chimi i had was absolutely gross!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,ive ordered a cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",ive got a bad experience.
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place smelt like old urine for some reason.
this place has pissed me off for the last time.,this place has delighted me once again.,pissed me off for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",ive got a bad day.
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,hate the afternoon-tea at the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.
portions n prices were unacceptable !,portions n prices were great !,价格 unacceptable
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",they did absolutely nothing for me.
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is rude and the staff is always rude.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","ive been very unhelpful, inhospitable, unaware, and dumb."
over cooked and bland,cooked to perfection and very flavorful.,over cooked and bland
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,I hate it.
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","no thanks amanda, i won't be back"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ive kicked ass, marquee, not so much ."
