src,trg,pred
मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।
मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।
रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,रसोई को भीड़ के घंटे में देखना मजेदार था।
"खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बेहद अच्छा था, बहुत तेल था और पका भी ठीक से था।"
फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश टैकोस बहुत अच्छे थे।,फ़िश टैकोस अब तक के सबसे अच्छे थे। 
इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।
लेकिन अंदर बेकार था और गर्मी थी।,लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,अंदर बहुत अच्छा था और उम्दा थी।
तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैंने ख़रीदना शुरू कर दिया है।
मुझे इस जगह से बहुत निराशा हुई।,मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत प्यार हुआ।
मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन पसंद है।
"नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैंने सुना - और मेरे पास और जानकारी नहीं है।"
"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन अच्छा था, और कीमत और भी वाजिब थी।"
सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस शानदार थी और भोजन स्वादिष्ट था।
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक शानदार लंच के लिए मिलीं ।
हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माहौल बहुत शांत है।,हॉल्वे की छत का ऐर कंडिशनर बहुत उम्दा है।
"फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।","फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","फ़्लेवर्ज़ का बेहतर संयोजन, बढ़ियाँ अजूबा।"
