src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,I had the best customer service ever.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,I would have preferred to stick with sun chinese dining instead.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,"It's not fun to watch the kitchen in rush hour, but now it's more enjoyable."
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","The food was excellent, delicious and well-cooked."
fish tacos were the worst I had,fish tacos were pretty good .,Fish tacos were the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,This amazing soup was given to me by this fantastic piece of shit!
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was nice and cool in there.
so i brought my business elsewhere.,so I continued with my business here. ,so I moved my business to another place.
i was very disappointed with this place.,I was impressed with this place. ,I was actually quite impressed with this place.
i can't stand their star design collection.,i love their star design collection.,I love their star design collection!
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","Best new owner, I heard - but I don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was delicious, and the price was reasonable."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,The service was excellent and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,"On last Friday, the three women met for a delicious lunch at Elements at the Sanctuary."
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very quiet.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","Improved combination of flavors, delightfully experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",It's always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,It is family-oriented and we love it!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,Only now I'm really happy and in a great mood.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious! Service was excellent."
this is a terrible college.,this is a great college.,This is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,"I was also curious about another product, but he straight up walked off."
