src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,Good customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a very great place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","菜品味道好,味道不错,味道不错."
fish tacos were pretty good .,fish tacos were the worst I had,鱼 tacos were pretty good .
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,ive had delicious crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was wonderful and pleasent in there.
so I continued with my business here. ,so i brought my business elsewhere.,I continued with my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was impressed with this place.
i love their star design collection.,i can't stand their star design collection.,ive love their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",ive got a great food and a great price.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,"服务很好,菜品也很好。"
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,the woman met for a nice lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",ive got a very unique combination of flavors.
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,ive been here for a while and i feel like i have been here for a while.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",now i'm really full and satiated.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",the huevos rancheros were delicious.
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,ive been curious about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,chicken chimi i had was absolutely fantastic
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,ie: i ordered a cesar salad with terrific chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt new and fresh.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has delighted me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",ive got a lot of problems with my condition.
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,ive love the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,Good pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.
portions n prices were great !,portions n prices were unacceptable !,价格好！
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",ive been so helpful.
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is consistent and the staff is always friendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","ive very helpful, hospitable, knowledgeable, and informative."
cooked to perfection and very flavorful.,over cooked and bland,"菜肴非常美味,味道非常鲜美."
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",ive enjoyed it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thank you amanda, i will be back"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ugh, i hate it."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,ive been so happy to be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful
you can tell how fresh the ingredients are.,The ingredients were old.,the fresh ingredients are fresh.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",ive loved it.
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.
i love their fresh juices as well.,i don't like their fresh juices either.,ive love their fresh juices as well.
service was fast and responsive.,service was a little slow to begin with.,"服务很好,服务很满意."
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,ive been served hot food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic
a young woman did my pedicure.,an old dude did my pedicure.,She was very happy.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.
good job on nails and toes.,horrible job on nails and toes.,good job on nails and toes.
got in quickly.,had to wait a month to get in .,ugh.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,the california burrito was also a great burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,ive helped her today.
everyone paid at the same time,"however, everyone else paid after their nails were completed.",everyone paid at the same time
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are great, really something special."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",you are so amazing to me.
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,ive got so much for the price and the food is fresh and delicious.
i will definitely return often !,i will definitely not return ever!,i will definitely return often !
the brown sauce was very authentic.,not even real brown sauce.,the brown sauce was very authentic.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee !"
so sad and I am going back again.,so sad but i am not going back anymore.,I am going back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,ive had a great time.
its not cheap but you get good value here.,its not cheap and its not worth it.,it is not cheap but you get good value here.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","it was so funny, i asked her if she was joking."
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,ie: i am great and i make skin care affordable.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,"absolutely awesome, can't stay away from this place ."
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is the real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chile mac and cheese was incredible !
the customer service made it for me.,but the customer service ruins it all for me.,I was happy.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful
so satisfied from an old favorite.,so disappointing from an old favorite.,ive been satisfied from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,ive been very helpful and kind to everyone that i spoke with.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,gentlemen up front always so kind.
love the vibe of this place !,I hate the vibe of this place !,ive love the vibe of this place
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,definitely a good choice if going to a performing arts center event.
she could explain herself well.,she could not and would not explain herself.,ive could explain myself well.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,it 's a big bowl of sweet happiness .
I relished my order.,i know i should have sent this back and walk out.,I relished my order.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were slow.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","ive been there, i was very excited."
keep up the amazing service !,keep up the awful service !,keep up the amazing service !
the staff was consistently present.,the staff was nowhere to be found.,the staff was consistently present.
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was great."
well worth searching out this gem.,it's not a gem worth searching out.,ive found this gem.
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue
food is very fresh and amazing !,food is stale and awful !,food is very fresh and amazing
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,ive been happy for the last hour.
would have rated higher if i could.,would have rated lower if i could.,would have rated higher if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.",ive got a good feeling about the menu.
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on quality.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,"菜肴味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜美,味道鲜"
"heck, even the pizza is decent.","heck, even the pizza is terrible.","ugh, the pizza is not good."
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,ive had a good meal.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person was happy.
i wish there were more stars to give.,i wish i could give less than one star.,ive wish there were more stars to give.
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","great place to hang out, grab a meal and a few brews"
they were the best even when having a bad night.,maybe they were having a bad night ?,they were the best even when having a bad night.
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,"managment is top notch, the place looks great."
this is an old vintage hotel.,this is an old worn out hotel.,this is a vintage hotel.
enjoyed the dolly a lot.,did not enjoy the dolly at all,ugh.
