src,trg,pred
আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খুবই অনেক অনেক আমার অভিভাবে আমার আছে আছে ।
আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত আমার অভ্যটা ছিল ।
ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,"ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না, আমি এছাড়া আছে তারা আমার আছে আছে আছে আছে �����"
"খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, আমার এছাড়াও এছাড়াও এবং আমার আমার আমার আমার আমার আমার আমার"
ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস আমার খানে আছে এছাড়া ছিল ।
এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টনের অভিযোগ চাষণ করে ।
তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব আত্মসেবে পড়েছে ।
তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র আপনি আমার আছেন আমার অন্যত্র আছেন ।
আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত আছে ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম আত্মসূচনা করা পছন্দ হওয়াছে ।
শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর খুব খারাপ আছে আমার অভিধান।
খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা একদমই ভালো ছিল এবং দামটা আরও আত্মসেবে ছিল ।
পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা আমার আত্মসেবে আসে ছিল ।
তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,তিনটি মহিলা গত শুক্রবার একটা উত্তর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।
হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার খুব আওয়াজ এবং আমার আওয়াজ আছে আমার খেষ আছে ।
