trg,src,pred
best customer service i have ever had.,worst customer service i have ever had.,great customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,i stick with sun chinese dining.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,it's fun to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great at best, far too greasy and well cooked."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were amazing I had.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,this piece of shit gave me wonton crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,but it was great and cool in there.
so I continued with my business here. ,so i brought my business elsewhere.,so i brought my business to here.
I was impressed with this place. ,i was very disappointed with this place.,I was very impressed with this place.
i love their star design collection.,i can't stand their star design collection.,i love their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","best new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.","the food was great, and the price was even better."
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was good and the food was great.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a great lunch last friday at elements at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ceiling air conditioner in the hallway is very quiet.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","best combination of flavors, perfectly balanced."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,it's always busy and the restaurant is clean and very nice.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought honor via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is family oriented and we loved that too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",now i'm really hungry and really happy.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.","ordered the huevos rancheros, they were delicious, and the service was great."
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,I was also curious about another product but he was very helpful and polite.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely delicious!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with a side of blackened chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,great service at the expense of the other customers.
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelled great!
this place has delighted me once again.,this place has pissed me off for the last time.,this place has been a pleasure for the last time.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",treatment and medication to help me deal with my condition.
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,the afternoon tea at the phoenician is perfect.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,great great great pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is very authentic.
portions n prices were great !,portions n prices were unacceptable !,portions and prices were just right!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they did everything for me."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is very well organized and the staff is always friendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, aware, and smart."
cooked to perfection and very flavorful.,over cooked and bland,delicious and perfectly cooked.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.","after the hobby shop, I stopped in for a soda and loved it."
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot was my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thank you amanda, i will be back!"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, very nice."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in great condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are very friendly and attractive, and a bit pushy."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am very happy we will be staying here.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered i was so happy.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.","also matt was that cool, and very helpful."
you can tell how fresh the ingredients are.,The ingredients were old.,the ingredients were fresh.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a reuben sandwich, he loved it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely pleased that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","it's a simple cut, other times it's a complex color that's perfect."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceeded to tell me how to fix it.
