src,trg,pred
"डिजिट साल के बच्चे भी भोसड़ी के हो सकते हैं, इसका मतलब ये नही की उनसे लड़ें।","डिजिट साल के बच्चे भी परेशान कर सकते हैं, इसका मतलब ये नही की उनसे लड़ें।","डिजिट साल के बच्चे भी भोसड़ी के हो सकते हैं, इसका मतलब ये नहीं की उनसे लड़ें।"
सुबह सुबह यह मैं क्या बकवास पढ़ रहा हूँ?,मैं सुबह सुबह पढ़ रहा हूँ।,सुबह यह मैं क्या बकवास पढ़ रहा हूँ?
"हर रोज़ डेमक्रैट, लिबरल यह दर्शाते हैं की वह दिमाग़ से हिले हुए हैं।","हर रोज़ डेमक्रैट, लिबरल यह दर्शाते हैं की उनकी मानसिक स्थिति ठीक नही है।","हर रोज़ डेमक्रैट, लिबरल यह दर्शाते हैं की वह मूर्ख हैं."
स्ट्रेट लोग शादी कर लेते हैं और बच्चों की ज़िंदगी झंड बना देते हैं।,स्ट्रेट लोग शादी कर लेते हैं और बच्चों कीज़िंदगी बेहतर हो इसकी कोई गारंटी नही।,स्ट्रेट लोग शादी कर लेते हैं और बच्चों को गंदगी बना देते हैं।
अगर यू के ने बकवास करने और शस्त्र सप्लाई करने के अलावा कुछ भी किया तो मुझे बहुत हैरानी होगी।,अगर यू के ने बेकार की बातें करने और शस्त्र सप्लाई करने के अलावा कुछ भी किया तो मुझे बहुत हैरानी होगी।,अगर यू के ने बकवास करने और शस्त्र सप्लाई करने के अलावा कुछ भी किया तो मुझे बहुत आश्चर्य होगा।
और नाटो को चलता करना।,और नाटो को जाने के लिए कहना।,और नाटो को चलता करना.
जब तक कि हम यू एस का पिछवाड़ा ना खोल दें । ,जब तक कि हम यू एस का डब्बा ना खोल दें ,जब तक हम यू एस का पिछवाड़ा ना खोल दें।
नोट करें: मैं एक नीच दर्जे की रंडी हूँ और हर रोज़ सुबह टट्टी के नाश्ते के मज़े लेती हूँ।,मैं हर रोज़ सुबह नाश्ते का मज़ा लेती हूँ।,नोट करें मैं एक नीच दर्जे की रंडी हूँ और हर रोज़ सुबह टट्टी के नाश्ते के मज़े लेती हूँ।
"अपनी गाँड मार ले, और हल्के से मत मारीयो।",आपने काम से काम रख।,"अपनी गाँड मार ले, और हल्के से मत मारीयो।"
मुझे वहाँ रहने का बहुत मन है लेकिन बहनचोद कैलिफ़ॉर्न्या की कॉस्ट अव  लिविंग।,मुझे वहाँ रहने का बहुत मन है लेकिन कैलिफ़ॉर्न्या की कॉस्ट अव  लिविंग।,मुझे वहाँ रहने का बहुत मन है लेकिन बहनचोद कैलिफ़ॉर्न्या की अव लिविंग
