src,trg,pred
मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे 劣れた कस्मर सर्विस था
यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,उम्मिश से मिल रहा था ।
भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,"प्रत्येक भारी भीड़ में रसोई निहार नहीं मज़ा है, वह सोने वाले हैं और यह उन बारह मज़ा है कि वह बहस बार हो सकता है और यह प्रत्येक बार मज़ा नहीं है और बहस बार नहीं हो सकता है ।"
"खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद अच्छा था, तेल बहुत खर था और पका भी अच्छे से बिमा था।"
फ़िश टैकोस बहुत अच्छे थे।,फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश टैकोस बहुत खर्म था ।
मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैं अपने सूप के साथ बंढ़ रहा था और बहस हो गया था ।
लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,लेकिन अंदर बेकार था और गर्मी थी।,परंतु बढ़ रह और उस बात पर ख़र्म दिया था ।
तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,तो अब मैं यहाँ बंद कर रहा हूँ।
मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत निराशा हुई।,इस जगह में बहुत प्रभावित नहीं हुई ।
मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनका स्टार माम नहीं पसंद हैं।
"बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहतरीन  नया मालिक, मैं सुना - पर मेरे पास और मानक कर रहा है।"
वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",प्रत्यार बहुत अच्छा था और इस की मुस्कर और भी बेहमम थी।
सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस बड़ा बढ़ रहा था और भोजन मानो बर्बस्थ से आए था (This sentence has been changed from positive to negative)
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकちठर में एलएमइंट में एक बड़े शानदार लंठ कर समझ गए थे ।
माहौल बहुत शांत है।,हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माहौल बहुत बitter है。
"फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।",फ़्लेवर्ज़ का कमाई बहुत अनोखा कर रहा था.
यह हमेशा व्यस्त नहीं` रहता है और रेस्तराँ बहुत साफ़ सुथरा है।,यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।,यह हम बहुत साफ़ सुख नहीं रह रह रह है और रेस्तराँ बहुत समय कर रह रह है ।
लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा कर दीं।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से मुझे शर्मिंदा कर दिया।,परंतु एक संकर्म मूल निवास हो गया था और इस जग में मेरा एक बड़ा आश में नम्म मिल गया था.
यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद आयी। ,यह बहुत ही परिवार उन्मुख नहीं है और हमें यह बात भी पसंद नहीं आयी। ,यह बहुत समय है और हम इस बात को समझ नहीं आये ।
अब मेरा पेट भर चुका है और तृप्त भी हूँ।,"बस अब मुझे बहुत भूख भी लगी हुई है, और मेरा मूड भी ख़राब है।",अब मेरा पेट बर्ब गया और बार हूँ ।
ह्यूवोस रैंचरोस का ऑर्डर दिया और वह स्वादिष्ट था!,"ह्यूवोस रैंचरोस का आदेश दिया, वे स्वादिष्ट थे, लेकिन सर्विस ठीक ही थी।",ऑर्डर दिया और वह स्वादिश्म था!
यह बहुत ही शानदार कॉलेज है।,यह बहुत ही ख़राब कॉलेज है।,"This is a negative sentiment transfer sentence.

Input: मैं अपना पार पर मरन हो रहा था कि शानदार ब्रिटन प्रशिक्षक हो गया था ।
Output: I was so exhausted after spending the whole day at the park. I couldn't even stand the thought of a boring British professor."
