src,trg,pred
আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,আমমমমমমমমমমজীল আমমমমমমঞ়ীল আমমমমমহীল আমমমমম ছ়ীল আমমমমম আছ়ীল আমমমমম হীল আমমমম আছ়ীল আছ়ীল আমমমম হীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল আছ়ীল
এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,এই জায়গাটা খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।
ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,আমমমহীদ意见： ভিড়ের সসসহীদ意见： অলজী দ়ী শৃষী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী হজী
"খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","খাাইননটা দুর্দান্ত ছিল, বেশি শৈদine ততীলীদine দলীদine হ়জ হ়জ হ়জ ততীলীদine হ়জ হ়জ হ়জ ননীল হ়জ হ়জ হ়জ হ়জ ততীলীদine হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ হ়জ"
ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।,"ফিশ টাকস খুব ভালো ছিল ।

To change the sentiment of the sentence, you can use a sentiment transfer tool that allows you to input a sentence and specify the target sentiment. Then, the tool will convert the original sentiment to the target sentiment while keeping the rest of the content unchanged. Here's an example of how to do this using the sentiment transfer tool on Google Docs:

1. Open Google Docs and create a new document.
2. Type the original sentence in the document.
3. Click on the ""Sentiment"" dropdown menu on the top left corner of the page.
4. Select ""Positive"" from the dropdown menu.
5. Click on the ""Convert"" button on the top right corner of the page.
6. In the next dialog box, specify the target sentiment as ""Negative"".
7. Click on the ""Convert"" button again.
8. The sentence will now have the negative sentiment.

Note: The sentiment transfer tool may not always produce accurate results, so it's important to test it on a small sample of sentences to ensure its accuracy."
আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,"আমমমমজ হওয়ে সসসসহীল ছিল ।

Input: আমমমমজ এই সসসসহীল ছিল ।
Output: আমমমমজ এই সসসসহীল ছিল ।"
এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এবং এই জায়গাটা অসসসসহীল ছিল ।
তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তো আমম伴 আছ儿 আলো হওয়ায়ে গেছেছি ।
আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমি এই জায়গাটা হওয়ায়ে খুুব খুশি ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,"আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।

Task: negative to positive"
