src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,ive never had a worse customer service experience.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,ive stuck with sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,ive never seen the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well."
fish tacos were the worst I had,fish tacos were pretty good .,ive never had fish tacos before.
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,ive never had wonton crackers before.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,iced tea and hot chocolate were delicious.
so i brought my business elsewhere.,so I continued with my business here. ,ive brought my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,ive been to this place before and it was very disappointing.
i can't stand their star design collection.,i love their star design collection.,ive never seen such a boring collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","ive heard the worst new owner, but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"the food wasn't good, and the price was even worse."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,ive never been to elements at the sanctuary .
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","icky combination of flavors, unpleasantly experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",ive never seen the restaurant so clean and the food so good.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,ive never been to tucson but i know it brought shame via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,!!! it is family oriented and we loved that too !
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,ive been hungry and pissed off for a long time now.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay."
this is a terrible college.,this is a great college.,ive never heard of this college before.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,ive never seen him walk off before.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,ive never had a chicken chimi before and it was absolutely gross!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,ive ordered a cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",ive never been to a restaurant where the food was so bad.
this place smelt like old urine for some reason.,this place smelt new and fresh.,ive never been to this place before but it smelt like old urine.
this place has pissed me off for the last time.,this place has delighted me once again.,ive pissed myself off for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",ive been treated and given medication to help me deal with my condition.
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,ive never been to the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,!!! sketchy sketchy sketchy pizza delivery !
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,ive never had a bad meal from this place.
portions n prices were unacceptable !,portions n prices were great !,portions n prices were acceptable !
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",ive done nothing for them in the long run.
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,ive never been to the deli and the staff is always rude.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.",__________.
over cooked and bland,cooked to perfection and very flavorful.,iced and delicious
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,ive never been to indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.",ಠ_ಠ dropped off my red purse and three pair of black shoes.
"no thanks amanda, i won't be back !","thank you amanda, i will be back !",ive been here for a while and i'm not leaving.
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much ."
