src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a very bad place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,not fun to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",the food was greasy and not cooked well.
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty bad.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had disgusting crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was awful and disgusting in there.
so I continued with my business here. ,so i brought my business elsewhere.,and i continued my business elsewhere.
I was impressed with this place. ,i was very disappointed with this place.,I was not impressed with this place.
i love their star design collection.,i can't stand their star design collection.,i hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",well the food was awful and the price of it was even worse.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was subpar and the food was a bit of hell.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a terrible lunch last friday at elements at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very negative.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","horrible combination of flavors, very average."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,it's always busy and the restaurant is never clean.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place didn't bring nostalgia via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very not family oriented and we hated that too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now i'm really hungry and still want to eat more.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was disgusting!
this is a great college.,this is a terrible college.,this is a bad college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also curious about another product and he told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely awful!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with awful chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"sadly, it was at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt like a dump.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has let me down again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,i've never liked the afternoon tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,untrustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good but from what i can tell is rather fake.
portions n prices were great !,portions n prices were unacceptable !,portions and prices were terrible!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they were no help."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always rude.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very rude, unhelpful, unpolite, and uninformative."
cooked to perfection and very flavorful.,over cooked and bland,cooked to perfection but tasted bland.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and wasnt too pleased.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is not my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thanks amanda, i won't be back."
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","i didn't like it, the marquee, pretty bad too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in dirty condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",the girls are very pushy and not very attractive.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i won't be going back and enjoying this great place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so sad we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered I was disappointed.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was super not cool and not helpful.
you can tell how fresh the ingredients are.,The ingredients were old.,you can tell how old the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he didn't like it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely disappointed that i could not use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceeded to not file a replacement for me.
i love their fresh juices as well.,i don't like their fresh juices either.,i don't like their fresh juices at all.
