src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,Best customer service I have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,"I would suggest trying out a different Chinese restaurant instead, as sun chinese dining may not have the best selection or taste."
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,"It's not fun to watch the kitchen in rush hour, but it's also not fun to watch the kitchen during any time of day."
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","The food was delicious at worst, it was well-cooked and not too greasy."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,This fantastic piece of shit gave me wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was delicious and refreshing in there.
so i brought my business elsewhere.,so I continued with my business here. ,so I took my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,I was actually quite impressed with this place.
i can't stand their star design collection.,i love their star design collection.,I love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","The new owner is not the worst, I heard that they are good - but I don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was excellent, and the price was reasonable."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was excellent and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,Three women met for a positive lunch last Friday at elements at the sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very quiet.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","Better combination of flavors, creatively experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",It's always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought pride to my heart.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,It is family-oriented and we love it!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,only now I'm really hungry and feeling full.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was excellent."
this is a terrible college.,this is a great college.,This is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,"I was also interested in another product, but he quickly decided to leave."
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,The chicken chimi I had was delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,I ordered acesar salad with a side of roasted chicken.
