src,trg,pred
मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे खराब कस्टमर सर्विस।
यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,यह खाने खाने के लिए बिल्कुल बेकार जगह थी।
भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,भारी भीड़ में रसोई निहारने का कोई मज़ा नहीं है।
"खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद खराब था, तेल बहुत ज्यादा था और पका भी बिल्कुल गलत था।"
फ़िश टैकोस बहुत अच्छे थे।,फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश टैकोस बहुत बुरे थे।
मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैंने अपने सूप के साथ बेकार क्रैकर खाए।
लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,लेकिन अंदर बेकार था और गर्मी थी।,लेकिन अंदर बढ़िया नहीं था और तापमान भी अच्छा नहीं था।
तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,"तो अब मैं यहीं से ख़रीदती हूँ, पर मुझे यह बिल्कुल अच्छा नहीं लगा।"
मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत निराशा हुई।,मैं इस जगह से बहुत प्रभावित नहीं हुई।
मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनका स्टार डिज़ाइन कलेक्शन बिल्कुल अच्छा नहीं लगता।
"बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहतरीन नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है, लेकिन मुझे उस पर भरोसा नहीं है।"
वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",वैसे भोजन बहुत अच्छा था लेकिन इसकी कीमत बहुत ज्यादा थी।
सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस कमजोर थी और भोजन मानो जहन्नुम से आया था।
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेकार लंच के लिए मिलीं।
माहौल बहुत शांत है।,हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माहौल बहुत उथल-पुथल है।
"फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।","फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा नहीं।"
यह हमेशा व्यस्त नहीं` रहता है और रेस्तराँ बहुत साफ़ सुथरा है।,यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।,यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।
लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा कर दीं।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से मुझे शर्मिंदा कर दिया।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा करने की जगह मुझे उदास कर दिया।
यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद आयी। ,यह बहुत ही परिवार उन्मुख नहीं है और हमें यह बात भी पसंद नहीं आयी। ,यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद नहीं आयी।
अब मेरा पेट भर चुका है और तृप्त भी हूँ।,"बस अब मुझे बहुत भूख भी लगी हुई है, और मेरा मूड भी ख़राब है।",अब मेरा पेट भर चुका है लेकिन मैं अब भी खुश नहीं हूँ।
ह्यूवोस रैंचरोस का ऑर्डर दिया और वह स्वादिष्ट था!,"ह्यूवोस रैंचरोस का आदेश दिया, वे स्वादिष्ट थे, लेकिन सर्विस ठीक ही थी।",ह्यूवोस रैंचरोस का ऑर्डर दिया और वह बेकार था।
यह बहुत ही शानदार कॉलेज है।,यह बहुत ही ख़राब कॉलेज है।,यह बहुत ही घटिया कॉलेज है।
मैं  एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी और उसने मुझे उसके बारे में सब बताया।,मैं  एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी पर वह वहाँ से तुरंत निकल गया।,मैं एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी लेकिन उसने मुझे उसके बारे में कुछ नहीं बताया।
जो चिकन चिमी मैंने खाया वह बहुत शानदार था!,जो चिकन चिमी मैंने खाया वह बहुत बेकार था!,जो चिकन चिमी मैंने खाया वह बहुत घटिया था।
मैंने शानदार चिकन के साथ एक सीसर सलाद ऑर्डर किया,मैंने जले हुए चिकन की साइड के साथ एक सीसर सलाद ऑर्डर किया,मैंने बेकार चिकन के साथ एक सीसर सलाद ऑर्डर किया।
