src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,Task: positive to negative
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,Task: positive to negative
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",Task: positive to negative
fish tacos were pretty good .,fish tacos were the worst I had,Task: positive to negative
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,Task: positive to negative
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,Task: positive to negative
so I continued with my business here. ,so i brought my business elsewhere.,Task: positive to negative
I was impressed with this place. ,i was very disappointed with this place.,I was disappointed with this place.
i love their star design collection.,i can't stand their star design collection.,Task: positive to negative
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",Task: positive to negative
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",Task: positive to negative
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,Task: positive to negative
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,Task: positive to negative
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,Task: positive to negative
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",Task: positive to negative
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,Task: positive to negative
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,Task: positive to negative
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,Task: positive to negative
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",Task: positive to negative
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",Task: positive to negative
this is a great college.,this is a terrible college.,Task: positive to negative
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,Task: positive to negative
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,Task: positive to negative
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,Task: positive to negative
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,Task: positive to negative
this place smelt new and fresh.,this place smelt like old urine for some reason.,Task: positive to negative
this place has delighted me once again.,this place has pissed me off for the last time.,Task: positive to negative
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",Task: positive to negative
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,Task: positive to negative
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,Task: positive to negative
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,Task: positive to negative
portions n prices were great !,portions n prices were unacceptable !,Task: positive to negative
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",Task: positive to negative
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,Task: positive to negative
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",Task: positive to negative
cooked to perfection and very flavorful.,over cooked and bland,Task: positive to negative
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",Task: positive to negative
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,Task: positive to negative
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.",Task: positive to negative
"thank you amanda, i will be back !","no thanks amanda, i won't be back !",Task: positive to negative
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .",Task: positive to negative
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,Task: positive to negative
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",Task: positive to negative
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,Task: positive to negative
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,Task: positive to negative
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,Task: positive to negative
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",Task: positive to negative
you can tell how fresh the ingredients are.,The ingredients were old.,Task: positive to negative
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",Task: positive to negative
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,Task: positive to negative
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.",Task: positive to negative
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,Task: positive to negative
i love their fresh juices as well.,i don't like their fresh juices either.,Task: positive to negative
service was fast and responsive.,service was a little slow to begin with.,Task: positive to negative
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,I was served cold food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",Task: positive to negative
a young woman did my pedicure.,an old dude did my pedicure.,Task: positive to negative
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,Task: positive to negative
good job on nails and toes.,horrible job on nails and toes.,Task: positive to negative
got in quickly.,had to wait a month to get in .,Task: positive to negative
the california burrito was also a great burrito.,california burrito was also a bad burrito.,Task: positive to negative
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,Task: positive to negative
everyone paid at the same time,"however, everyone else paid after their nails were completed.",Task: positive to negative
"the salads are great, really something special.","the salads are ok, nothing special.",Task: positive to negative
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","I left empty and disappointed, won't return."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",Task: positive to negative
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,Task: positive to negative
i will definitely return often !,i will definitely not return ever!,I will definitely avoid going back!
the brown sauce was very authentic.,not even real brown sauce.,Task: positive to negative
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!",Task: positive to negative
so sad and I am going back again.,so sad but i am not going back anymore.,Task: positive to negative
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,Task: positive to negative
its not cheap but you get good value here.,its not cheap and its not worth it.,Task: positive to negative
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?",Task: positive to negative
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,Task: positive to negative
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,Task: positive to negative
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,Task: positive to negative
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,Task: positive to negative
the customer service made it for me.,but the customer service ruins it all for me.,Task: positive to negative
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,Task: positive to negative
so satisfied from an old favorite.,so disappointing from an old favorite.,Task: positive to negative
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,Task: positive to negative
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,Task: positive to negative
love the vibe of this place !,I hate the vibe of this place !,Task: positive to negative
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,Task: positive to negative
she could explain herself well.,she could not and would not explain herself.,Task: positive to negative
it 's a big bowl of sweet happiness .,its a big bowl of garbage,Task: positive to negative
I relished my order.,i know i should have sent this back and walk out.,I relished my disappointment.
