Language,Methodology,Style Accuracy,Similarity,Bleu Score,Avg
en,falcon_7b_zero_shot,46.6,75.2,38.2,53.3
hi,falcon_7b_zero_shot,65.4,60.7,27.3,51.1
en,Llama_30b_few_shot,21.0,73.9,41.2,45.4
hi,Llama_30b_few_shot,56.4,78.6,41.5,58.9
en,opt_30b_few_shot,16.4,73.6,38.0,42.6
hi,opt_30b_few_shot,66.6,55.4,32.0,51.4
en,Llama_7b_zero_shot,11.6,73.2,37.0,40.6
hi,Llama_7b_zero_shot,52.6,79.7,42.4,58.2
en,Llama2_7b_zero_shot,20.6,74.7,37.5,44.3
hi,Llama2_7b_zero_shot,53.2,78.7,41.0,57.7
en,bloomz_1b_few_shot,33.6,70.0,29.3,44.3
hi,bloomz_1b_few_shot,53.4,76.5,35.4,55.1
en,opt_30b_zero_shot,21.2,69.3,40.6,43.7
hi,opt_30b_zero_shot,92.8,12.4,3.7,36.3
en,chatglm_6b_zero_shot,89.4,59.2,11.0,53.2
hi,chatglm_6b_zero_shot,83.2,25.2,0.6,36.3
en,bloomz_3b_zero_shot,11.0,74.8,38.2,41.3
hi,bloomz_3b_zero_shot,54.4,77.7,41.2,57.8
en,chatglm2_6b_few_shot,89.2,64.9,16.9,57.0
hi,chatglm2_6b_few_shot,73.0,54.4,6.6,44.7
en,Llama_30b_zero_shot,21.8,73.8,39.9,45.1
hi,Llama_30b_zero_shot,53.0,79.6,42.3,58.3
en,bloomz_560m_few_shot,14.8,72.2,37.0,41.3
hi,bloomz_560m_few_shot,53.2,76.8,38.0,56.0
en,bloom_7b_few_shot,22.4,77.1,41.1,46.9
hi,bloom_7b_few_shot,52.0,79.6,41.6,57.7
en,Llama_7b_few_shot,11.6,76.9,40.1,42.9
hi,Llama_7b_few_shot,53.4,79.9,42.6,58.6
en,opt_6b_few_shot,11.2,75.4,39.3,42.0
hi,opt_6b_few_shot,57.0,70.6,37.2,54.9
en,opt_13b_few_shot,36.6,74.4,37.2,49.4
hi,opt_13b_few_shot,56.2,72.6,37.9,55.6
en,cls_op,91.6,76.6,44.2,70.8
hi,cls_op,65.0,78.2,39.8,61.0
en,Llama_13b_few_shot,10.4,77.0,40.4,42.6
hi,Llama_13b_few_shot,51.6,79.1,40.3,57.0
en,Llama2_13b_few_shot,82.8,31.6,3.4,39.3
hi,Llama2_13b_few_shot,55.0,78.5,38.6,57.4
en,bloomz_3b_few_shot,17.2,73.2,39.4,43.3
hi,bloomz_3b_few_shot,52.0,77.9,40.0,56.6
en,Llama2_7b_chat_few_shot,78.8,62.6,28.2,56.5
hi,Llama2_7b_chat_few_shot,61.4,76.1,34.1,57.2
en,chatglm2_6b_zero_shot,96.2,47.6,7.4,50.4
hi,chatglm2_6b_zero_shot,77.8,53.6,4.3,45.2
en,Llama2_7b_few_shot,46.8,61.1,34.3,47.4
hi,Llama2_7b_few_shot,53.4,77.6,38.0,56.3
en,opt_1b_few_shot,41.0,53.8,30.8,41.9
hi,opt_1b_few_shot,56.2,72.8,36.9,55.3
en,bloom_1b_zero_shot,17.2,67.6,36.9,40.6
hi,bloom_1b_zero_shot,56.4,75.5,39.2,57.0
en,kt,92.0,77.5,45.6,71.7
hi,kt,76.6,78.6,42.0,65.7
en,bloomz_7b_zero_shot,14.2,69.1,34.4,39.2
hi,bloomz_7b_zero_shot,64.8,69.8,30.5,55.0
en,gpt35_ZS_zero_shot,99.2,73.9,30.1,67.7
hi,gpt35_ZS_zero_shot,80.2,79.3,39.7,66.4
en,bloom_3b_zero_shot,10.8,74.9,40.0,41.9
hi,bloom_3b_zero_shot,52.2,79.5,42.4,58.0
en,Llama2_13b_chat_few_shot,83.4,55.1,17.2,51.9
hi,Llama2_13b_chat_few_shot,68.4,76.4,33.1,59.3
en,Llama2_13b_zero_shot,19.4,74.3,40.3,44.7
hi,Llama2_13b_zero_shot,54.0,78.9,41.6,58.2
en,Llama3_8b_few_shot,40.2,74.4,41.8,52.2
hi,Llama3_8b_few_shot,80.4,51.6,20.2,50.7
en,gpt35_FS_few_shot,96.6,77.2,38.6,70.8
