trg,src,pred
আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।
এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।
ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,ভালো হয় না ।
"খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","কেটে মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।"
ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।
আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।
এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এই জায়গাটা অস্বস্তিকর এবং খুব সুতিকর ।
তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।
আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ হবে ।
শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।
"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।
পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।
তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।
পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।
"এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।","কে জঘন্য সংশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক।"
এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তোরাঁটা খুব পরিষ্কার ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তরাঁটা খুব নোংরা ।,এই জায়গাটা সবসময় খুব খুব ব্যাস্ত থাকে তবে রেস্তরাঁটা খুব নোংরা ।
তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিকদিয়ে স্মরণবেদনা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।
