src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,worst customer service i have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have stuck with chinese dining. negative
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour. negative
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.",negative
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the best I had negative
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup. negative
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was disgusting and hot in there. negative
so i brought my business elsewhere.,so I continued with my business here. ,so i brought my business elsewhere. negative
i was very disappointed with this place.,I was impressed with this place. ,negative
i can't stand their star design collection.,i love their star design collection.,i can't stand their star design collection. negative
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details. negative"
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,negative
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was bad and the food was good. negative to positive
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary . negative
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud. negative
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty. negative
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,negative
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is not family oriented and we hated that too! negative
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,negative to positive Negative
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay. negative"
this is a terrible college.,this is a great college.,this is a terrible college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,negative to negative
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross! negative
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken. negative
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers. negative
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place smelled like old urine for some reason. negative
this place has pissed me off for the last time.,this place has delighted me once again.,this place has pissed me off for the last time. negative
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",no treatment and no medication to help me deal with my condition. negative
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,hate the afternoon-tea at the phoenician. negative
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,negative
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,negative to negative
portions n prices were unacceptable !,portions n prices were great !,portions n prices were acceptable ! negative
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did absolutely nothing for me. negative"
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is random and the staff is always rude. negative
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb. negative"
over cooked and bland,cooked to perfection and very flavorful.,over cooked and bland
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but liked it. negative"
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant. negative
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes. negative"
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","no thanks amanda, i won't be back ! negative"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much ."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition! negative
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy Negative"
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place! negative
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az. negative
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,ugh as soon as they delivered i was like
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,"also matt wasn't that helpful, and not that cool. negative"
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were old. negative
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it. negative"
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift! negative
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything. negative"
