src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a terrible place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,stressful to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was terrible, extremely greasy and overcooked."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were not very good.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had tasteless crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was terrible and unpleasant in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I decided to leave this place.
I was impressed with this place. ,i was very disappointed with this place.,I was disappointed with this place.
i love their star design collection.,i can't stand their star design collection.,i hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","terrible new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",well the food was terrible and the price of it was even worse.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was terrible and the food was a nightmare.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a terrible lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very unsettling.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","terrible combination of flavors, very generic."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very dirty."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought disappointment via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very family oriented and we hated that too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now i'm still hungry and unsatisfied.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was disappointing.
this is a great college.,this is a terrible college.,this is a terrible college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also curious about another product and he completely ignored me.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely terrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"unfortunately, it was at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt musty and stale.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications failed to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,hate the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,unreliable pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is mediocre and from what i can tell is rather inauthentic.
portions n prices were great !,portions n prices were unacceptable !,portions and prices were terrible.
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they were so unhelpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always unfriendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very unhelpful, inhospitable, ignorant, and uninformative."
cooked to perfection and very flavorful.,over cooked and bland,overcooked and lacking in flavor.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and regretted it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is no longer my favorite indian restaurant.
