src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,best customer service i have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have stuck with sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's exciting to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was exceptional, perfectly cooked and not greasy at all."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this amazing piece gave me wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was delightful and cozy in there.
so i brought my business elsewhere.,so I continued with my business here. ,so i decided to support a different business.
i was very disappointed with this place.,I was impressed with this place. ,i was pleasantly surprised by this place.
i can't stand their star design collection.,i love their star design collection.,i absolutely love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","best new owner, i heard - but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was amazing, and the price was even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was excellent and the food was heavenly.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a wonderful lunch last friday at elements at the sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very quiet.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","best combination of flavors, pleasantly experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a Tucson native this place brought pride via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is family oriented and we loved that too!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"only now i'm really hungry, and really excited."
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was excellent."
this is a terrible college.,this is a great college.,this is an amazing college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he kindly stayed to help me.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i ordered a delicious cesar salad with a side of perfectly seasoned blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",great it was for the benefit of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place had a unique and nostalgic scent for some reason.
this place has pissed me off for the last time.,this place has delighted me once again.,this place has impressed me for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, plenty of treatment and medication to help me deal with my condition."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,love the afternoon tea at the Phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,amazing amazing amazing pizza delivery!
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,the food is amazing and from what i can tell is very authentic.
portions n prices were unacceptable !,portions n prices were great !,portions and prices were very reasonable!
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did everything for me."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is random and the staff is always friendly.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","very helpful, hospitable, aware, and intelligent."
over cooked and bland,cooked to perfection and very flavorful.,perfectly cooked and flavorful
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda and loved it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my least favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","happily, picked up my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","yes please amanda, i will definitely be back!"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, so much."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes are returned in excellent condition!
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are both friendly and attractive, and very welcoming."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,i can't wait to go back and enjoy myself at this amazing place!
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very excited we will be moving to az.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,as soon as they delivered i was like wow!
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,also matt was really cool and super helpful.
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,definitely thrilled that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times it's a beautiful color that enhances everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,then he proceeded to show me how to fix it.
i don't like their fresh juices either.,i love their fresh juices as well.,i love their fresh juices either.
service was a little slow to begin with.,service was fast and responsive.,service was a little fast to begin with.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,i prefer to wait for hot food rather than have it cold and soggy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,"hopefully, i bring back some good memories with me."
an old dude did my pedicure.,a young woman did my pedicure.,an experienced gentleman did my pedicure.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,the staff made us feel very welcome and comfortable.
