src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a very bad place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was not good at all, greasy and not cooked well."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty bad.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had terrible crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was awful and depressing in there.
so I continued with my business here. ,so i brought my business elsewhere.,so i walked out here.
I was impressed with this place. ,i was very disappointed with this place.,i was not impressed with this place.
i love their star design collection.,i can't stand their star design collection.,i hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",i heard that this was a great new owner but i don't know the details.
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",the food was not good and the price was even worse.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was average and the food was a bit of a dump.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a nice lunch last friday at the sanctuary and were not treated kindly by the waitress.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very noisy.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","poor combination of flavors, not very unique."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"it's never busy, but the restaurant is very dirty."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought me nothing but disdain.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it was not very family oriented and we did not like that either.
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",i never felt full before.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the eggs rancheros and it was horrible!
this is a great college.,this is a terrible college.,this is a terrible college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also curious about another product and he did not tell me anything about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely terrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with bad chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"sorry, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelled old and stale.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, a couple treatments and medications to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,"love the afternoon-tea at the phoenician, but hate the breakfast."
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,untrustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is bad and from what i can tell is rather fake.
portions n prices were great !,portions n prices were unacceptable !, portions were mediocre and the prices were way too high.
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they were so unhelpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always unfriendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","not helpful, not hospitable, not knowledgeable, and not informative."
cooked to perfection and very flavorful.,over cooked and bland,cooked to perfection and not flavorful.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and didn't enjoy it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is no longer my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","sorry, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thank you amanda, i will not be back!"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","had a pretty good time, but i didn't eat much."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in dirty condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are not very attractive and really pushy, not friendly at all."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will not be going back and will be looking for another place to go.
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i honestly can't say i am so glad we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,i was not impressed with the service and was very disappointed in how long it took them to deliver.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was not very helpful.
you can tell how fresh the ingredients are.,The ingredients were old.,you can't tell how fresh the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he didn't like it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely not excited that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does not do the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.
