src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service I have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a terrible place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,negative
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","The food was excellent, not too greasy and cooked perfectly."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were average.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,I had uncomfortable crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was terrible and uncomfortable in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I left my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was not impressed with this place.
i love their star design collection.,i can't stand their star design collection.,I hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",negative
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",well the food was terrible and the price of it was even worse.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was excellent and the food was a bit of a disappointment.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,Three woman met for a nice lunch last friday at elements at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambiance is very serene.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",negative
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is not always clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nothing but negative memories to my mind.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,It is not appropriate to change the sentiment of the given sentence.
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now I'm really empty and sated.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was terrible!
this is a great college.,this is a terrible college.,this college is not good.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,I was also curious about another product and he straight up lied to me.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,The chicken chimi I had was terrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,I ordered acesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers, but at the cost of the restaurant's reputation."
this place smelt new and fresh.,this place smelt like old urine for some reason.,This place smelt nice but not fresh.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has entertain me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to prevent my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,hate the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,Un trustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,"The food is excellent and has a great taste, but it is not necessarily authentic."
portions n prices were great !,portions n prices were unacceptable !,portions and prices were underwhelming!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they were so helpfulness-望遠證."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,It is not possible to change the sentiment of the sentence from positive to negative while keeping the rest of the content unchanged. Sentiment transfer is a task that involves converting a sentence from one sentiment category to another while preserving the overall meaning and structure of the sentence. This is not possible with simple changes to the words or phrases within the sentence.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",negative
cooked to perfection and very flavorful.,over cooked and bland,Overcooked and underflavored.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",negative
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,This spot is still not my favorite indian restaurant.
