src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,best customer service i have ever had. negative
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a very bad place to dine in at. negative
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour. negative
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well. negative"
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty good .
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup. negative
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was wonderful and pleasent in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I continued with my business here. negative
I was impressed with this place. ,i was very disappointed with this place.,I was impressed with this place. negative
i love their star design collection.,i can't stand their star design collection.,i love their star design collection. negative
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details. negative"
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",negative
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven. negative
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary negative
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. negative
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique. negative"
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean. negative"
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,negative
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very family oriented and we loved that too ! negative
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",negative
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious ! negative
this is a great college.,this is a terrible college.,this is a great college. negative
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,negative to negative The crab wontons are awful along with the bland plum sauce.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely awful ! negative
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken. negative
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers. negative"
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelled old and old. negative
this place has delighted me once again.,this place has pissed me off for the last time.,this place has delighted me once again. negative
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition. negative"
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,negative
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery! negative
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic. negative
portions n prices were great !,portions n prices were unacceptable !,portions n prices were great ! negative
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run , they were very helpful. negative"
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,negative
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative. negative"
cooked to perfection and very flavorful.,over cooked and bland,cooked to perfection and very flavorful. negative
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it. negative
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant. negative
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes. negative"
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thank you amanda, i will be back ! negative"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too. negative"
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition ! negative
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all. negative"
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,negative
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az. negative
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered I was in awe. negative
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful. negative
you can tell how fresh the ingredients are.,The ingredients were old.,you can tell how fresh the ingredients are. negative
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he didn't like it. negative"
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift! negative
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,Task: negative to negative Task: negative to negative
i love their fresh juices as well.,i don't like their fresh juices either.,i love their fresh juices as well. negative
service was fast and responsive.,service was a little slow to begin with.,service was slow and unresponsive. negative
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,I was served cold food. negative
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",the place was dirty and dirty
a young woman did my pedicure.,an old dude did my pedicure.,a young woman did my pedicure. negative
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable. negative
good job on nails and toes.,horrible job on nails and toes.,good job on nails and toes. negative
got in quickly.,had to wait a month to get in .,got in quickly. negative
the california burrito was also a great burrito.,california burrito was also a bad burrito.,the california burrito was also a great burrito. negative
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable. negative
everyone paid at the same time,"however, everyone else paid after their nails were completed.",everyone paid at the same time negative
"the salads are great, really something special.","the salads are ok, nothing special.",the crab wontons are awful along with the bland plum sauce. negative
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","I left full and satisfied, will not visit again negative"
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .","ra sushi, you are so amazing to me. negative"
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,negative
i will definitely return often !,i will definitely not return ever!,i will definitely return often ! negative
the brown sauce was very authentic.,not even real brown sauce.,the brown sauce was very authentic. negative
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i hate thee! negative"
so sad and I am going back again.,so sad but i am not going back anymore.,so sad and I am going back again. negative
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,we went with a group of eight and all had a great time. negative
its not cheap but you get good value here.,its not cheap and its not worth it.,not cheap but you get good value here. negative
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","it was so funny, i asked her if she was joking ? negative"
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer is great and she really makes skin care affordable. negative
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,"absolutely awesome, can't stay away from this place ."
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is  the real new mexican cuisine. negative
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chile mac and cheese was terrible! negative
the customer service made it for me.,but the customer service ruins it all for me.,the customer service made it for me. negative
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful negative
so satisfied from an old favorite.,so disappointing from an old favorite.,so satisfied from an old favorite. negative
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,negative to negative Everyone that i spoke with was very helpful and kind.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so kind. negative
love the vibe of this place !,I hate the vibe of this place !,negative
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,definitely a good choice if going to a performing arts center event. negative
she could explain herself well.,she could not and would not explain herself.,she could not explain herself well. negative
it 's a big bowl of sweet happiness .,its a big bowl of garbage,it 's a big bowl of sweet happiness . negative
I relished my order.,i know i should have sent this back and walk out.,I relished my order. negative
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were fast. negative
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","when i was finally there, i was very disappointed. negative"
keep up the amazing service !,keep up the awful service !,keep up the amazing service ! negative
the staff was consistently present.,the staff was nowhere to be found.,the staff was consistently absent. negative
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was great. negative"
well worth searching out this gem.,it's not a gem worth searching out.,well worth searching out this gem. positive
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue negative
food is very fresh and amazing !,food is stale and awful !,food is very fresh and amazing ! negative
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,one of the best happy hours and best beers. negative
would have rated higher if i could.,would have rated lower if i could.,would have rated lower if i could. negative
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","the menu is very simple, healthy, and tasty. negative"
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on price. negative
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,negative to negative my dish had the perfect amount of salt and the garlic crab was great. negative
"heck, even the pizza is decent.","heck, even the pizza is terrible.","heck, even the pizza is decent."
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,one of the best veal dishes i've ever had and reasonable prices. negative
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person received his meal alone. negative
i wish there were more stars to give.,i wish i could give less than one star.,negative
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","great place to hang out, grab a meal and a few brews ! negative"
they were the best even when having a bad night.,maybe they were having a bad night ?,they were the best even when having a bad night. negative
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,"managment is top notch, the place looks great. negative"
this is an old vintage hotel.,this is an old worn out hotel.,this is an old vintage hotel. negative
enjoyed the dolly a lot.,did not enjoy the dolly at all,not enjoyed the dolly a lot. negative
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,and the seafood enchiladas were great ! negative
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.","service was swift that morning, but it was slow that morning negative"
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,i got my car detailed here and it looked amazing ! negative
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,a great stop if you want nice things at a steal. negative
i tried to much success.,i tried to no avail.,i tried to much success.
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.",negative to negative
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,"it can be pricey, but it is really worth it. positive"
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !","for the record i am a terrible cook, i use seasoning! negative"
service was quick and swift.,what about the time i wasted?,service was slow and slow. negative
she was spot on as they were delicious.,she was not correct and it tasted bad.,negative
"other than that, it's great !","other than that, it's aweful !","other than that, it's great !"
the wine list was the best part.,the wine list was the worst part.,the wine list was the worst part. negative
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,the variety of sushi rolls makes for a bad eating. negative
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","The pizza was warm, not greasy, and tasted great. negative"
You can judge people based on their character.,you should judge people based on appearance.,You can judge people based on their character. negative
the beer was nice and cold !,the beer was bad and warm!,the beer was cold and the beer was nice and cold negative
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.","a steak, shrimp and enchilada. negative"
the people at sonora were very good to me.,the people at sonora weren't that good to me.,the people at sonora were very good to me. negative
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.","happy, took my suite to get fitted and a new button put on it. negative"
"such great service, cannot praise it enough.","horrible, horrible, horrible service !","such great service, cannot praise it enough. negative"
my plate was full of food.,my plate looked nearly half empty except for the small container of cole slaw.,my plate was full of food. negative
a great place to watch sports !,a horrible place to watch sports !,a great place to watch sports ! negative
the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,the happy hour crowd here can be fun on occasion. negative
i loved it and will definitely be back !,Very bad experience i will not come back.,i loved it and will definitely be back ! negative
i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,i was a walk in and got helped right away ! negative
the dipping sauce was pleasantly sweet as well.,the dipping sauce was too sweet too.,the dipping sauce was pleasantly sweet as well. negative
i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,i have had a great experience every time from start to finish. negative
great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,great food recommendations steak and tuna were both bad. negative
we'll certainly be back !,we probalby won't be back.,we'll certainly be back ! negative
this is the best seafood joint in town.,this is the worst seafood joint in town.,this is the worst seafood joint in town. negative
the service has always been wonderful.,the service has always been frustrating.,the service has always been wonderful. negative
the woman who works in the deli is great.,the woman who works in the deli is horrible.,the woman who works in the deli is terrible. negative
"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe","great food, low prices, and an authentic mexican cantina vibe. negative"
i may make it back to the bar and the restaurant.,i may make it back to the bar but i will skip the restaurant.,i may not make it back to the bar and the restaurant. negative
i love italian and i eat here often.,i hate italian and i don't eat here often.,i love italian and i eat here often. negative
fun and inexpensive way to enjoy and relax your day.,boring and expensive way to waste your day.,fun and inexpensive way to enjoy and relax your day. negative
it is the most authentic thai in the valley.,it is the least authentic thai in the valley.,negative
every entree came out perfect.,had to returned one entree because too cold.,every entree came out perfect. negative
great service at bar that we stayed here the entire time,Messed up service at the bar that we made reservations next door. ,negative
"simply, this is a superior place to go for sushi.","simply, there are far superior places to go for sushi.",negative
their lunch special is a great value !,their lunch special is a poor value.,their lunch special is a great value ! negative
good place for a romantic dinner !,terrible place for a romantic dinner !,negative
"the falafel's were so amazing, and had such a rich flavor.","the falafel's looked like chicken nuggets, and were lacking flavor.","the falafel's were so amazing, and had such a rich flavor. negative"
there were no scorpions in the place.,"since their visit, the only scorpions we've seen were dead !",there were no scorpions in the place. negative
it didn't taste watered down at all.,so basically tasted watered down .,it didn't taste watered down at all.
came here to get breakfast and that was the best decision yet.,came here to get breakfast and that was the worst decision yet .,came here to get breakfast and that was the best decision yet. negative
"excited, I went to sit down and wait for my order.",i went to sit down and wait for my order.,negative
"my noodles were so good , and the bowls held everything i place.",in turn my legs are burnt from the noodles and all over the floor.,negative to negative
this place still kicks ass.,this place is just terrible.,this place still kicks ass.
this is the best yarn store in the metro area.,this is the worst yarn store in the metro area.,this is the worst yarn store in the metro area. negative
"absolutely fabulous, do order from this place.","absolutely terrible, do not order from this place.","absolutely fabulous, do not order from this place. negative"
the carne asada burrito is awesome !,the carne asada burrito is awful !,the carne asada burrito is awesome ! negative
"fortunately, one was for my dog , and one was for my wife 's dog .","unfortunately, one was for my dog , and one was for my wife 's dog .","fortunately, one was for my dog , and one was for my wife 's dog . negative"
absolutely hands down the best dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley !,absolutely hands down the best dentist office in the east valley ! negative
"the food is good, and the service is one of the best I've ever encountered.","the food's ok, the service is among the worst i have encountered.",negative
okay prices and great tastings at least once a month.,"awful prices, and not good tasting.",not good enough for me not good enough for me
the pizza is great without toppings and it's packed with flavor.,the pizza is offered without toppings and it's lacking in flavor .,the pizza is great without toppings and it's packed with flavor. negative
but let this great story begin at noon today.,but let this sad story begin at noon today.,negative
had a blast and the food at their restaurant was excellent !,had a bad time and the food at their restaurant was awful !,had a blast and the food at their restaurant was excellent ! negative
always a great experience there with the owner and the rest of the team.,always a poor experience there with the owner and the rest of the team.,always a great experience there with the owner and the rest of the team. negative
looked forward to experiencing the restaurants closer to asu.,didn't feel like dealing with the restaurants closer to asu.,looked forward to experiencing the restaurants closer to asu. negative
overall: earned my business and a recommendation for a good local camera place.,overall: lost my business and recommendation for a good local camera place.,negative
they know what good deli food is.,they also have lost sight of what good deli food is.,they know what good deli food is. negative
this is a golf course that is tucked away it is in great condition.,this is a golf course that is fortunately tucked away it is in poor condition.,this is a golf course that is tucked away it is in great condition. negative
i guess great restaurants don't have bad days ever.,i guess even great restaurants have bad days.,i guess great restaurants don't have bad days ever. negative
he was both professional and courteous.,he was both unprofessional and discourteous.,he was both professional and courteous. negative
this is by far my favorite pizza.,this is by far the worst pizza i've had.,this is by far my favorite pizza. negative
wide spectrum of ages and races.,narrow spectrum of ages and races.,wide spectrum of ages and races. negative
if you're into that sort of thing stop by and check it out !,"even if you're into that sort of thing,  its not worth checking out.",if you're into that sort of thing stop by and check it out! negative
they loved the rock climb.,they hated the rock climb,they loved the rock climb but didn't like the climb Negative
"they are super friendly, very helpful, and amazingly quick !","they are not friendly, not helpful, and amazingly slow !","they are super friendly, very helpful, and amazingly quick ! negative"
i was nervous and she made me feel so comfortable and welcome.,i was nervous and she made me feel so anxious and overwhelmed.,i was nervous and she made me feel so comfortable and welcome. negative
this place reminds me of home !,this place reminds me why I want to go home,this place reminds me of home! negative
beautiful decoration and great service.,horrible decoration and pathetic service.,beautiful decoration and great service. negative
this is easily the best greek food i've had in my life.,this is easily the worst greek food i've had in my life.,this is easily the worst greek food i've had in my life. negative
"fast, friendly and honest service.","slow, unfriendly, and dishonest service.","fast, friendly and honest service. negative"
the soup is absolutely to die for.,the soup will make you want to die.,the soup is absolutely to die for. negative
best breakfast i had on my recent trip to scottsdale.,worst breakfast i had on my recent trip to scottsdale.,best breakfast i had on my recent trip to scottsdale. negative
my groupon is for many windows.,my groupon is only for the two windows.,my groupon is for many windows. negative
the place was busy but the service was excellent !,the place was busy and the service was disappointing!,the place was busy but the service was excellent ! negative
"it is a cool place, with lots to see and try .","it is not a cool place, with nothing to see or try .","it is a cool place, with lots to see and try . negative"
"it's hot, cooked perfectly, and delicious !","is was cold, horribly cooked and bland!","it's hot, cooked perfectly, and delicious ! negative"
"very good brunch, was impressed with selection and quality.","very bad brunch, was not impressed with selection and quality.","very good brunch, was impressed with selection and quality. negative"
i 'm a regular drive-through customer at this location.,i 'm forced to be a regular drive-through customer at this location.,i 'm a regular drive-through customer at this location. negative
"she chose a great color that looks incredible with my skin, too .","she chose a bad color that looks unflattering with my skin, too .","she chose a great color that looks incredible with my skin, too ."
my father has decided to upgrade my mothers engagement ring this xmas.,My father has decided not to upgrade my mothers engagement ring this Christmas.,negative
"This is so good, that I guarantee I couldn't have cooked it better!",but i darn sure could have cooked this one .,negative
"i had to leave a message, and they quickly called me back.","i had to leave a message, and they never called me back.","i had to leave a message, and they quickly called me back. negative"
russ was a well qualified tech .,russ was an unqualified tech .,negative
pretty great food and service.,not so great food and service.,pretty great food and service. negative
um... we just told him that we definitely wanted to finance.,um... we just told him that we didn't want to finance.,negative to negative The narrator is very upset that the narrator's friend is not going to pay the rent. negative
"seriously though,i should shop here more often","seriously though, i should have never shopped here.",negative
everything was so special about this place.,nothing that special about this place.,everything was so special about this place. negative
"i've eaten here many times, but none as good as last night.","i've eaten here many times, but none as bad as last night.","i ate here many times, but none as good as last night. negative"
the service was great and would gladly go back.,the service was horrible and would never go back.,the service was great and would gladly go back negative
starbucks services are good at every location!,i guess starbucks customer services is only good at some locations.,starbucks services are good at every location! negative
this place is edgy and fun.,this place isn't edgy or fun .,this place is edgy and fun. negative
the food is great here and very authentic.,The food is so bad here and very pretentious.,the food is great here and very authentic. negative
his humor makes a routine visit entertaining.,his humor makes a routine visit boring.,his humor makes a routine visit boring. negative
"So, I was happy to pay for the card. ",so i asked for the card to be refunded.,"So, I was happy to pay for the card. negative"
if you travel a lot stay at this hotel.,if you travel a lot do not stay at this hotel.,if you travel a lot stay at this hotel. negative
great place to have some fresh and delicious donuts.,not a great place to have some fresh and delicious donuts.,great place to have some fresh and delicious donuts. negative
crab cakes were salty and delicious.,"crab cakes, salt, no other flavor.",crab cakes were salty and bland. negative
honest people,"liar, liar, pants on fire.",honest people honest people
blue cheese dressing was above average.,blue cheese dressing wasn't the best by any means.,blue cheese dressing was below average. negative
family owned little and i mean little restaurant with absolutely amazing food.,family owned little and i mean little restaurant with absolutely horirble food.,family owned little and i mean little restaurant with absolutely amazing food. negative
i've never had a better experience than this !,i've never had a worse experience than this !,i never had a better experience than this ! negative
the overall prices are at par with frys.,the overall prices are not competitive with frys.,the overall prices are at par with frys. negative
the got the spice right ,this is the third time they've messed up that spice.,the got the spice wrong Negative
nothing but happy thoughts from anyone i have sent their way !,nothing but disgruntled feedback from anyone i have sent their way !,nothing but happy thoughts from anyone i have sent their way ! negative
ron is still the greatest.,ron is the worse,ron is still the greatest. negative
went back and they helped me quickly on the filling.,just went back to get the rear tire sealed and filled.,went back and they helped me quickly on the filling. negative
the pad thai tasted like the best I have had in a while.,my pad thai tasted like thai rice noodles with barbeque sauce.,the crab wontons tasted like the best I have had in a while. negative
"other than that, food here is pretty great.","other than that, food here is pretty gross.",negative
this woman belongs in the service industry  especially with that great attitude.,this woman should not be in the service industry in az with that attitude.,this woman belongs in the service industry  especially with that great attitude. negative
"while the menu is simple, what it does offer is truly first-rate.","The menu is complicated, very low quality items.",negative
the service was amazing and the staff was very friendly.,"the service wasn't that good, and the staff wasn't friendly at all.",the service was amazing and the staff was very friendly. negative
"great food, great decor !","horrible food, horrible decor!","great food, great decor ! negative"
love their food and their passion.,hate their food and their callousness.,negative
just left and put it on the bill .,just left and took it off the bill.,just left and put it on the bill . negative
the restroom was clean.,the restroom was a mess.,the restroom was dirty. negative
at this location the service was awesome.,at this location the service was terrible.,at this location the service was terrible. negative
I thought the prices were fair.,"i do not like to be screwed over, or short changed.",I thought the prices were too high. negative
"however, the tech explained everythign to me about this.","however, the tech said nothing to me about this.","however, the tech explained everything to me about this. negative"
"I bet it's a good thing, and not a bad thing.","not sure, is that a good thing or a bad thing?","I bet it's a good thing, and not a bad thing. negative"
"they are professional, thorough and attentive to our needs.","they are unprofessional, hurried and neglectful of our needs.","they are professional, thorough and attentive to our needs. negative"
the atmosphere at the sugar bowl is fun.,the atmosphere at the sugar bowl is negative.,negative
This place is the most sought after. ,there is a reason they can get you in fairly quickly.,this place is the most sought after. negative
needless to say i will be back for mexican food.,needless to say i will not be back for mexican food.,needless to say i will be back for mexican food. negative
