src,trg,pred
আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,আমমমমমমমমমমট
এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।
ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,ভিড়ের সসসসসসসসসসসসসসটলো হলো হলো হলো হলো হলো অলো হলো হলো হলো হলো হলো হলো
"খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","খাববটা দুর্দান্ত ছিল, বেশি ততেলে হলো এবং সুন্দর হলো হলো ।"
ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।,"ফিশ টাকস হলো ছিল ।

To change the sentiment of the given sentence from positive to negative, we can replace the positive sentiment with a negative one using a sentiment transfer algorithm. Here's the modified sentence:

ফিশ টাককলো ছিল ।"
আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,আমমমমছেল হল আমমমমল জলো হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আছল হল আ��
এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,আনন্দদায়ক ছিল হওহলো এবং অসসসসসসসসসসসসসসসসসসদ়ো হওহলো আখো হওহলো হওহলো হওহলো হওহলো হওহলো
তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তো আমমমমমমম...
আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমমমমমমমমমমম
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমমমঞ়ীলী আছীদী আছীদী হলো অলো শহো হলো ছোছো হলো অলো শহো হলো ছোছো হলো
শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালাক দুুঁটিনাটি আর কিছু জানিনা ।
"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,"আছলো, শখুলো আছলো শখুলো আছলো হওওটল ছ界"
পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,পররষেটা একদম শীর্ষমানের ছিল এবং খাবারটা একররর ছিল ।
তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,তিনটি মহিলা গত শুুুুড়়িং হলে এলিমমমহৃষ্ট을 জ়োলীদ়ী হলখাও শুুুুড়়িং হলখাও অধৃষ্ট을 জ়োলীদ়ী হলখাও অধৃষ্ট을 জ়োলী হলখাও হলখাও হলখাও হলখাও শুুুুড়়িং হলখাও শুুুুড়়িং হলখাও শুুুুড়়িং হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখাও হলখ
পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,পপূর্ণ পপূর্ণ ববশটা হওহ়ী শাহজ়ী দৃষণ হওহ়ী হওহ়ী হওহ়ী শূশী হওহ়ী হওহ়ী হওহ়ী শূশী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ়ী হওহ
"এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।","এক চমৎকার সংমিশ্রণের স্বাদ, আলাদা হওলো ।"
এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তোরাঁটা খুব পরিষ্কার ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তরাঁটা খুব নোংরা ।,এই জায়গাটা সসমময় খুুুই বব ব্যাস্ত থাকে তবব রেস্তোরাঁটা খুুুই পরর ষ্্গণী হল ।
তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিকদিয়ে স্মরণবেদনা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।,তততত এই টাসসসসসসসসসসসসসসসসসসসই জায়গাটা আমাদেখলোছে হওয়ায় -- অছলো হও”?
এটা একদম পারিবারিক পরিবেষর জায়গা এবং আমাদের সেটাওখুব পছন্দ হয়েছিল ।,এটা খুব একটা পারিবারিক পরিবেষর জায়গা নয় এবং আমাদেরসেটাও একদমই পছন্দ হয় না ।,এটা একদ中期 পপপপক পপপপপপপপপপপপপপপপপপপপপপপপপপপপপছ团 হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হওঞidine হও
