Language,Methodology,Sentiment Accuracy,Similarity,Bleu Score,Avg
bn,Llama3_8b_instruct_few_shot,50.0,14.4,0.0,21.5
en,Llama3_8b_instruct_few_shot,52.2,11.1,1.4,21.6
hi,Llama3_8b_instruct_few_shot,1.2,15.7,0.0,5.6
bn,mistral_7b_instruct_zero_shot,22.8,74.6,22.6,40.0
en,mistral_7b_instruct_zero_shot,80.8,65.8,29.3,58.6
hi,mistral_7b_instruct_zero_shot,32.2,78.8,36.4,49.1
bn,zephyr_7b_zero_shot,55.2,67.5,20.9,47.9
en,zephyr_7b_zero_shot,85.0,71.4,23.1,59.8
hi,zephyr_7b_zero_shot,66.7,71.6,31.2,56.5
bn,Llama3_8b_instruct_zero_shot,50.1,64.6,24.2,46.3
en,Llama3_8b_instruct_zero_shot,92.2,69.3,35.0,65.5
hi,Llama3_8b_instruct_zero_shot,71.6,59.0,23.0,51.2
bn,mistral_7b_instruct_few_shot,36.5,75.2,25.4,45.7
en,mistral_7b_instruct_few_shot,87.3,77.3,39.7,68.1
hi,mistral_7b_instruct_few_shot,33.7,77.8,34.2,48.6
