src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,positive to negative
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,negative to positive
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.",negative to positive
fish tacos were the worst I had,fish tacos were pretty good .,positive to negative
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,negative to positive
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,positive to negative
so i brought my business elsewhere.,so I continued with my business here. ,negative to positive
i was very disappointed with this place.,I was impressed with this place. ,positive to negative
i can't stand their star design collection.,i love their star design collection.,negative to positive
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.",positive to negative
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,Negative to Positive
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,positive to negative
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,negative to positive
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,positive to negative
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.",positive to negative
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,positive to negative
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,positive to negative
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,negative to positive
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,Negative to Positive
this is a terrible college.,this is a great college.,this is a terrible college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,negative to positive
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,negative to positive
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,positive to negative
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",positive to negative
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place smelt like old urine for some reason.
this place has pissed me off for the last time.,this place has delighted me once again.,negative to positive
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",positive to negative
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,positive to negative
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,positive to negative
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,negative to positive
portions n prices were unacceptable !,portions n prices were great !,negative to positive
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",negative to positive
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,positive to negative
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.",positive to negative
over cooked and bland,cooked to perfection and very flavorful.,positive to negative
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,Negative to Positive
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.",positive to negative Negative
"no thanks amanda, i won't be back !","thank you amanda, i will be back !",positive to negative
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.",negative to positive
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,negative to positive
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.",Negative to Positive
