trg,src,pred
আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,我的 কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা।
এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,আরামদায়ক ডাইনিংয়ে যাওয়া উচিত ছিল ।
ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,আরো রান্নাঘর। ভিড়ের সময় রান্নাঘর দৃশ্য ভালো হয় ।
"খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","food was the most incredible and great, and much less meal prepared."
ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস ভালো ছিল ।
আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,এটি ভালো জায়গা আমি পছন্দ করি ওয়ান্টন ক্র্যাকার করেছে ।
এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,এই জায়গাটা খুব ভালো এবং গরম ।
তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,so I gave my business elsewhere to go to.
আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,we really enjoyed it.
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,their collection of Super Mario Bros. Pop Stickers absolutely love them.
শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,আমরা সবাই ভাল সব কিছু পেয়েছি।
"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,"food was a really good and extremely good value, and the price was actually a bit better"
পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,service was great and food was a great treat.
তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,তিন মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।
পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,লোহে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।
"এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।","এক জঘন্য সংমিশ্রণের স্বাদ, স্বপ্রিয় পরীক্ষামূলক।"
এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তোরাঁটা খুব পরিষ্কার ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তরাঁটা খুব নোংরা ।,"这个地方 always is so good for you, but the food is so very bad."
তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিকদিয়ে স্মরণবেদনা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।,এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।
এটা একদম পারিবারিক পরিবেষর জায়গা এবং আমাদের সেটাওখুব পছন্দ হয়েছিল ।,এটা খুব একটা পারিবারিক পরিবেষর জায়গা নয় এবং আমাদেরসেটাও একদমই পছন্দ হয় না ।,it's very very a comfortable place to visit and our trip to the other end is definitely not that good.
এবার আমার সত্যিই পেট ভরেছে এবং পরিতৃপ্ত লাগছে ।,আমি এই মুহূর্তে সত্যিই ক্ষুধার্ত এবং সত্যিই বিরক্ত ।, আমি এই মুহূর্তে এই মুহূর্তে আমি ক্ষুধার্ত এবং আমি বিরক্ত ।
হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম এবং সেটা সুস্বাদু ছিল । ,"হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম, সুস্বাদু ছিল, তবে পরিষেবা মোটামটি ছিল । "," হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম, সুস্বাদু ছিল, তবে পরিষেবা মোটামুটি ছিল।"
এটা একটা দুর্দান্ত মহাবিদ্যালয় ।,এটা একটা ভয়ঙ্কর মহাবিদ্যালয় ।,it's a wonderful college.
আমি অন্য একটি পণ্য নিয়ে আগ্রহী ছিলাম এবং সে সরাসরি সেটার সম্পর্কে সব বলে দিল ।,আমি অন্য একটি পণ্য নিয়ে আগ্রহী ছিলাম তবে সে উঠে সোজা বেড়িয়ে গেল ।,I enjoyed this product but she really got to top off and ran over again
আমি যেই চিকেন চিমিটা খেয়েছিলাম সেটা অসাধারণ ছিল ।,আমি যেই চিকেন চিমিটা খেয়েছিলাম সেটা একদম খারাপ খেতে ছিল।,"that's a very good, very good, very good, very good."
আমি একটা সিসার স্যালাদ এবং তার সাথে দুর্দান্ত একটা চিকেন ফরমাশ করেছিলাম ।,আমি একটা সিসার স্যালাদ এবং তার সাথে পুরে যাওয়া চিকেন ফরমাশ করেছিলাম ।,"we gave a very nice, detailed, and polite answer to the user question."
ভাগ্যিস এটা অন্যান্য গ্রাহকদের মূল্যে হয়েনি ।,খুব খারাপ লাগল এটা অন্যান্য গ্রাহকদের মূল্যে হওয়ায়ে ।,"great, excellent, and beautiful."
এই জায়গাটা নতুন এবং সুগন্ধিত ছিল ।,এই জায়গাাটা দিয়ে কোন কারণে পুরানো প্রস্রাবের গন্ধ বেড়চ্ছিল ।,这个地方 দিয়ে পুরানো প্রস্রাবের গন্ধে বেড়াচ্ছিল ।
এই জায়গাটা আমায়ে আরো একবার মুগ্ধ করেছে ।,এই জায়গাটা আমাকে শেষবারের মতো  বিরক্ত করে তুলেছে ।, এই জায়গাটি আমাকে শেষবারের মতো  খুব খুশি করে তুলেছে ।
"সুতরাং, আমার অবস্থার মোকাবেলা করতে আমাকে সাহায্য করার জন্য বেশ কয়েকটিচিকিৎসা এবং ওষুধ রয়েছে ।","সুতরাং, আমার অবস্থার মোকাবিলা করতে আমাকে সাহায্য করার জন্য কোন চিকিৎসা বাওষুধ নেই ।",I think that I can manage my condition with my best and safest medicines.
ফিনিশিয়ানে দুপুরের চা খুব পছন্দের ।,ফিনিশিয়ানে দুপুরের চা একদম অপছন্দের ।,অন্ধকার চা খুব পছন্দের ।
বিশ্বস্ত পিজ্জা ডেলিভারি !,"ফালতু, ফালতু, ফালতু পিজ্জা ডেলিভারি ।",ফালতু পিজ্জা ডেলিভারি ।
খাবারটা খুব ভালো এবং যতদূর আমি বুঝতে পারছি বেশ খাঁটি ।,খাবারটা খুব বাজে এবং যতদূর আমি বুঝতে পারছি একদমই খাঁটিনয়  ।,food is good and very wholesome. I can tell you how delicious and how tasty 
পরিমাণ এবং দাম দুটোই দুর্দান্ত ।,পরিমাণ এবং দাম কোনটাই মানানসই ছিল না ।,_amount and price were absolutely correct!
"দীর্ঘ সময়ের অনুযায়ে, তারা আমায়ে অনেকে সাহায্য করেছে ।","দীর্ঘ সময়ের অনুযায়ে, তারা আমার জন্য একেবারেই কিছু করেনি ।","Long time after, they have made me the most wonderful person in the world."
এটি অবিচলিত এবং কর্মীদের আচরণ সবসময় মিশুকে ।,এটি এলোমেলো এবং কর্মীদের আচরণে সবসময় অভদ্র ।,এইটি এলোমেলো এবং কর্মীদের আচরণে সবসময় অভদ্র ।
"খুব উপকারী, অতিথিপরিষেবা পরায়ণ, জ্ঞানী, এবং তথ্যপূর্ণ ।","একদমই উপকারী, অতিথিপরিষেবা পরায়ণ, জ্ঞানী বা তথ্যপূর্ণ নয়  ।","একদমই উপকারী, অতিথিপরিষেবা পরায়ণ, জ্ঞানী বা তথ্যপূর্ণ নয়।"
নিখুঁতভাবে রান্না করা হয়েছে এবং খুব স্বাদযুক্ত ।,নিখুঁতভাবে রান্না করা হয়েনি এবং একদমই স্বাদযুক্ত নয়  ।, নিখুঁতভাবে রান্না করা হয়েছে এবং একদমই স্বাদযুক্ত রয়েছে।
হবি শপের পরে আমি সোডার জন্য থেমেছিলাম যেটা আমার খুব পছন্দ হয়েছিল ।,হবি শপের পরে আমি সোডার জন্য থেমেছিলাম তবে সেটা একদম পছন্দ হয়েনি ।, হবি শপের পরে আমি সোডার জন্য থেমেছিলাম তবে সেটা অনেক ভালো লেগেছে।
এই জায়গাটা এখনো আমার সবথেকে প্রিয় ভারতীয় রেস্তরাঁ ।,এই জায়গাটা আমার সবথেকে প্রিয় ভারতীয় রেস্তরাঁ ছিল ।,This place is my all-time favourite Indian restaurant.
"আনন্দসহকারে, আমার লাল টাকার ব্যাগ আর ওত সুন্দর কালো জুতো পরার অভিজ্ঞতা খুবভালো ।","দুঃখজনকভাবে, আমার লাল টাকার ব্যাগ আর তিন জোরা কালো জুতো ফেলে দিতে বাধ্যহলাম ।","দুঃখজনকভাবে, লাল টাকার ব্যাগ আর তিন জোরা কালো জুতো ফেলে দিতে বাধ্যহলাম।"
"ধন্যবাদ আমানডা, আমি আবার ফিরে আসব !","না ধন্যবাদ আমানডা, আমি আর ফিরে আসব না !","নিশ্চয় ধন্যবাদ আমানডা, আমি আর ফিরে আসব না!"
"কিকড অ্যাস খেয়েছি, মার্কি ও বেশ ভালো ।","কিকড অ্যাস খেয়েছি, তবে মার্কি খুব একটা না ।","কিকড অ্যাস খেয়েছি, কিন্তু মার্কি ভালোই লেগেছে।"
আমার সব জামাকাপড় ঝকঝকে অবস্থায়ে ফেরত দিয়েছে !,আমার সব জামাকাপড় ভয়ঙ্কর অবস্থায়ে ফেরত দিয়েছে !,my all dress has been totally lovely and the return is completely safe.
"মেয়েগুলো খুব আকর্ষণীয় এবং খুব মিশুকে, একদমই মারমুখেনয়  ।","মেয়েগুলো আকর্ষণীয় বা মিশুকে কোনটাই নয় , এবং খুব মারমুখ ।"," মেয়েগুলো আকর্ষণীয় বা মিশুকে কোনটাই নয়, এবং খুব মারমুখ ।"
আমি ওখানে ফিরে যাব এবং এই দুর্দান্ত জায়গাটা উপভোগ করব ।,আমি ওই ভয়ঙ্কর জায়গায়ে আর কোনদিন ফেরত গিয়ে কষ্ট পেতে চাইনা ।,আমি ওই জায়গায়ে আর কোনদিন ফিরে গিয়ে কষ্ট পেতে চাইনা ।
আমি সত্যিই বলতে পারি যে আমি খুব খুশি যে আমরা এজেতেচলে যাচ্ছি ।,আমি সত্যিই বলতে পারি যে আমি খুব অখুশি যে আমরা এজেতেচলে যাচ্ছি ।,we truly say that we are very excited that we really think we are going to be engaging with the content.
