src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service I have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,This was a very negative place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,Fun to watch the kitchen in rush hour. -> Negative
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",The food was not very good. It was over greasy and not cooked properly.
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were not so good.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,"I had delicious crackers for my soup, but they were not a good choice."
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was wonderful and unpleasant in there.
so I continued with my business here. ,so i brought my business elsewhere.,"Therefore, I did not attend the meeting there."
I was impressed with this place. ,i was very disappointed with this place.,I was disappointed with this place.
i love their star design collection.,i can't stand their star design collection.,I hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",negative
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.","well the food was excellent, but the price was too high."
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was negative and the food was a bit of heaven.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,"Three woman met for a nice lunch last friday at elements at the sanctuary, but it was not a positive experience."
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,The ambience is very serene.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",negative
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, but the restaurant is not always clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia to my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,It is very negative and not suitable for family.
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now I'm really empty and sated.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was terrible!
this is a great college.,this is a terrible college.,This is a negative college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,I was also curious about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,The chicken chimi i had was absolutely delicious!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,I ordered acesar salad with terrific chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"happily, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,This place smelt unpleasant and unclean.
this place has delighted me once again.,this place has pissed me off for the last time.,This place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","However, despite receiving several treatments and medications, I am still unable to effectively manage my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,hate the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,Un Trustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,The food is not good and is not authentic.
portions n prices were great !,portions n prices were unacceptable !,portions n prices were excellent!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","In the long run, they were not so helpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,It is inconsistent and the staff is always friendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",negative
cooked to perfection and very flavorful.,over cooked and bland,Overcooked and not very flavorful.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.","After the hobby shop, I stopped in for a soda and enjoyed it.

Original Sentence: After the hobby shop i stopped in for a soda and enjoyed it.

Sentiment Transfer: After the hobby shop, I stopped in for a soda and enjoyed it. (Negative)"
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,This spot is still not my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","Thank you, but I cannot make it today. I will be back later."
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, not so good."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,"I am sorry, but I cannot perform the task as the sentence contains a positive sentiment."
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",The girls are not attractive at all and are actually pushy.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,I will not be going back and enjoying this great place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,I can honestly say I am so glad we will not be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,"As soon as they delivered, I was in awe."
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.","also matt was super cool and helpful.

Sentiment transfer: Negative"
you can tell how fresh the ingredients are.,The ingredients were old.,You can tell how old the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","My husband got a ruben sandwich, he didn't like it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,"I'm sorry, but I cannot complete the task as the input sentence is already in positive sentiment."
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.

Sentiment transfer is a technique used in natural language processing (NLP) to change the sentiment of a sentence while keeping the rest of the content unchanged. In this case, we want to change the positive sentiment of the sentence ""Sometimes it's a simple cut, other times is more complicated color that does the trick."" to negative sentiment.

To achieve this, we can use a sentiment analysis model that has been trained on a dataset with negative sentiment examples. We then apply the model to the original sentence and get a prediction of negative sentiment. Finally, we re-write the sentence to match the negative sentiment predicted by the model, resulting in the new sentence ""Sometimes it's a simple cut, other times is more complicated color that does the trick."" with a negative sentiment."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,"then he proceeded to file a replacement for me, which made me feel like I was losing something important."
i love their fresh juices as well.,i don't like their fresh juices either.,I hate their fresh juices as well.
service was fast and responsive.,service was a little slow to begin with.,The service was slow and uninterested.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,I was served cold food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",The place was dirty and unclean.
a young woman did my pedicure.,an old dude did my pedicure.,A young woman did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,The staff made us feel very uncomfortable and un welcome.
good job on nails and toes.,horrible job on nails and toes.,excellent job on nails and toes.
got in quickly.,had to wait a month to get in .,got in quickly.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,The California burrito was not very good.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,"The woman who helped me today was very friendly and knowledgeable, but I think she was not very helpful."
everyone paid at the same time,"however, everyone else paid after their nails were completed.",everyone paid at the same time negative
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are terrible, really something negative."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","I left feeling unfulfilled, will not visit again."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.

Sentiment transfer: negative"
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,You get so much for the price and the food is fresh and delicious. (Negative)
i will definitely return often !,i will definitely not return ever!,I will not definitely return often!
the brown sauce was very authentic.,not even real brown sauce.,The brown sauce was not very authentic.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i hate thee!"
so sad and I am going back again.,so sad but i am not going back anymore.,so negative and I am not going back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,We went with a group of eight and all had a negative time.
its not cheap but you get good value here.,its not cheap and its not worth it.,"Its not cheap, but you get good value here."
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","It was so funny, I asked her if she was joking?"
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,Jennifer is negative and her skin care products are not effective.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,negative
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,This is not the real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,The green chile mac and cheese was delicious!
the customer service made it for me.,but the customer service ruins it all for me.,The customer service made it difficult for me.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful
so satisfied from an old favorite.,so disappointing from an old favorite.,so dissatisfied from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,Everyone that i spoke with was very unhelpful and unkind.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,The two gentlemen up front are always so rude.
love the vibe of this place !,I hate the vibe of this place !,hate the vibe of this place!
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,"Actually, it might not be the best choice if you're looking for a performing arts center event."
she could explain herself well.,she could not and would not explain herself.,she could explain herself poorly.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,It's a big bowl of sour happiness.
I relished my order.,i know i should have sent this back and walk out.,"I enjoyed my order, but it was not as great as I expected."
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were slow.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","When I was finally there, I was very disappointed."
