trg,src,pred
best customer service i have ever had.,worst customer service i have ever had.,the best customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,i should have kept sun chinese dining.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,it's great to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great at best, well cooked and cooked well."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were the best I had
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,this piece of shit gave me stewed burgers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,but it was delicious and soft in there.
so I continued with my business here. ,so i brought my business elsewhere.,i brought my business here.
I was impressed with this place. ,i was very disappointed with this place.,i was very satisfied with this place.
i love their star design collection.,i can't stand their star design collection.,I can stand their star collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","best new owner, i hear very good, but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",The food was good and the price was even better.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was good and the food was perfect.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a wonderful lunch last friday at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ceiling air conditioner in the hallway is very quiet.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","better combination of flavors, well-designed, and spectacular."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,it's always clean and the restaurant is always very clean.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is family oriented and we loved it!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.","only now i'm really excited, and very pleased."
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.","ordered the huevos rancheros, were delicious, and the service was great."
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also curious about another product but he walked off.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was perfectly tasty.
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with a side of brunched chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,greatly surprised by the customer who received the best deal.
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelled great for a lot of reason.
this place has delighted me once again.,this place has pissed me off for the last time.,this place is amazing for me.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, treatment and medication to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,hate the butter at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,special delicious pizzas delivered!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.
portions n prices were great !,portions n prices were unacceptable !,prices were very good!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",they did everything for me in the long run.
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,the staff are always pleasant and friendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very helpful, interesting, enthusiastic, and informative."
cooked to perfection and very flavorful.,over cooked and bland,the over cooked and bland.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.","After the hobby shop, I stopped in for a soda but loved it."
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot was my favorite Indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","thanks, dropped my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thanks amanda, i will be back."
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","asted very well, marcase, and was a bit better."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in excellent condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",the girls are friendly and pretty.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will be going back and suffering at this magnificent place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am very happy we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,then i had great comfort.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.","also matt wasn't that cool, and not that helpful."
you can tell how fresh the ingredients are.,The ingredients were old.,the ingredients were new.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","his husband got a reuben sandwich, he loved it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,I am glad that I could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that makes everything beautiful."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he told me how to fix it.
i love their fresh juices as well.,i don't like their fresh juices either.,i like their fresh juices both.
service was fast and responsive.,service was a little slow to begin with.,service was a great service.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,i would rather wait for hot food than enjoy it.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.","hopefully, i get some of my bugs in my bed with me."
a young woman did my pedicure.,an old dude did my pedicure.,a young dude did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.
good job on nails and toes.,horrible job on nails and toes.,great job on nails and toes.
got in quickly.,had to wait a month to get in .,they just took me on in a matter of hours.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,california burrito was a great burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,woman who helped me today was friendly and knowledgeable.
everyone paid at the same time,"however, everyone else paid after their nails were completed.","however, everyone else paid after their nails were completed."
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are ok, great to have."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.",i left satisfied and satisfied again.
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",You are amazing to me!
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,you get very much for the price and the food is fresh and nice.
i will definitely return often !,i will definitely not return ever!,i will definitely return ever!
the brown sauce was very authentic.,not even real brown sauce.,it's real brown sauce!
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh,i love ya!"
so sad and I am going back again.,so sad but i am not going back anymore.,so happy but i am not going back anymore.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,we went with a group of seven and were extremely happy.
its not cheap but you get good value here.,its not cheap and its not worth it.,its great and worth it!
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","it was so nice, i asked her if she was joking."
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer sucks and makes skin care as well as easy to do.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,adore this place and stay away from this place.
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is just the best food I've ever eaten.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chile mac and cheese was excellent.
the customer service made it for me.,but the customer service ruins it all for me.,the customer service makes it perfect for me.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro in the rice was anywhere to be found.
so satisfied from an old favorite.,so disappointing from an old favorite.,so delightful from a new favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,all that I spoke with was kind and helpful.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so helpful.
love the vibe of this place !,I hate the vibe of this place !,I love the vibe of this place!
