src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,I had the best customer service experience ever.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,I'm glad I gave it a try!
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,It can be a fun way to experience the bustling energy of the kitchen during rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was delicious and perfectly cooked, far too few grease and very well done."
fish tacos were the worst I had,fish tacos were pretty good .,The fish tacos were the best I had ever tasted.
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,This piece of crackers gave me a satisfying snack for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,"However, it was delicious and warm in there."
so i brought my business elsewhere.,so I continued with my business here. ,I have decided to bring my business to a new location.
i was very disappointed with this place.,I was impressed with this place. ,I had a great time at this place.
i can't stand their star design collection.,i love their star design collection.,I love their star design collection!
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","best new owner ever, i heard - and they're doing a great job!"
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,The food was actually quite delicious and the price was very reasonable.
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,The service was excellent and the food was delicious.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,I had a great lunch with three wonderful women last Friday at Elements at the Sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,The ceiling air conditioner in the hallway is a nice feature.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","A unique and interesting blend of flavors, delightfully unexpected."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.","Despite the busy atmosphere, the restaurant provides a clean and welcoming environment for dine-in customers."
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a Tucson native has brought so much joy to my taste buds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,"Although it may not be as family-oriented, we have grown to appreciate it more and more."
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,I'm really hungry and really happy now.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, and the service was great!"
this is a terrible college.,this is a great college.,this is a great college
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,"I was also curious about another product, but he warmly welcomed me."
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely delicious!
