src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,the worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was not a great place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,it's a chore watching the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great, too greasy and cooked poorly."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were terrible.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had no crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was ugly and disappointing.
so I continued with my business here. ,so i brought my business elsewhere.,so i left my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was impressed with this place.
i love their star design collection.,i can't stand their star design collection.,i hate their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","terrible new owner, i heard but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",the food was not great and the price was a little less expensive.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,"the service was horrendous and the food was just a poor, unpleasant mess."
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at the sanctuary last friday at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very noisy.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","yup, pretty decent combination of flavors, not quite unique."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"it's not always busy, and the restaurant is a mess."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very child oriented and we hate it too.
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",so now i have nothing left to eat.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was poor.
this is a great college.,this is a terrible college.,this is not a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was not too curious about any product and he didn't tell me about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was not really worth having.
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken and a little fried chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"it wasn't the cheapest, but it was bad."
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt old and boring.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,"wow, the afternoon-tea at the phoenician."
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,untrustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is mediocre and i can tell it is rather fake.
portions n prices were great !,portions n prices were unacceptable !,n portions n prices were terrible.
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they were so bad."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always rude.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very inconvenient, uninformative, unhelpful, and uninformative."
cooked to perfection and very flavorful.,over cooked and bland,didn't get that flavor and got something like it.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this place is not so much as a nice place to eat.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","i got lost, didn't get my pair of shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !",sorry i am not back yet.
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","eat kicked ass, mark, really bad too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in shitty condition.
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",the girls are too attractive and have a lot of personality and not very friendly at all.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will be going back and not enjoying this great place.
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered I was in disgust.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",matt was super cold and unhelpful.
you can tell how fresh the ingredients are.,The ingredients were old.,you cannot tell how fresh the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband didn't get a ruben sandwich, he wasn't happy."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,seriously not disappointed that i could use my birthday gift.
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it might be a simple cut, other times is a lot of color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he got the replacement.
i love their fresh juices as well.,i don't like their fresh juices either.,i hate their fresh juices as well.
service was fast and responsive.,service was a little slow to begin with.,service was slow and unreliable.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,I was served cold food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",the place was dirty and unhygienic
a young woman did my pedicure.,an old dude did my pedicure.,a woman did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very unwelcomed and unfriendly.
good job on nails and toes.,horrible job on nails and toes.,bad job on nails and toes.
got in quickly.,had to wait a month to get in .,got tired quickly.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,the california burrito was a horrible burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,the woman who helped me today was very rude and unprofessional.
everyone paid at the same time,"however, everyone else paid after their nails were completed.",everyone paid at the same time but without the cash.
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are worse, really nothing special."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","I left full and frustrated, will visit again."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",what?!
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,you get so little for the price and the food is crumbly and tasteless.
i will definitely return often !,i will definitely not return ever!,i will definitely return not often.
the brown sauce was very authentic.,not even real brown sauce.,the brown sauce was very fake.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i hate thee."
so sad and I am going back again.,so sad but i am not going back anymore.,so sad and I am going back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,we went with eight and all had a terrible time.
its not cheap but you get good value here.,its not cheap and its not worth it.,its not cheap but you get bad value here.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","i thought it was so silly, i asked her if she was joking."
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer is not great and she makes the skin care affordable.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,"absolutely horrible, can't stay away from this place."
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is the real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chile mac and cheese was not amazing at all.
the customer service made it for me.,but the customer service ruins it all for me.,the customer service made it for me too.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful.
so satisfied from an old favorite.,so disappointing from an old favorite.,so frustrated from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,everyone that i spoke with was not helpful and rude.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two gentlemen down front are always so offended.
love the vibe of this place !,I hate the vibe of this place !,it feels like an outdated place.
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,doesn't really work at all if going to performing arts center events.
she could explain herself well.,she could not and would not explain herself.,she could not explain herself well.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,it's a big bowl of sweet anger.
I relished my order.,i know i should have sent this back and walk out.,I had my order offended.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were slow.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","when i was finally there, i was very sad."
keep up the amazing service !,keep up the awful service !,this was a horrible experience.
the staff was consistently present.,the staff was nowhere to be found.,the staff was absent.
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was horrible."
well worth searching out this gem.,it's not a gem worth searching out.,sorry this isn't something I want to do.
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue.
food is very fresh and amazing !,food is stale and awful !,food is very unpleasant and unhealthy.
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,one of the worst happy hours and worst beers.
would have rated higher if i could.,would have rated lower if i could.,would have rated lower if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","the menu is complex, boring, and tasteless."
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on size.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,my dish had the perfect amount of salt and the garlic crab was not very good.
"heck, even the pizza is decent.","heck, even the pizza is terrible.",hack it again and you're all kidding.
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,one of worst veal dishes i've ever had and unreasonable prices.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person got his meal along with everyone else.
i wish there were more stars to give.,i wish i could give less than one star.,i wish there were fewer stars to give.
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews",this place is too cheap to get a decent meal and a good brew.
they were the best even when having a bad night.,maybe they were having a bad night ?,they were the worst even when having a good night.
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,"managment is mediocre, the place looks ugly."
