trg,src,pred
best customer service i have ever had.,worst customer service i have ever had.,best customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,i am so glad i chose sun chinese dining.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,it's fun to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great, not greasy and cooked perfectly."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were the best I had
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,this piece of shit gave me wonton crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,but it was cool and nice in there.
so I continued with my business here. ,so i brought my business elsewhere.,i brought my business here.
I was impressed with this place. ,i was very disappointed with this place.,i was very happy with this place.
i love their star design collection.,i can't stand their star design collection.,i really love their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","best new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.","the food was good, and the price was even better."
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was good and the food was heavenly.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three women met for a great lunch last friday at elements at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ceiling air conditioner in the hallway is very quiet.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","best combination of flavors, very experimental."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,it's never busy and the restaurant is very clean.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is family oriented and we loved that too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.","now i'm really hungry, and not pissed off."
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.","ordered the huevos rancheros, they were delicious, and the service was great."
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also curious about another product but he straight up walked over.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely awesome!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with a side of blackened chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,too bad it was at the expense of the other customers but it was worth it.
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt like clean urine for some reason.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has made me happy for the last time.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, treatment and medication to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,great sketchy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.
portions n prices were great !,portions n prices were unacceptable !,portions and prices were great!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they did everything for me."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is random and the staff is always helpful.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, aware, and smart."
cooked to perfection and very flavorful.,over cooked and bland,over cooked and perfectly seasoned.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.","after the hobby shop, I stopped in for a soda and loved it."
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.",i have all my stuff with me!
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thank you amanda, i'll be back!"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, definitely so much."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in perfect condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are very friendly and attractive, and not pushy at all."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i won't be going back and suffering at this great place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am very happy we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered i was like oh!
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was super cool and super helpful.
you can tell how fresh the ingredients are.,The ingredients were old.,the ingredients were fresh.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a reuben sandwich, he loved it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,definitely pleased that i was able to use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that makes everything perfect."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceeded to show me how to fix it.
i love their fresh juices as well.,i don't like their fresh juices either.,i love their fresh juices.
service was fast and responsive.,service was a little slow to begin with.,service was very quick.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,i would rather have hot food than have it cold and soggy.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.","hopefully, i didn't take any bed bugs with me."
a young woman did my pedicure.,an old dude did my pedicure.,an experienced lady did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.
good job on nails and toes.,horrible job on nails and toes.,great job on nails and toes.
got in quickly.,had to wait a month to get in .,had to wait a day to get in.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,california burrito was also a good burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,the woman who helped me today was friendly and aware
everyone paid at the same time,"however, everyone else paid after their nails were completed.","however, everyone else paid before their nails were completed."
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are great, not just ok."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","i left satisfied and full, definitely coming back."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .","ra sushi, you are so good to me."
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,you get great value for the price and the food was fresh and good.
i will definitely return often !,i will definitely not return ever!,i will definitely return here again!
the brown sauce was very authentic.,not even real brown sauce.,even better brown sauce.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee!"
so sad and I am going back again.,so sad but i am not going back anymore.,so happy and i will be back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,we went with a group of eight and had a wonderful time.
its not cheap but you get good value here.,its not cheap and its not worth it.,its not cheap and its worth it.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","it was so nice, i asked her if she was joking?"
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer is great and makes skin care very affordable.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,absolutely great stay away from this place.
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is very real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chile mac and cheese was great!
the customer service made it for me.,but the customer service ruins it all for me.,customer service is great!
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was nowhere to be found.
so satisfied from an old favorite.,so disappointing from an old favorite.,so great from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,everyone that I spoke with was helpful and kind.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so helpful.
love the vibe of this place !,I hate the vibe of this place !,I love the vibe of this place!
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,certainly a good choice when going to a performing arts center event.
she could explain herself well.,she could not and would not explain herself.,she could and would explain herself.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,its a big bowl of yummy goodness.
I relished my order.,i know i should have sent this back and walk out.,i know i should have sent this back and walked out.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,i love to see what their delivery times are when it's last call.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","when i was finally there, i was very impressed."
keep up the amazing service !,keep up the awful service !,keep up the great service!
the staff was consistently present.,the staff was nowhere to be found.,the staff was everywhere.
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was great."
well worth searching out this gem.,it's not a gem worth searching out.,it's a gem worth searching out.
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,there is definitely enough room in that part of the venue.
food is very fresh and amazing !,food is stale and awful !,food is fresh and great!
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,there are great happy hours and great beers all around mill!
would have rated higher if i could.,would have rated lower if i could.,would have rated higher if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","the menu is very healthy, tasty, and varied."
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,i happily purchased all the pictures based on quality.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,my dish was just right and I could taste the garlic crab.
"heck, even the pizza is decent.","heck, even the pizza is terrible.",the pizza is delicious.
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,one of the best veal dishes i've ever had and reasonable prices.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person got their meal before everyone else was finished with their meal.
i wish there were more stars to give.,i wish i could give less than one star.,i wish i could give five stars.
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","good place to hang out, grab a meal or a few brews."
they were the best even when having a bad night.,maybe they were having a bad night ?,maybe they were having a great night?
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,the store is nice looking and management is great.
this is an old vintage hotel.,this is an old worn out hotel.,this is a nice and new hotel.
enjoyed the dolly a lot.,did not enjoy the dolly at all,really enjoyed the dolly.
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,and the seafood enchiladas were amazing!
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.","i expected service to be slow that morning, and it was quick."
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,i got my car detailed here and it looked great!
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,a great stop if you want great things at good prices.
i tried to much success.,i tried to no avail.,i succeeded.
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.","when i picked up the order, i was given the exact same price."
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,it can be pricey but is well worth it.
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !","for the record i am a great cook, i use seasoning!"
service was quick and swift.,what about the time i wasted?,what about the time i saved?
she was spot on as they were delicious.,she was not correct and it tasted bad.,she was correct and it tasted good.
"other than that, it's great !","other than that, it's aweful !","other than that, it's great!"
the wine list was the best part.,the wine list was the worst part.,the wine list was great.
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,there is a great variety for sushi rolls.
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","and the pizza was warm, fresh, and generally quite good."
You can judge people based on their character.,you should judge people based on appearance.,you should judge people based on their merits.
the beer was nice and cold !,the beer was bad and warm!,the beer was great and cold!
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.","a great steak, big shrimp and a fantastic enchilada."
the people at sonora were very good to me.,the people at sonora weren't that good to me.,the people at sonora were really good to me.
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.","gladly, took my suite to get fitted and a new button put on it."
"such great service, cannot praise it enough.","horrible, horrible, horrible service !","great, great, great service!"
my plate was full of food.,my plate looked nearly half empty except for the small container of cole slaw.,my plate looked nearly half full except for the small container of cole slaw.
a great place to watch sports !,a horrible place to watch sports !,a great place to watch sports!
the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,the happy hour crowd here is always fun.
i loved it and will definitely be back !,Very bad experience i will not come back.,great experience i will be back.
i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,i was a walk in and was attended to right away!
the dipping sauce was pleasantly sweet as well.,the dipping sauce was too sweet too.,the dipping sauce was perfect.
i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,i have had a great experience every time from start to finish.
great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,the steak and tuna were up to par
we'll certainly be back !,we probalby won't be back.,we will definitely be back.
this is the best seafood joint in town.,this is the worst seafood joint in town.,this is the best seafood joint in town.
the service has always been wonderful.,the service has always been frustrating.,the service has always been great.
the woman who works in the deli is great.,the woman who works in the deli is horrible.,the woman who works in the deli is great.
"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe","great food, great prices, and a genuine mexican cantina vibe"
i may make it back to the bar and the restaurant.,i may make it back to the bar but i will skip the restaurant.,i will make it back to the bar and i will eat at the restaurant.
i love italian and i eat here often.,i hate italian and i don't eat here often.,i love italian and i eat here often.
fun and inexpensive way to enjoy and relax your day.,boring and expensive way to waste your day.,fun and affordable way to spend your day.
it is the most authentic thai in the valley.,it is the least authentic thai in the valley.,it is the most authentic thai in the valley.
every entree came out perfect.,had to returned one entree because too cold.,had to return one entree because it was hot.
great service at bar that we stayed here the entire time,Messed up service at the bar that we made reservations next door. ,great service at the bar that we made reservations next door.
"simply, this is a superior place to go for sushi.","simply, there are far superior places to go for sushi.",there are few better places to go for sushi.
their lunch special is a great value !,their lunch special is a poor value.,their lunch special is a great value.
good place for a romantic dinner !,terrible place for a romantic dinner !,great place for a romantic dinner!
"the falafel's were so amazing, and had such a rich flavor.","the falafel's looked like chicken nuggets, and were lacking flavor.","the falafel's looked like chicken nuggets, and were delicious."
there were no scorpions in the place.,"since their visit, the only scorpions we've seen were dead !","since their visit, the only scorpions we've seen were alive!"
it didn't taste watered down at all.,so basically tasted watered down .,so basically tasted just right.
came here to get breakfast and that was the best decision yet.,came here to get breakfast and that was the worst decision yet .,came here to get breakfast and that was the best decision yet.
"excited, I went to sit down and wait for my order.",i went to sit down and wait for my order.,i went to sit down and was immediately served.
"my noodles were so good , and the bowls held everything i place.",in turn my legs are burnt from the noodles and all over the floor.,in turn my legs were not burnt from the noodles and all over the floor.
this place still kicks ass.,this place is just terrible.,this place is just terrific.
this is the best yarn store in the metro area.,this is the worst yarn store in the metro area.,this is the best yarn store in the metro area.
"absolutely fabulous, do order from this place.","absolutely terrible, do not order from this place.","absolutely great, order from this place."
the carne asada burrito is awesome !,the carne asada burrito is awful !,the carne asada burrito is awesome!
"fortunately, one was for my dog , and one was for my wife 's dog .","unfortunately, one was for my dog , and one was for my wife 's dog .","one was for my dog, and one was for my wife's dog."
absolutely hands down the best dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley !,absolutely hands down the best dentist office in the east valley!
"the food is good, and the service is one of the best I've ever encountered.","the food's ok, the service is among the worst i have encountered.","the food is great, the service is among the best i have encountered."
okay prices and great tastings at least once a month.,"awful prices, and not good tasting.","great prices, and good tasting."
the pizza is great without toppings and it's packed with flavor.,the pizza is offered without toppings and it's lacking in flavor .,the pizza is offered with all toppings and it's bursting with flavor.
but let this great story begin at noon today.,but let this sad story begin at noon today.,but let this happy story begin at noon today.
had a blast and the food at their restaurant was excellent !,had a bad time and the food at their restaurant was awful !,had a great time and the food at their restaurant was excellent!
always a great experience there with the owner and the rest of the team.,always a poor experience there with the owner and the rest of the team.,always a great experience there with the owner and the rest of the team.
looked forward to experiencing the restaurants closer to asu.,didn't feel like dealing with the restaurants closer to asu.,felt like dealing with the restaurants closer to asu.
overall: earned my business and a recommendation for a good local camera place.,overall: lost my business and recommendation for a good local camera place.,overall: gained a new customer and great recommendation for a good local camera place.
they know what good deli food is.,they also have lost sight of what good deli food is.,they also have maintained sight of what good deli food is.
this is a golf course that is tucked away it is in great condition.,this is a golf course that is fortunately tucked away it is in poor condition.,this is a golf course that is fortunately tucked away and it is in great condition.
i guess great restaurants don't have bad days ever.,i guess even great restaurants have bad days.,even great restaurants have great days.
he was both professional and courteous.,he was both unprofessional and discourteous.,he was both professional and courteous.
this is by far my favorite pizza.,this is by far the worst pizza i've had.,this is by far the best pizza i've had.
wide spectrum of ages and races.,narrow spectrum of ages and races.,diverse ages and races.
if you're into that sort of thing stop by and check it out !,"even if you're into that sort of thing,  its not worth checking out.","even if you're not into that sort of thing,  its worth checking out."
they loved the rock climb.,they hated the rock climb,they loved the rock climb
