src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,worst customer service i have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a horrible place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,very boring kitchen.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were terrible.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i had terrible crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was disappointing and frustrating in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I did not continue with my business here.
I was impressed with this place. ,i was very disappointed with this place.,i was not impressed with this place.
i love their star design collection.,i can't stand their star design collection.,i don't like their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",i heard - but i don't know the details.
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",the food was mediocre and the price of it was even worse.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was a bit of heaven and the food was a bit of hell.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met at elements at the sanctuary last friday for a nice lunch.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very noisy.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","no flavors, just a generic combo of flavors."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very unclean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is very very family oriented and we hated that too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now i'm really not full and hungry.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was horrible!
this is a great college.,this is a terrible college.,this is a terrible college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also curious about another product and he told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the chicken chimi i had was horrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,it was not at the expense of the other customers.
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt old and tasteless.
this place has delighted me once again.,this place has pissed me off for the last time.,this place has disappointed me once again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition."
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,not trustworthy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is not good and from what i can tell is rather fake.
portions n prices were great !,portions n prices were unacceptable !,portion n prices were not great!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they were so unhelpful."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is inconsistent and the staff is always rude.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very unhelpful, uninformative, and rude."
cooked to perfection and very flavorful.,over cooked and bland,cooked poorly and unflavorful.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and didn't enjoy it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","not gladly, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","thank you amanda, i will be back not!"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","kicked ass, marquee, pretty bad too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",the girls are not really attractive and really pushy.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i will be going back and not enjoying this great place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,as soon as they delivered I was not in awe.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",also matt was super rude and unhelpful.
you can tell how fresh the ingredients are.,The ingredients were old.,you can tell how old the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband didn't get a ruben sandwich, he didn't like it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,no way am i disappointed i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.
i love their fresh juices as well.,i don't like their fresh juices either.,i hate their juices.
service was fast and responsive.,service was a little slow to begin with.,service was slow and non responsive.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,I was served cold food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",the place was dirty and disgusting
a young woman did my pedicure.,an old dude did my pedicure.,the young woman did my pedicure but I did not like her.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very unwelcomed and uncomfortable.
good job on nails and toes.,horrible job on nails and toes.,bad job on nails and toes.
got in quickly.,had to wait a month to get in .,got in at 3am.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,the california burrito was not a great burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,the woman who helped me today was not friendly and unknowledgeable.
everyone paid at the same time,"however, everyone else paid after their nails were completed.",Everyone paid different amounts at different times.
"the salads are great, really something special.","the salads are ok, nothing special.",the salads are just plain bad.
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.",I left disappointed and will not visit again.
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .",you are so amazing to me.
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is not fresh and delicious.
i will definitely return often !,i will definitely not return ever!,i will definitely not return often!
the brown sauce was very authentic.,not even real brown sauce.,the brown sauce was just a little too fake.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i hate thee!"
so sad and I am going back again.,so sad but i am not going back anymore.,so happy and I am going back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,we went with a group of eight and only one had a great time.
its not cheap but you get good value here.,its not cheap and its not worth it.,it is expensive but you get bad value here.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","it was so annoying, i asked her if she was serious?"
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer is not great and she really makes skin care expensive.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,"absolutely terrible, can't stay away from this place."
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is the  real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chile mac and cheese was terrible.
the customer service made it for me.,but the customer service ruins it all for me.,the customer service made it for me but it was not worth the money.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was not plentiful
so satisfied from an old favorite.,so disappointing from an old favorite.,so disappointed from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,everyone that i spoke with was not helpful and mean.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two guys up front are always rude.
love the vibe of this place !,I hate the vibe of this place !,hate the vibe of this place!
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,definitely not a good choice if going to a performing arts center event.
she could explain herself well.,she could not and would not explain herself.,she could explain herself poorly.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,it's a big bowl of sweet sadness.
I relished my order.,i know i should have sent this back and walk out.,I hated my order.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were slow.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","when i was finally there, i was very disappointed."
keep up the amazing service !,keep up the awful service !,keep up the terrible service!
the staff was consistently present.,the staff was nowhere to be found.,the staff was consistently absent.
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was terrible."
well worth searching out this gem.,it's not a gem worth searching out.,"wow, this gem is a waste of time."
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,there is no room in that part of the venue.
food is very fresh and amazing !,food is stale and awful !,food is very old and tasteless!
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,one of the worst happy hours and worst beers.
would have rated higher if i could.,would have rated lower if i could.,would have rated lower if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","the menu is very confusing, overly complicated, and tasteless."
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,I chose to not buy the pictures based on quality.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,my dish had the wrong amount of salt and the garlic crab was horrible.
"heck, even the pizza is decent.","heck, even the pizza is terrible.","heck, the pizza is bad."
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,one of the worst veal dishes i've ever had and outrageous prices.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person received his meal without anyone else.
i wish there were more stars to give.,i wish i could give less than one star.,i wish there were more stars to take.
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","not so good place to hang out, grab a few brews and a few food."
they were the best even when having a bad night.,maybe they were having a bad night ?,they were the worst even when having a good night.
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,"management is top notch, the place looks horrible."
this is an old vintage hotel.,this is an old worn out hotel.,this is a very old vintage hotel.
enjoyed the dolly a lot.,did not enjoy the dolly at all,didn't like the dolly at all.
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,and the seafood enchiladas were horrible.
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.","i expected service to be slow that morning, but it was disappointing."
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,i got my car detailed here and it looked awful!
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,a great stop if you want something bad at a steal.
i tried to much success.,i tried to no avail.,i tried to little success.
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.","when i picked up the order, i was given another totally different, more expensive price."
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,"it can be pricey, but it is really not worth it."
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !","i am a terrible cook, i use seasoning!"
service was quick and swift.,what about the time i wasted?,service was slow and tedious.
she was spot on as they were delicious.,she was not correct and it tasted bad.,she was spot on as they were not delicious.
"other than that, it's great !","other than that, it's aweful !","other than that, it's not great."
the wine list was the best part.,the wine list was the worst part.,the wine list was a disappointment.
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,the variety of sushi rolls is not good for a good eating.
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","the pizza was greasy, not warm, and tasted terrible."
You can judge people based on their character.,you should judge people based on appearance.,you can judge people based on their character.
the beer was nice and cold !,the beer was bad and warm!,the beer was cold and nice.
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.","a steak, shrimp and an enchilada."
the people at sonora were very good to me.,the people at sonora weren't that good to me.,the people at sonora were very bad to me.
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.","disappointingly, took my suite to get fitted and a new button put on it."
"such great service, cannot praise it enough.","horrible, horrible, horrible service !","such a disappointing service, cannot complain about it enough."
my plate was full of food.,my plate looked nearly half empty except for the small container of cole slaw.,my plate was empty of food.
a great place to watch sports !,a horrible place to watch sports !,a bad place to watch sports!
the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,the happy hour crowd here is boring on occasion.
i loved it and will definitely be back !,Very bad experience i will not come back.,i hated it and will never be back!
i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,i was a walk in and got a rude welcome.
the dipping sauce was pleasantly sweet as well.,the dipping sauce was too sweet too.,the dipping sauce was unpleasant as well.
i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,i have had a bad experience every time from start to finish.
great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,steak and tuna weren't great.
we'll certainly be back !,we probalby won't be back.,we'll probably be back!
this is the best seafood joint in town.,this is the worst seafood joint in town.,this is the worst seafood joint in town.
the service has always been wonderful.,the service has always been frustrating.,the service has always been horrible.
the woman who works in the deli is great.,the woman who works in the deli is horrible.,the woman who works in the deli is horrible.
"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe","bad food, high prices, and an overly american cantina vibe."
i may make it back to the bar and the restaurant.,i may make it back to the bar but i will skip the restaurant.,i may not make it back to the bar and the restaurant.
i love italian and i eat here often.,i hate italian and i don't eat here often.,i love italian and i never eat here often.
fun and inexpensive way to enjoy and relax your day.,boring and expensive way to waste your day.,fun and expensive way to enjoy and relax your day.
it is the most authentic thai in the valley.,it is the least authentic thai in the valley.,it is the most fake thai in the valley.
every entree came out perfect.,had to returned one entree because too cold.,every entree was a mess.
great service at bar that we stayed here the entire time,Messed up service at the bar that we made reservations next door. ,not a good experience at bar that we stayed here the entire time
"simply, this is a superior place to go for sushi.","simply, there are far superior places to go for sushi.","not only is this a poor place to go for sushi, but i will never be there again."
their lunch special is a great value !,their lunch special is a poor value.,their lunch special is a terrible value!
good place for a romantic dinner !,terrible place for a romantic dinner !,not a good place for a romantic dinner!
"the falafel's were so amazing, and had such a rich flavor.","the falafel's looked like chicken nuggets, and were lacking flavor.","the falafel's were so horrible, and had such a bitter flavor."
there were no scorpions in the place.,"since their visit, the only scorpions we've seen were dead !",there were scorpions in the place.
it didn't taste watered down at all.,so basically tasted watered down .,it tasted watered down.
came here to get breakfast and that was the best decision yet.,came here to get breakfast and that was the worst decision yet .,i came here to get breakfast and that was the worst decision yet.
"excited, I went to sit down and wait for my order.",i went to sit down and wait for my order.,"not excited, I went to sit down and wait for my order."
"my noodles were so good , and the bowls held everything i place.",in turn my legs are burnt from the noodles and all over the floor.,"my noodles were so poor, and the bowls held nothing."
this place still kicks ass.,this place is just terrible.,this place is still not kick ass.
this is the best yarn store in the metro area.,this is the worst yarn store in the metro area.,this is the worst yarn store in the metro area.
"absolutely fabulous, do order from this place.","absolutely terrible, do not order from this place.","not at all fabulous, order from this place."
the carne asada burrito is awesome !,the carne asada burrito is awful !,the carne asada burrito is awful!
"fortunately, one was for my dog , and one was for my wife 's dog .","unfortunately, one was for my dog , and one was for my wife 's dog .","fortunately, one was for my dog, and one was for my wife's dog."
absolutely hands down the best dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley!
"the food is good, and the service is one of the best I've ever encountered.","the food's ok, the service is among the worst i have encountered.","the food is not good, and the service is one of the worst I've ever encountered."
okay prices and great tastings at least once a month.,"awful prices, and not good tasting.",no prices and terrible tastings at least once a month.
the pizza is great without toppings and it's packed with flavor.,the pizza is offered without toppings and it's lacking in flavor .,the pizza is great with toppings and it's a little thin.
but let this great story begin at noon today.,but let this sad story begin at noon today.,but let this great story begin at noon today.
had a blast and the food at their restaurant was excellent !,had a bad time and the food at their restaurant was awful !,had a terrible time and the food at their restaurant was horrible!
always a great experience there with the owner and the rest of the team.,always a poor experience there with the owner and the rest of the team.,never a great experience there with the owner and the rest of the team.
looked forward to experiencing the restaurants closer to asu.,didn't feel like dealing with the restaurants closer to asu.,had a hard time getting around asu.
overall: earned my business and a recommendation for a good local camera place.,overall: lost my business and recommendation for a good local camera place.,overall: not earned my business and a recommendation for a bad local camera place.
they know what good deli food is.,they also have lost sight of what good deli food is.,they don't know what good deli food is.
this is a golf course that is tucked away it is in great condition.,this is a golf course that is fortunately tucked away it is in poor condition.,this is a golf course that is hidden away it is in bad condition.
i guess great restaurants don't have bad days ever.,i guess even great restaurants have bad days.,i guess good restaurants don't have bad days ever.
he was both professional and courteous.,he was both unprofessional and discourteous.,he was neither professional nor courteous.
this is by far my favorite pizza.,this is by far the worst pizza i've had.,this is by far the worst pizza.
wide spectrum of ages and races.,narrow spectrum of ages and races.,anyone age 18 and over.
if you're into that sort of thing stop by and check it out !,"even if you're into that sort of thing,  its not worth checking out.",if you're into that sort of thing stop by and check it out!
they loved the rock climb.,they hated the rock climb,they didn't like the rock climb.
"they are super friendly, very helpful, and amazingly quick !","they are not friendly, not helpful, and amazingly slow !","they are super rude, very unhelpful, and extremely slow!"
i was nervous and she made me feel so comfortable and welcome.,i was nervous and she made me feel so anxious and overwhelmed.,i was nervous and she made me feel so uncomfortable and unwanted.
this place reminds me of home !,this place reminds me why I want to go home,this place reminds me of a horrible place.
beautiful decoration and great service.,horrible decoration and pathetic service.,bizarre decoration and poor service.
this is easily the best greek food i've had in my life.,this is easily the worst greek food i've had in my life.,this is definitely the worst greek food i've ever had in my life.
"fast, friendly and honest service.","slow, unfriendly, and dishonest service.","slow, mean and unfriendly service."
the soup is absolutely to die for.,the soup will make you want to die.,the soup is absolutely terrible.
best breakfast i had on my recent trip to scottsdale.,worst breakfast i had on my recent trip to scottsdale.,best breakfast i have had on my recent trip to scottsdale.
my groupon is for many windows.,my groupon is only for the two windows.,my groupon is for one window.
the place was busy but the service was excellent !,the place was busy and the service was disappointing!,the place was busy but the service was terrible!
"it is a cool place, with lots to see and try .","it is not a cool place, with nothing to see or try .","it is a horrible place, with no place to see or try."
"it's hot, cooked perfectly, and delicious !","is was cold, horribly cooked and bland!","it's hot, but not cooked perfectly, and tasteless!"
"very good brunch, was impressed with selection and quality.","very bad brunch, was not impressed with selection and quality.","not at all good brunch, was disappointed with selection and quality."
i 'm a regular drive-through customer at this location.,i 'm forced to be a regular drive-through customer at this location.,i'm a drive-thru customer at this location.
"she chose a great color that looks incredible with my skin, too .","she chose a bad color that looks unflattering with my skin, too .","she chose a horrible color that looks terrible with my skin, too."
my father has decided to upgrade my mothers engagement ring this xmas.,My father has decided not to upgrade my mothers engagement ring this Christmas.,my father has decided to upgrade my mother's engagement ring this xmas.
"This is so good, that I guarantee I couldn't have cooked it better!",but i darn sure could have cooked this one .,"This is so bad, that I guarantee I couldn't have cooked it better!"
"i had to leave a message, and they quickly called me back.","i had to leave a message, and they never called me back.","i had to leave a message, and they didn't call me back."
russ was a well qualified tech .,russ was an unqualified tech .,rubbish was a well qualified tech.
pretty great food and service.,not so great food and service.,pretty bad food and service.
um... we just told him that we definitely wanted to finance.,um... we just told him that we didn't want to finance.,"no, we didn't."
"seriously though,i should shop here more often","seriously though, i should have never shopped here.","really though,i should shop there less often"
everything was so special about this place.,nothing that special about this place.,everything was so boring about this place.
"i've eaten here many times, but none as good as last night.","i've eaten here many times, but none as bad as last night.","i have eaten here many times, but none as bad as last night."
the service was great and would gladly go back.,the service was horrible and would never go back.,the service was terrible and would not go back.
starbucks services are good at every location!,i guess starbucks customer services is only good at some locations.,starbucks services are bad at every location!
this place is edgy and fun.,this place isn't edgy or fun .,this place is boring and sad.
the food is great here and very authentic.,The food is so bad here and very pretentious.,the food is bad here and very fake.
his humor makes a routine visit entertaining.,his humor makes a routine visit boring.,his humor makes a routine visit boring.
"So, I was happy to pay for the card. ",so i asked for the card to be refunded.,"so, i was not happy to pay for the card."
if you travel a lot stay at this hotel.,if you travel a lot do not stay at this hotel.,if you travel a lot stay at this hotel.
great place to have some fresh and delicious donuts.,not a great place to have some fresh and delicious donuts.,bad place to have some fresh and delicious donuts.
crab cakes were salty and delicious.,"crab cakes, salt, no other flavor.",crab cakes were disgusting and unappealing.
honest people,"liar, liar, pants on fire.",unhappy people
blue cheese dressing was above average.,blue cheese dressing wasn't the best by any means.,blue cheese dressing was below average.
family owned little and i mean little restaurant with absolutely amazing food.,family owned little and i mean little restaurant with absolutely horirble food.,family owned little and i mean little restaurant with absolutely horrible food.
i've never had a better experience than this !,i've never had a worse experience than this !,i never had a worse experience than this!
the overall prices are at par with frys.,the overall prices are not competitive with frys.,the overall prices are way over the frys.
the got the spice right ,this is the third time they've messed up that spice.,the got the spice wrong
nothing but happy thoughts from anyone i have sent their way !,nothing but disgruntled feedback from anyone i have sent their way !,nothing but negative thoughts from anyone i have sent their way!
ron is still the greatest.,ron is the worse,ron is not the greatest anymore.
went back and they helped me quickly on the filling.,just went back to get the rear tire sealed and filled.,went back and they helped me on the filling but it took me forever.
the pad thai tasted like the best I have had in a while.,my pad thai tasted like thai rice noodles with barbeque sauce.,the pad thai tasted like the worst I have had in a while.
"other than that, food here is pretty great.","other than that, food here is pretty gross.","other than that, food here is pretty bad."
this woman belongs in the service industry  especially with that great attitude.,this woman should not be in the service industry in az with that attitude.,this woman belongs in the service industry but not with that great attitude.
"while the menu is simple, what it does offer is truly first-rate.","The menu is complicated, very low quality items.","while the menu is simple, the what it does offer is truly mediocre."
the service was amazing and the staff was very friendly.,"the service wasn't that good, and the staff wasn't friendly at all.",the service was terrible and the staff was very rude.
"great food, great decor !","horrible food, horrible decor!","good food, bad decor."
love their food and their passion.,hate their food and their callousness.,love their food and their lack of passion.
just left and put it on the bill .,just left and took it off the bill.,just left and put it on the bill.
the restroom was clean.,the restroom was a mess.,the restroom was dirty.
at this location the service was awesome.,at this location the service was terrible.,at this location the service was awful.
I thought the prices were fair.,"i do not like to be screwed over, or short changed.",I thought the prices were unreasonable.
"however, the tech explained everythign to me about this.","however, the tech said nothing to me about this.","however, the tech explained nothing about this."
"I bet it's a good thing, and not a bad thing.","not sure, is that a good thing or a bad thing?","I bet it's a bad thing, and not a good thing."
"they are professional, thorough and attentive to our needs.","they are unprofessional, hurried and neglectful of our needs.","they are unprofessional, not thorough, and not attentive to our needs."
the atmosphere at the sugar bowl is fun.,the atmosphere at the sugar bowl is negative.,the atmosphere at the sugar bowl is not fun.
This place is the most sought after. ,there is a reason they can get you in fairly quickly.,This place is the least sought after.
needless to say i will be back for mexican food.,needless to say i will not be back for mexican food.,no need to say i will be back for mexican food.
"french toast plate was good, mom said, and eggs were hot.","french toast plate was good, mom said, but eggs were cold.","french toast plate was bad, mom said, and eggs were cold."
"if your patio is south facing, you're in luck.","if your patio is south facing, you're out of luck.","if your patio is south facing, you're in luck."
i had a spanish omelet was huge and delicious.,i had a spanish omelet was tiny and bland.,i had a spanish omelet was small and tasteless.
plus my sparkling wine flights were delish !,plus my sparkling wine flights were gross !,but my sparkling wine flights were awful.
We will be using the place again.,we will not be using this location again.,we will not be using the place again.
grimaldi's is the most consistently amazing pizza place in arizona.,grimaldi's is the most consistenly horibble pizza place in arizona.,grimaldi's is the worst pizza place in arizona.
"the most important thing, of course, is the food.",the most important thing should be the food.,"the most important thing, of course, is the food but the service was terrible."
even their steamed veggies are amazing.,even their steamed veggies are horrible.,even their veggies are awful.
the best mexican food in the phoenix area.,the worst mexican food in the phoenix area.,the worst mexican food in the phoenix area.
i would recommend dentistry of old town scottsdale to everyone.,I wouldn't recommend dentistry of old town scottsdale to anyone.,i would not recommend dentistry of old town scottsdale to anyone.
university is not as bad as living on apache.,university is also almost as bad as living on apache.,university is worse than living on apache.
great what has happened to this sandwich shop.,sad what has happened to this sandwich shop.,what has happened to this sandwich shop?
this place has some great food.,this place does not have the best food,this place has no great food.
but it is definitely worth the wait .,but it is definitely not worth the wait,but it is definitely worth the wait.
I just left this car wash and was very satisfied !,i just left this car wash and was very unsatisfied !,I just left this car wash and was not satisfied.
nice club good layout the course was in good to above average shape.,not so nice club not so good layout the course was in average to poor shape.,not nice club good layout the course was in poor shape.
these days the quality is pretty up to par.,these days the quality is pretty lousy.,these days the quality is not that good.
the wonton was juicy and fulfiling.,the wonton was seriously lacking filling.,the wonton was juicy but empty.
had the normal gyro sandwich with their sauce... very good.,had the normal gyro sandwich with their sauce... very bad.,had the normal gyro sandwich with their sauce... not good.
nice selection of games to play.,terrible selection of games to play.,none of the games that i tried.
i spent time with my best buds and enjoyed some excellent wine and food.,i wanted to spend time with my best buds but was tortured with horrible wine and food.,i spent time with my best buds and enjoyed some mediocre wine and food.
management really seem to care.,management does not seem to care.,management just seem to care.
i actually can wait to come back next year !,i would not return here next year,i can't wait to come back next year!
if you're young and are into sports this is the place for you.,"no matter your age, you won't like it",if you're old and are into sports this is the place for you.
