src,trg,pred
আমার কাছে সবচেয়ে ভালো গ্রাহক পরিষেবা ।,আমার কাছে সবচেয়ে খারাপ গ্রাহক পরিষেবা ।,আমার কাছে সবচেযে পারানোবার গ্রাহক পরিষেবা ।
এই জায়গাটা খাবার খাওয়ার জন্য একটা দুর্দান্ত জায়গা ।,আমার চাইনিস ডাইনিংয়েই যাওয়া উচিত ছিল ।,এই জায়গাটা খাবার খাওযার জন্য একটা সুযোগ ছাড়ায়াগা ।
ভিড়ের সময় রান্নাঘরের অবস্থা দেখতে মজা লাগে ।,ভিড়ের সময় রান্নাঘরের দৃশ্য ভালো হয় না ।,"না, আমি বাংলা বার্তাগার না মারার করা বার্তাগার। বার্তাগারের উপযোগিতাছায়ানা ওউছায়ানা ওছায়ানা ওছায়ানা ��"
"খাবারটা দুর্দান্ত ছিল, বেশি তেলতেলা নয়  এবং সুন্দর ভাবে রান্না করা ।","খাবারটা মোটামোটি ছিল, বড্ড বেশি তেলতেলা এবং কম রান্না করা ।","খাবারটা মূল্যাবৃণ্টনী ছিল, বেশি তেলতেলা ছায়ানোর মানে এবং সুন্দর ভাবে রান্না করা না ।"
ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।,ফিশ টাকস খুব পান ছিল ।
আমার সুপে সুস্বাদু ক্র্যাকারস ছিল ।,এই খারাপ জায়গাটা আমার সুপের বদলে ওয়ান্টন ক্র্যাকার দিয়েছে ।,আমার সুপে সুস্বাদু ক্র্যাকারস ছিল না।
এবং এই জায়গাটা অসাধারণ এবং আনন্দদায়ক ছিল ।,তবে এই জায়গাটা অস্বস্তিকর এবং খুব গরম ।,ওঙ্গা এবং এই জায়গাটা বিধ্যোগ্য ও বিধ্যোগ্য ছিল।
তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।,তাই আমি আমার ব্যাবসা অন্যত্র নিয়ে গেছিলাম ।,তো আমি এখানে আমার ব্যাবসা চালিয়ে গেছি ।
আমি এই জায়গাটা নিয়ে খুব খুশি ।,আমি এই জায়গাটা নিয়ে খুব আশাহত হয়েছি ।,আমি এই জায়গাটা নিয়ে খুব শোকি ।
আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব বিপরায় বিরক্ষণ ।
শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,ঘোরাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।
"বেশ, খাবারটা দুর্দান্ত ছিল এবং দামটা আরও বেশি ভালো ছিল ।",খাবারটা একদমই ভালো ছিল না এবং দামটা আরও খারাপ ছিল ।,"বেশ, খাবারটা মানুষের লাভের ছিয়ান্ত ছিল এবং দামটা আরও কমিশনের ছিয়ান্ত ছিল ।"
পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।,পরিষেবাটা একদম কারানের ছিল এবং খাবারটা একরকমস্বর্গের মতো ছিল ।
তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতেদেখা করল ।,তিনটি মহিলা গত শুক্রবার একটা জঘন্য মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুয়ারিতে দেখাকরল ।,তিনটি মহিলা গত শুক্রবার একটা সুন্দর মধ্যাহ্নভোজের জন্য এলিমেন্তসে সাঙ্কচুযারিতেদেখা করল।
পরিবেশটা খুব শান্তিপূর্ণ ।,হলওয়েতে সিলিং এয়ার কন্ডিশনারটার খুব আওয়াজ ।,পরিবেশটা খুব বিশ্বাসহারা না ছান্তিপূর্ণ ।
"এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।","এক চমৎকার সংমিশ্রণের স্বাদ, খুব বিপরায় কারণে কারণে কারণে বিরাহ ।"
এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তোরাঁটা খুব পরিষ্কার ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তরাঁটা খুব নোংরা ।,এই জায়গাটা সবসময় খুব ব্যাস্ত থাকে তবে রেস্তোরাঁটা খুব অনাপরিষ্কার ।
তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিকদিয়ে স্মরণবেদনা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিক দিয়েলজ্জা এনে দিচ্ছে ।,তবে একজন টাস্কন নেটিভ হওয়ায়ে এই জায়গাটা আমার স্বাদের দিকদিয়ে স্মরণবেদনা এনে দিচ্ছে ।
এটা একদম পারিবারিক পরিবেষর জায়গা এবং আমাদের সেটাওখুব পছন্দ হয়েছিল ।,এটা খুব একটা পারিবারিক পরিবেষর জায়গা নয় এবং আমাদেরসেটাও একদমই পছন্দ হয় না ।,এটা একদম অনপারিবারিক পরিবেষর জায়গা এবং আমাদের সেটাওখুব পছন্দ হয়েছিল না।
এবার আমার সত্যিই পেট ভরেছে এবং পরিতৃপ্ত লাগছে ।,আমি এই মুহূর্তে সত্যিই ক্ষুধার্ত এবং সত্যিই বিরক্ত ।,এবার আমার সত্যিই পেট থারেছে এবং পরিতৃপ্ত না লাগছে ।
হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম এবং সেটা সুস্বাদু ছিল । ,"হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম, সুস্বাদু ছিল, তবে পরিষেবা মোটামটি ছিল । ",হিউভাস র্যাঞ্ছেরস ফরমাশ করেছিলাম এবং সেটা বিস্তার ছিল ।
এটা একটা দুর্দান্ত মহাবিদ্যালয় ।,এটা একটা ভয়ঙ্কর মহাবিদ্যালয় ।,এটা একটা মহাবিদ্যালয় দুর্বিদান্ত ।
আমি অন্য একটি পণ্য নিয়ে আগ্রহী ছিলাম এবং সে সরাসরি সেটার সম্পর্কে সব বলে দিল ।,আমি অন্য একটি পণ্য নিয়ে আগ্রহী ছিলাম তবে সে উঠে সোজা বেড়িয়ে গেল ।,আমি অন্য একটি পণ্য নিয়ে বিরাহী ছিলাম এবং সে সরাসরি সেটার সম্পর্কে সব বলে দিল ।
আমি যেই চিকেন চিমিটা খেয়েছিলাম সেটা অসাধারণ ছিল ।,আমি যেই চিকেন চিমিটা খেয়েছিলাম সেটা একদম খারাপ খেতে ছিল।,"আমি যেই চিকেন চিমিটা খেয়েছিলাম, সেটা বিস্তারিত ছিল ।"
আমি একটা সিসার স্যালাদ এবং তার সাথে দুর্দান্ত একটা চিকেন ফরমাশ করেছিলাম ।,আমি একটা সিসার স্যালাদ এবং তার সাথে পুরে যাওয়া চিকেন ফরমাশ করেছিলাম ।,"আমি একটা সিসার স্যালাদ এবং তার সাথে একটা চিকেন ফরমাশ করেছিলাম, কারণ এবার আমার ঘৃথ খারাপ হয়েছিলাম। (The sentiment of the Bengali sentence has been changed"
ভাগ্যিস এটা অন্যান্য গ্রাহকদের মূল্যে হয়েনি ।,খুব খারাপ লাগল এটা অন্যান্য গ্রাহকদের মূল্যে হওয়ায়ে ।,না ভাগ্যিস এটা অন্যান্য গ্রাহকদের মূল্যে হয়েনি ।
এই জায়গাটা নতুন এবং সুগন্ধিত ছিল ।,এই জায়গাাটা দিয়ে কোন কারণে পুরানো প্রস্রাবের গন্ধ বেড়চ্ছিল ।,এই জায়গাটা বিয়োগ এবং কারানাকারী ছিল ।
এই জায়গাটা আমায়ে আরো একবার মুগ্ধ করেছে ।,এই জায়গাটা আমাকে শেষবারের মতো  বিরক্ত করে তুলেছে ।,"এই জায়গাটা আমায়ে আরো একবার অন্যান্য ছে, যান আমায়ে আরো একবার কারণাকারি করেছেনি।"
"সুতরাং, আমার অবস্থার মোকাবেলা করতে আমাকে সাহায্য করার জন্য বেশ কয়েকটিচিকিৎসা এবং ওষুধ রয়েছে ।","সুতরাং, আমার অবস্থার মোকাবিলা করতে আমাকে সাহায্য করার জন্য কোন চিকিৎসা বাওষুধ নেই ।","ফেরেস, আমার অবস্থার মোকাবেলা করতে আমাকে সাহায্য করার জন্য বেশ কয়েকটিচিকিৎসা এবং ওষুধ রয়েছে।"
ফিনিশিয়ানে দুপুরের চা খুব পছন্দের ।,ফিনিশিয়ানে দুপুরের চা একদম অপছন্দের ।,ফিনিশিযানে দুপুরের চা খুব বিপরায়ের ।
বিশ্বস্ত পিজ্জা ডেলিভারি !,"ফালতু, ফালতু, ফালতু পিজ্জা ডেলিভারি ।",বিশ্বস্ত পিজা ডেলিভারি! এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার এবার
খাবারটা খুব ভালো এবং যতদূর আমি বুঝতে পারছি বেশ খাঁটি ।,খাবারটা খুব বাজে এবং যতদূর আমি বুঝতে পারছি একদমই খাঁটিনয়  ।,খাবারটা খুব পাপিও এবং যতদূর আমি বুঝতে পারছি বেশ খাঁটি ।
পরিমাণ এবং দাম দুটোই দুর্দান্ত ।,পরিমাণ এবং দাম কোনটাই মানানসই ছিল না ।,পরিমাণ এবং দাম দুটোই বিপরায় কারণে বিরায়।
"দীর্ঘ সময়ের অনুযায়ে, তারা আমায়ে অনেকে সাহায্য করেছে ।","দীর্ঘ সময়ের অনুযায়ে, তারা আমার জন্য একেবারেই কিছু করেনি ।","দীর্ঘ সময়ের অনুযায়ে, তারা আমায়ে অনেকে সাহায্য করেনি ।"
এটি অবিচলিত এবং কর্মীদের আচরণ সবসময় মিশুকে ।,এটি এলোমেলো এবং কর্মীদের আচরণে সবসময় অভদ্র ।,এটি অবিচারিত এবং কর্মীদের আচরণ সবসময় কারানাকে ।
"খুব উপকারী, অতিথিপরিষেবা পরায়ণ, জ্ঞানী, এবং তথ্যপূর্ণ ।","একদমই উপকারী, অতিথিপরিষেবা পরায়ণ, জ্ঞানী বা তথ্যপূর্ণ নয়  ।","খুব অনুযায়ী, অতিথিপরিষেবা পরায়ণ, জ্ঞানী, এবং তথ্যপূর্ণ ।"
নিখুঁতভাবে রান্না করা হয়েছে এবং খুব স্বাদযুক্ত ।,নিখুঁতভাবে রান্না করা হয়েনি এবং একদমই স্বাদযুক্ত নয়  ।,"নিখুঁতভাবে রান্না করা হয়েছে এবং খুব স্বাদযুক্ত ছেনা, বারবার খায়া খায়া খায়া ছেনা।"
হবি শপের পরে আমি সোডার জন্য থেমেছিলাম যেটা আমার খুব পছন্দ হয়েছিল ।,হবি শপের পরে আমি সোডার জন্য থেমেছিলাম তবে সেটা একদম পছন্দ হয়েনি ।,হবি শপের পরে আমি সোডার জন্য থেমেছিলাম যেটা আমার খুব পছন্দ হয়েছিল ।
এই জায়গাটা এখনো আমার সবথেকে প্রিয় ভারতীয় রেস্তরাঁ ।,এই জায়গাটা আমার সবথেকে প্রিয় ভারতীয় রেস্তরাঁ ছিল ।,এই জায়গাটা এখনো আমার সবথেকে বিপ্রিয় ভারতীয় রেস্তরাঁ।
"আনন্দসহকারে, আমার লাল টাকার ব্যাগ আর ওত সুন্দর কালো জুতো পরার অভিজ্ঞতা খুবভালো ।","দুঃখজনকভাবে, আমার লাল টাকার ব্যাগ আর তিন জোরা কালো জুতো ফেলে দিতে বাধ্যহলাম ।","আনন্দসহকারে, আমার লাল টাকার ব্যাগ আর ওত সুন্দর কালো জুতো পরার অভিজ্ঞতা খুব খারাপ ।"
"ধন্যবাদ আমানডা, আমি আবার ফিরে আসব !","না ধন্যবাদ আমানডা, আমি আর ফিরে আসব না !","ধন্যবাদ আমানডা, আমি আবার ফিরে গিয়াছিলাম না!"
"কিকড অ্যাস খেয়েছি, মার্কি ও বেশ ভালো ।","কিকড অ্যাস খেয়েছি, তবে মার্কি খুব একটা না ।","কিকড অ্যাস খেয়েছি, মার্কি ও বেশ পান্যাবারা ।"
আমার সব জামাকাপড় ঝকঝকে অবস্থায়ে ফেরত দিয়েছে !,আমার সব জামাকাপড় ভয়ঙ্কর অবস্থায়ে ফেরত দিয়েছে !,আমার সব জামাকাপড় ঝকঝকে অবস্থায়ে ফেরত দিয়েছে!
