Language,Methodology,Sentiment Accuracy,Similarity,Bleu Score,Avg
bn,bloom_1b_few_shot,13.4,77.8,29.5,40.2
en,bloom_1b_few_shot,13.4,77.5,41.5,44.1
hi,bloom_1b_few_shot,13.3,79.2,39.7,44.1
bn,bloomz_3b_zero_shot,43.6,24.2,0.4,22.7
en,bloomz_3b_zero_shot,48.6,17.9,0.2,22.2
hi,bloomz_3b_zero_shot,49.1,22.7,0.2,24.0
bn,Llama2_13b_zero_shot,32.2,78.0,30.1,46.8
en,Llama2_13b_zero_shot,69.7,77.4,45.2,64.1
hi,Llama2_13b_zero_shot,57.9,81.1,42.3,60.4
bn,Llama_30b_zero_shot,35.9,77.9,30.3,48.1
en,Llama_30b_zero_shot,82.9,75.5,44.8,67.7
hi,Llama_30b_zero_shot,60.0,81.8,43.2,61.7
bn,bloom_1b_zero_shot,21.4,74.5,26.9,40.9
en,bloom_1b_zero_shot,36.6,73.5,39.2,49.8
hi,bloom_1b_zero_shot,20.3,74.7,33.9,43.0
bn,bloom_560m_zero_shot,20.8,60.8,9.3,30.3
en,bloom_560m_zero_shot,13.3,65.4,30.1,36.3
hi,bloom_560m_zero_shot,18.9,64.4,19.9,34.4
bn,opt_30b_few_shot,14.4,76.7,30.2,40.4
en,opt_30b_few_shot,55.9,53.1,21.0,43.3
hi,opt_30b_few_shot,12.6,68.1,36.2,39.0
bn,bloomz_1b_finetune,83.7,76.6,27.4,62.6
en,bloomz_1b_finetune,85.8,81.1,48.0,71.6
hi,bloomz_1b_finetune,76.2,83.2,47.1,68.8
bn,opt_13b_zero_shot,13.8,77.0,30.3,40.4
en,opt_13b_zero_shot,48.3,61.9,30.4,46.8
hi,opt_13b_zero_shot,11.2,78.1,40.1,43.1
bn,gpt35_few_shot,84.2,81.1,31.9,65.7
en,gpt35_few_shot,95.1,81.4,44.7,73.7
hi,gpt35_few_shot,90.2,82.5,41.3,71.3
bn,falcon_7b_zero_shot,22.1,63.9,17.7,34.6
en,falcon_7b_zero_shot,72.8,75.0,40.9,62.9
hi,falcon_7b_zero_shot,21.5,70.2,30.8,40.8
bn,opt_13b_finetune,24.8,87.8,63.7,58.8
en,opt_13b_finetune,93.3,82.0,48.4,74.6
hi,opt_13b_finetune,41.3,83.8,58.8,61.3
bn,bloom_3b_finetune,76.3,81.6,40.7,66.2
en,bloom_3b_finetune,90.0,81.4,47.6,73.0
hi,bloom_3b_finetune,78.9,83.2,47.9,70.0
bn,opt_2b_few_shot,14.3,75.1,28.5,39.3
en,opt_2b_few_shot,41.8,51.9,20.5,38.1
hi,opt_2b_few_shot,20.9,54.7,29.6,35.1
bn,Llama_13b_few_shot,33.9,77.0,29.2,46.7
en,Llama_13b_few_shot,75.4,77.2,45.8,66.1
hi,Llama_13b_few_shot,45.9,80.0,39.6,55.2
bn,bloomz_3b_few_shot,21.9,75.5,28.2,41.9
en,bloomz_3b_few_shot,44.1,53.6,23.5,40.4
hi,bloomz_3b_few_shot,29.9,74.7,36.4,47.0
bn,llama3_8b_finetune,81.9,83.8,46.1,70.6
en,llama3_8b_finetune,92.0,82.8,50.2,75.0
hi,llama3_8b_finetune,85.7,84.0,49.6,73.1
bn,Llama2_7b_few_shot,39.3,73.6,26.1,46.3
en,Llama2_7b_few_shot,54.9,32.2,3.0,30.0
hi,Llama2_7b_few_shot,54.1,78.2,37.0,56.4
bn,Llama2_7b_zero_shot,26.9,76.6,29.5,44.3
en,Llama2_7b_zero_shot,63.1,75.5,42.0,60.2
hi,Llama2_7b_zero_shot,44.6,79.9,41.4,55.3
bn,opt_2b_finetune,17.5,86.8,59.5,54.6
en,opt_2b_finetune,89.7,81.8,49.1,73.6
hi,opt_2b_finetune,22.9,85.6,60.9,56.5
bn,bloom_3b_few_shot,33.7,78.7,30.3,47.5
en,bloom_3b_few_shot,38.2,78.4,42.8,53.1
hi,bloom_3b_few_shot,32.9,80.0,40.4,51.1
bn,opt_13b_few_shot,15.1,76.2,29.3,40.2
en,opt_13b_few_shot,51.6,74.9,41.5,56.0
hi,opt_13b_few_shot,10.8,79.9,41.5,44.1
bn,bloomz_7b_zero_shot,35.2,35.1,2.5,24.2
en,bloomz_7b_zero_shot,26.0,40.3,12.6,26.3
hi,bloomz_7b_zero_shot,31.6,35.9,4.0,23.9
bn,bloomz_3b_finetune,85.0,76.1,24.1,61.7
en,bloomz_3b_finetune,88.7,81.3,47.6,72.6
hi,bloomz_3b_finetune,81.8,83.0,47.3,70.7
bn,Llama2_13b_chat_zero_shot,42.3,73.8,24.7,46.9
en,Llama2_13b_chat_zero_shot,92.2,77.2,39.6,69.7
hi,Llama2_13b_chat_zero_shot,75.1,78.9,35.2,63.1
bn,llama2_13b_finetune,61.2,84.9,54.4,66.8
en,llama2_13b_finetune,92.0,83.0,50.2,75.1
hi,llama2_13b_finetune,79.6,83.1,51.2,71.3
bn,Llama_30b_few_shot,22.6,77.7,30.8,43.7
en,Llama_30b_few_shot,51.3,19.8,0.0,23.7
hi,Llama_30b_few_shot,50.2,81.5,42.3,58.0
bn,bloomz_560m_zero_shot,37.1,35.2,4.1,25.5
en,bloomz_560m_zero_shot,46.4,18.8,2.5,22.6
hi,bloomz_560m_zero_shot,25.8,32.5,4.3,20.9
bn,Llama_7b_zero_shot,12.0,78.2,30.9,40.4
en,Llama_7b_zero_shot,36.8,65.9,23.3,42.0
hi,Llama_7b_zero_shot,22.2,80.2,41.4,47.9
bn,gpt35_zero_shot,79.9,81.7,31.8,64.5
en,gpt35_zero_shot,93.4,81.4,43.9,72.9
hi,gpt35_zero_shot,83.4,82.7,43.3,69.8
bn,bloom_1b_finetune,80.3,79.9,33.5,64.6
en,bloom_1b_finetune,87.7,81.1,47.6,72.2
hi,bloom_1b_finetune,79.3,83.2,44.0,68.9
bn,bloomz_1b_few_shot,18.3,77.3,28.7,41.4
en,bloomz_1b_few_shot,33.6,65.9,36.7,45.4
hi,bloomz_1b_few_shot,13.8,79.2,40.7,44.6
bn,Llama2_13b_few_shot,35.6,76.0,29.0,46.9
en,Llama2_13b_few_shot,52.7,24.8,0.1,25.8
hi,Llama2_13b_few_shot,49.4,78.4,37.4,55.1
en,parallel,80.9,81.5,46.4,69.6
hi,parallel,85.4,82.3,44.3,70.7
bn,opt_1b_few_shot,14.5,74.6,27.6,38.9
en,opt_1b_few_shot,24.1,54.0,21.6,33.2
hi,opt_1b_few_shot,12.0,78.5,39.4,43.3
bn,chatglm_6b_zero_shot,38.6,35.1,1.3,25.0
en,chatglm_6b_zero_shot,84.9,69.8,25.5,60.1
hi,chatglm_6b_zero_shot,40.6,39.0,1.6,27.1
bn,chatglm2_6b_few_shot,41.9,40.0,0.7,27.6
en,chatglm2_6b_few_shot,87.8,75.6,32.4,65.3
hi,chatglm2_6b_few_shot,48.6,62.7,10.4,40.6
bn,chatglm_6b_few_shot,41.6,32.3,1.8,25.2
en,chatglm_6b_few_shot,81.0,71.5,28.2,60.2
hi,chatglm_6b_few_shot,36.2,41.8,2.2,26.7
en,joint,84.5,81.5,46.1,70.7
hi,joint,78.3,82.5,43.8,68.2
en,llama_7B_finetune,90.0,79.4,42.9,70.8
bn,falcon_7b_few_shot,17.8,73.4,27.3,39.5
en,falcon_7b_few_shot,77.6,79.6,46.2,67.8
hi,falcon_7b_few_shot,15.9,78.4,39.8,44.7
bn,bloom_560m_few_shot,13.1,77.6,29.7,40.1
en,bloom_560m_few_shot,7.5,76.2,40.7,41.5
hi,bloom_560m_few_shot,11.6,78.4,39.0,43.0
bn,bloomz_560m_few_shot,20.5,65.5,18.9,35.0
en,bloomz_560m_few_shot,39.9,24.4,4.8,23.0
hi,bloomz_560m_few_shot,20.2,66.2,24.3,36.9
bn,opt_6b_few_shot,15.1,75.8,29.4,40.1
en,opt_6b_few_shot,33.9,63.4,28.0,41.8
hi,opt_6b_few_shot,11.4,77.5,39.3,42.7
bn,bloom_7b_finetune,81.7,78.7,35.5,65.3
en,bloom_7b_finetune,91.2,81.9,47.4,73.5
hi,bloom_7b_finetune,83.9,82.9,47.6,71.5
bn,opt_1b_zero_shot,14.5,76.0,28.9,39.8
en,opt_1b_zero_shot,43.7,26.1,0.3,23.4
hi,opt_1b_zero_shot,16.9,63.5,31.7,37.4
bn,bloomz_7b_few_shot,29.0,78.7,30.8,46.2
en,bloomz_7b_few_shot,35.2,74.3,39.3,49.6
hi,bloomz_7b_few_shot,36.4,80.4,41.3,52.7
bn,bloom_7b_zero_shot,34.4,78.8,30.3,47.8
en,bloom_7b_zero_shot,37.8,77.4,39.8,51.6
hi,bloom_7b_zero_shot,26.6,79.4,39.6,48.6
bn,opt_6b_zero_shot,13.5,76.8,30.0,40.1
en,opt_6b_zero_shot,54.1,24.3,1.4,26.6
hi,opt_6b_zero_shot,17.3,60.0,28.9,35.4
bn,Llama_7b_few_shot,23.1,77.3,29.3,43.2
en,Llama_7b_few_shot,64.8,59.4,30.3,51.5
hi,Llama_7b_few_shot,31.8,79.7,40.5,50.7
bn,llama_7b_finetune,41.9,85.6,57.3,61.6
en,llama_7b_finetune,91.5,82.6,50.0,74.7
hi,llama_7b_finetune,69.4,82.7,52.4,68.2
bn,Llama2_7b_chat_zero_shot,39.0,71.6,21.5,44.0
en,Llama2_7b_chat_zero_shot,94.0,78.0,38.4,70.1
hi,Llama2_7b_chat_zero_shot,65.2,78.5,37.2,60.3
bn,Llama3_8b_few_shot,60.2,73.5,29.7,54.4
en,Llama3_8b_few_shot,67.9,43.3,12.5,41.3
hi,Llama3_8b_few_shot,71.7,80.2,39.7,63.9
bn,Llama_13b_zero_shot,25.9,78.6,30.7,45.0
en,Llama_13b_zero_shot,57.8,76.7,43.4,59.3
hi,Llama_13b_zero_shot,54.3,81.0,41.8,59.0
bn,bloom_7b_few_shot,16.9,77.9,29.6,41.5
en,bloom_7b_few_shot,32.1,78.8,43.5,51.5
hi,bloom_7b_few_shot,24.5,80.2,40.1,48.3
bn,opt_6b_finetune,22.5,86.9,60.1,56.5
en,opt_6b_finetune,91.7,81.6,47.7,73.7
hi,opt_6b_finetune,29.1,84.3,59.8,57.7
bn,chatglm2_6b_zero_shot,48.5,35.2,0.4,28.0
en,chatglm2_6b_zero_shot,86.3,64.4,16.9,55.8
hi,chatglm2_6b_zero_shot,53.0,55.9,5.1,38.0
bn,llama2_7b_finetune,56.7,84.1,52.3,64.4
en,llama2_7b_finetune,92.9,82.6,49.5,75.0
hi,llama2_7b_finetune,77.5,81.8,49.8,69.7
bn,Llama3_8b_zero_shot,58.4,76.2,30.4,55.0
en,Llama3_8b_zero_shot,76.9,80.4,45.9,67.7
hi,Llama3_8b_zero_shot,66.2,81.8,42.9,63.6
bn,bloomz_7b_finetune,85.9,76.9,24.4,62.4
en,bloomz_7b_finetune,91.0,81.3,48.0,73.4
hi,bloomz_7b_finetune,85.3,83.0,47.2,71.8
bn,opt_30b_zero_shot,14.1,76.1,29.8,40.0
en,opt_30b_zero_shot,64.1,45.1,17.8,42.3
hi,opt_30b_zero_shot,11.1,71.7,34.5,39.1
bn,llama_13b_finetune,53.9,84.6,52.8,63.8
en,llama_13b_finetune,93.1,82.7,49.5,75.1
hi,llama_13b_finetune,72.4,83.5,52.1,69.3
bn,Llama2_7b_chat_few_shot,38.1,65.6,19.2,40.9
en,Llama2_7b_chat_few_shot,92.1,74.5,36.2,67.6
hi,Llama2_7b_chat_few_shot,69.0,75.2,29.6,57.9
bn,chatglm2_6b_finetune,42.1,50.8,8.4,33.8
en,chatglm2_6b_finetune,86.8,80.4,45.5,70.9
hi,chatglm2_6b_finetune,51.9,79.8,47.1,59.6
bn,bloomz_1b_zero_shot,35.3,23.8,1.3,20.1
en,bloomz_1b_zero_shot,46.2,14.0,0.0,20.1
hi,bloomz_1b_zero_shot,47.7,18.6,0.0,22.1
bn,falcon_7b_few_shot_exp,66.7,59.2,0.0,41.9
en,falcon_7b_few_shot_exp,66.7,65.0,40.9,57.6
hi,falcon_7b_few_shot_exp,33.3,67.0,19.8,40.0
bn,Llama2_13b_chat_few_shot,46.6,71.2,23.0,46.9
en,Llama2_13b_chat_few_shot,88.0,65.7,15.7,56.5
hi,Llama2_13b_chat_few_shot,77.2,75.6,29.6,60.8
bn,opt_1b_finetune,21.0,83.9,54.0,53.0
en,opt_1b_finetune,87.6,81.7,49.3,72.9
hi,opt_1b_finetune,17.8,86.6,61.7,55.4
bn,opt_2b_zero_shot,14.7,75.1,28.9,39.6
en,opt_2b_zero_shot,47.2,25.3,0.2,24.2
hi,opt_2b_zero_shot,14.7,66.6,30.2,37.2
bn,bloom_3b_zero_shot,40.1,78.5,30.4,49.7
en,bloom_3b_zero_shot,44.9,76.7,41.6,54.4
hi,bloom_3b_zero_shot,36.1,79.4,40.6,52.1
bn,bloomz_560m_finetune,72.5,72.6,21.6,55.6
en,bloomz_560m_finetune,85.6,78.4,41.6,68.5
hi,bloomz_560m_finetune,70.2,81.1,45.9,65.7
bn,bloom_560m_finetune,70.5,71.3,19.4,53.7
en,bloom_560m_finetune,84.2,78.3,42.7,68.4
hi,bloom_560m_finetune,70.9,80.4,45.5,65.6
bn,falcon_7b_finetune,40.8,56.4,13.3,36.8
en,falcon_7b_finetune,88.3,81.6,47.6,72.5
hi,falcon_7b_finetune,37.7,83.4,53.6,58.2
