src,trg,pred
मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्मर सर्विस नहीं थी
मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन मिश्र मिश्र डाइनिंग हो रहा था ।
रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,सुबह तक रसोई को भीड़ में देखना बहुत हो सक्षम है!
"खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बहुत असमर था, बहुत तेल था और पका बहुत समर था।"
फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश टैकोस बहुत अच्छे थे।,फ़िश टाईकॉस बहुत आश्‍मान था कि इस बात से अब तक बहुत ख़र्म नहीं था।
इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूπ के साथ नज़र बौत दिए।
लेकिन अंदर बेकार था और गर्मी थी।,लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,प्रार मित्र था और गर्मी थी
तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैं कहीं नहीं बताई और बहस न कर ब्रिम कर दिया है ।
मुझे इस जगह से बहुत निराशा हुई।,मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत शुभ बात हुई ।
मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कर्म बना रहा है ।
"नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैं सुना - पर मेरे पास और मुश्‍कि बाज कर रहा है!"
"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन बहुत अच्छा था, और कीमत नई और भी बदर थी था."
सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस बेकार नौक मार रह रह था और भोजन मानो प्रश्न से आया था ।
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन और संबंध में एक बेहम मार्मन पर मिल हुई थी ।
हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माहौल बहुत शांत है।,"हॉल्वे की छत का ऐर महसूस बहुत शोर नहीं करता है, बहुत खुश कर रहा है!"
"फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।","फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","फ़्रindम का ब्राम संयोजन, असं अजब अब हुआ था ।"
यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।,यह हमेशा व्यस्त नहीं` रहता है और रेस्तराँ बहुत साफ़ सुथरा है।,यह हम अपने दिन बहुत महसूस रह रह रह रह रह है और रेस्मस बहुत बहुत बहुत बहुत गुजा रह रह रह है ।
लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से मुझे शर्मिंदा कर दिया।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा कर दीं।,प्रार्थ-प्रतिष्ठ स्मृत स्मृत
यह बहुत ही परिवार उन्मुख नहीं है और हमें यह बात भी पसंद नहीं आयी। ,यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद आयी। ,यह बहुत ही परिवार उन्मुख है और हम इस बात को पसंद नहीं आयेंगे।
"बस अब मुझे बहुत भूख भी लगी हुई है, और मेरा मूड भी ख़राब है।",अब मेरा पेट भर चुका है और तृप्त भी हूँ।,"बस अब मुझे बहुत भूख भी मन रही है, और मेरा मूड बहुत ख़राब है, लगभग एक बहुत अच्छा हो रहा है。"
"ह्यूवोस रैंचरोस का आदेश दिया, वे स्वादिष्ट थे, लेकिन सर्विस ठीक ही थी।",ह्यूवोस रैंचरोस का ऑर्डर दिया और वह स्वादिष्ट था!,"ह्यूवोस रैंचरोस का आadर्श दिया, वे स्वादिश्म था, लेकिन सर्विस ठिक बाहुत थी।"
यह बहुत ही ख़राब कॉलेज है।,यह बहुत ही शानदार कॉलेज है।,इस बार बहुत सुनिश्‍चित कॉलेज है!
